id,Artist,Song
7pBsquIkbED6W6uSQJGbkn,Vince Staples,Home
0azvRr7z1MgdOF7rnzbUDk,midwxst,switching sides
3ZYwSDF9knZI0RVlKR4PHC,A$AP Rocky,Bad Company (feat. BlocBoy JB)
3Zau3JcrZcBfw8aVjKGkSX,Smino,Amphetamine
1nycE6YlxjlIkvgjb6plsJ,Action Bronson,Chop Chop Chop
46hkty784UBYP0kR3KcAUJ,Amine,Colors
3PTZvoQ6g2FDJueQKQCojt,Joey Purp,Look at My Wrist (feat. Cdot Honcho)
305WCRhhS10XUcH6AEwZk6,Jet,Are You Gonna Be My Girl
2bej0YlVSD5S91vf9dVHN4,JID,Hoodbooger
6LgJvl0Xdtc73RJ1mmpotq,Radiohead,Paranoid Android
0eGrwX4kf5sV1faR5tZDp3,tobi lou,Darlin'
0lZ3yLWp2pAWExImZVSGJ3,Rich The Kid,Dead Friends
6TaVVKTOoqtz7DxXdh6rjs,Ramzoid,9 Lives
39KG4kom3enSx4GTThuDGt,Khalid,Coaster
0utlOiJy2weVl9WTkcEWHy,J. Cole,Neighbors
6I6NX6tjGsxFAsIfGzY9lJ,J. Cole,Deja Vu
77IAeEz8LEchPN8UNjaTJ2,J. Cole,Foldin Clothes
3q0UN40vV6mI7TT560Ry5l,Rich Brian,Arizona (feat. AUGUST 08)
3OGGzDmPU14szwANX5tbbn,Gunna,Out the Hood
3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White
7GKiBHjFfvPRNqqOuRYqLB,Vince Staples,Summertime
0D5CXSUx8GOCHSY8KWgi9h,Logic,Yuck
4M2t7bP4Mq87mGMn0PObUX,Kendrick Lamar,untitled 06 l 06.30.2014.
1U13SSgDOxK98L1FTWYrjQ,Kendrick Lamar,untitled 04 l 08.14.2014.
35tWhD29yvWwB0IDRr6zsL,Vince Staples,Yeah Right
42tBlHWL3VfDkUM2iWcc5p,BROCKHAMPTON,Gummy
2VKf0WEOpq06JE5PTNr9wa,Tee Grizzley,Jettski Grizzley (feat. Lil Pump)
5B0kgjHULYJhAQkK5XsMoC,"Tyler, The Creator",WUSYANAME (feat. YoungBoy Never Broke Again & Ty Dolla $ign)
2wQUUYQ4KOeLLuPS5nBBDK,"Tyler, The Creator",RISE! (feat. DAISY WORLD)
78QR3Wp35dqAhFEc2qAGjE,"Lil Baby, Gunna",Drip Too Hard
4RGacGFT2ztXhGgzeaYzIR,Metro Boomin,Up to Something (feat. Travis Scott & Young Thug)
1ckxFDBKrcepE6pDmayXzP,Young Thug,Future Swag
55OdqrG8WLmsYyY1jijD9b,Young Thug,Wyclef Jean
1yKLa9X63tBfvLojNOw9y8,Young Thug,Harambe
6MTA4AwgmjVASTXpBEwvn8,BROCKHAMPTON,SWAMP
3zAjkGy22FCXrCqSosQYkk,BROCKHAMPTON,SCENE 2
3lz2JgAt4cyr04qDlBgTOv,Jaden,Watch Me
4bR6q945P8zwPJzNoSj8eD,Dave East,Prosper
3sTsxjv7yb0cM3rWvQdVan,Migos,Deadz (feat. 2 Chainz)
5DOR49R0fehoBmyNL8m4sN,ScHoolboy Q,Hell of a Night
1jaTQ3nqY3oAAYyCTbIvnM,Jack Harlow,"WHATS POPPIN (Remix) [feat. DaBaby, Tory Lanez & Lil Wayne]"
0qI1W6chJgvrSAzAkX9JBa,Bahamas,All The Time
3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM
26nWw7LWlId9myIxHMHXmm,"Tory Lanez, Lil Tjay",Accidents Happen
5AG8xFKYpPKPDg1wq0P3D8,Ty Dolla $ign,Famous Lies
1Mb187X5w3OUQNH6P5M28Y,Ty Dolla $ign,Ex (feat. YG)
63dg6LdBGxa0QA93M2snLA,A Boogie wit da Hoodie,Another Day Gone (feat. Khalid)
7865MYTYATLVWUUApjAzSW,blackbear,moodz (feat. 24hrs)
4LmAnpjlhWTahvRkYR8xJa,"ScHoolboy Q, Saudi, Kendrick Lamar, 2 Chainz",X
0CjJqkWOpIUXdem5hUcxAk,Kendrick Lamar,Momma
3Qig3auHwFlgO00p5QM6oJ,Jaden,Lost Boy
40j4RoqmLiivqzRObbQ4BF,Polo G,I Know
3PMX3IVMy3JcVgGgp9LbPt,A Boogie wit da Hoodie,Notifications
6ukXwaLZoMjeqA98ZdKLtq,Jack Harlow,OUT FRONT
1AqemxWsT0iGg5Lvkm16Bt,A$AP Rocky,Fukk Sleep (feat. FKA twigs)
0q5DrtpnnGpOvBy5nnPMbe,A Boogie wit da Hoodie,Timeless (feat. DJ SPINKING)
36xxq7VDZZsGwARsn6Clo7,Big Sean,Living Single (feat. Chance the Rapper & Jeremih)
439X8jGytErRiPnaoUJHju,"Shay Lia, KAYTRANADA",CHANCES
6gYqtFQqdXsNttPD2ze2kk,Isaiah Rashad,Modest
0ESJlaM8CE1jRWaNtwSNj8,Travis Scott,beibs in the trap
5vjV8rtLO9H1XVMFTXSbnZ,Bryson Tiller,The Sequence
3z9xNouuYUaVLizmZdVkpR,Ty Dolla $ign,Dawsin's Breek (feat. Jeremih)
6br4Pc0BzU6dTD5fEmks2i,A$AP Rocky,Electric Body (feat. ScHoolboy Q)
70ATm56tH7OrQ1zurYssz0,Dr. Dre,I Need a Doctor (feat. Eminem & Skylar Grey)
6plT7nFGiXKSBP9HFSI4ef,Earl Sweatshirt,Chum
3pKKxkeB1pOUMHwWBmKc3Y,The Beatles,Fixing a Hole
3CA9pLiwRIGtUBiMjbZmRw,Drake,Nice For What
1mafRFlR1Ff0qyRQ4M7bqF,Kirk Knight,Magic Mirror (Bonus Track)
1ufp82dH3kwlqiPmeKNBVz,Mick Jenkins,Gucci Tried to Tell Me
0foRpYmPs9PHIAMyXa5bTc,A$AP Mob,"Money Man (feat. A$AP Rocky, A$AP Nast & Yung Lord)"
5PEleSkK4p4E1sx3x7cOLt,The Lonely Island,I Just Had Sex (feat. Akon)
4co218tAwJM5xQrczWhkZk,"nothing,nowhere.",upside down
61S79KIVA4I9FXbnsylEHT,Drake,In The Bible (feat. Lil Durk & GIVEON)
2tUL6dZf1mywCj5WvCPZw6,Drake,No Friends In The Industry
6IZvVAP7VPPnsGX6bvgkqg,Kendrick Lamar,PRIDE.
6u3CPnFMKANYgfdiifFOiJ,"DJ Dahi, Brent Faiyaz","Gravity (feat. Tyler, The Creator)"
1xqLOYIMiNoCduM983ibjk,whiterosemoxie,Whitegold
60PTOzcoFycWBICdumIsFQ,Lil Uzi Vert,FOR FUN
7hQJA50XrCWABAu5v6QZ4i,Queen,Don't Stop Me Now
4MzkYx6KAEKNb0V1eftx8H,Lupe Fiasco,Promise
2bvP7LFDn1jXQtA1uTfNOm,Lupe Fiasco,Tranquillo (feat. Rick Ross & Big K.R.I.T.)
6om8S0igH5jbMpPY8ja8Jj,Lupe Fiasco,Pick Up the Phone
0Odu228D0yGcFySGuxU4rY,Tory Lanez,The Take (feat. Chris Brown)
3pXF1nA74528Edde4of9CC,Bryson Tiller,Don't
39a23fzBmNlAzz7fHok1Jo,Bryson Tiller,Intro (Difference)
43PuMrRfbyyuz4QpZ3oAwN,Bryson Tiller,Exchange
12eMQUn2GzfsfsQLH53M19,Usher,Scream
0Ep9wqVQKcWCiI0PzbbLog,Chance the Rapper,22 Offs
5VsxBUyw0TRwVC7ja1CIBc,The Beach Boys,I Know There's an Answer
6WgvvNUermK2Xad0jRPxXr,Grouplove,Spun
6kMyIzsk4Jt7l3HyYNR34R,whiterosemoxie,Run Run
2PxwwqB4f9x72jbw6AgR1s,Joey Bada$$,Killuminati (feat. Capital Steez)
4pNT8XTKWb2vhcsqwzdXCT,Joey Bada$$,Survival Tactics (feat. Capital Steez)
0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box
4Pwjz3DfvfQWV0rO2V8jyh,Kendrick Lamar,"Bitch, Don't Kill My Vibe"
0AvygKcKeMyZlFmDzbqcYK,The Beatles,When I'm Sixty-Four
0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage)
2y6T22z0VqKK1R8UwI0MvJ,Sada Baby,Bloxk Party (feat. Drego)
2io1bXJZIVKkvCWV019V0f,Hermitude,HyperParadise (Flume Remix)
4RgoqOBE34Q6zZj8K7RUAx,"Travis Scott, Quavo, HUNCHO JACK",Go
6ODTw5ivAheWBql4tCiNkl,Amine,Turf
2rMFawCg4BW65jzbwztXAV,Travis Scott,Oh My Dis Side (feat. Quavo)
1wHZx0LgzFHyeIZkUydNXq,Travis Scott,Antidote
0JShmrdJR870UDVIKaqZps,PnB Rock,Plans
03L2AoiRbWhvt7BDMx1jUB,Drake,U With Me?
0hCHNYL8ApQCGNwJrYN1FY,Lil Skies,Bad Girls (feat. Gucci Mane)
3jmR6C9DIMMcLMjliCTICb,"Jack Harlow, Felly",Cheap Cheap
2BAmF6QyK5IYEOp1TFmt0u,Young Thug,Feel It
2HEXCknvxmtoj8p8Rpl8mT,PARTYNEXTDOOR,SAVAGE ANTHEM
6dZ79ihcFEKPR5B9AQ7FBN,"Patrick Cc:, Jonah Zed",Black Hole Sun (feat. Skaiwater)
5cc9Zbfp9u10sfJeKZ3h16,Childish Gambino,3005
25B5fGr9K0VdZJiRFsnMO4,Lil Uzi Vert,Celebration Station
1oUudyBYVGMIC8JXeIsFzq,"Swae Lee, Slim Jxmmi, Rae Sremmurd",CLOSE (feat. Travis Scott)
1M6SuEJZJkZf2S419vIPkB,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz)
22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,Blueberry Faygo
2Grb4G6t9VIqo6moKUloom,Metro Boomin,Don't Come Out the House (feat. 21 Savage)
5mtfHX4VyY5D81WMaOHgHV,"NxWorries, Knxwledge, Anderson .Paak",What More Can I Say
0DwY01hBuR9ljP8MtJL94u,"NxWorries, Knxwledge, Anderson .Paak",Wngs
3T06rGO2dVEntMvym0vpQu,Juice WRLD,Empty
6U8SOvBY0zz8hKkSwOaOej,Joey Bada$$,AMERIKKKAN IDOL
2DQumLr0LJfKO9g06Bm53p,Colbie Caillat,Rainbow
22DTcztiOHGZ3X6RmlFLdC,Tory Lanez,I Told You/ Another One
5l5SMWVPhVlJOmYFzDmJvY,Aries,DEITY
5hDzdpEb5cG3lhX6EAQqQ8,Future,Now
7FW4HUo39yRwGVxEoHqTa4,"Pusha T, Joey Bada$$",No Explanation
3n5Oru9JiwrUDLai41zeiZ,whiterosemoxie,Coco Puffs
35mNbCqxXFvAgsgmbPI7bc,Desiigner,Shooters
0YAQnYt2oB8OdoaeqnHyTI,"J. Cole, Bas",Tribe
57kR5SniQIbsbVoIjjOUDa,"DJ Snake, AlunaGeorge",You Know You Like It
1rihwqlxLr1kL7zg5193FF,Ben Folds,You Don't Know Me (feat. Regina Spektor)
2wc4wFgsQUDD79jItn4cHs,6LACK,Worst Luck
4AtZRwSR8BOTTQg5ihSggt,6LACK,PRBLMS
3KLo7ByvjCNyBrfz5DZ2mO,Rich The Kid,Splashin
18yllZD0TdF7ykcREib8Z1,A Boogie wit da Hoodie,I Did It
3cq1t3pSjD7vt0n17g4mVm,Future,I Thank U
7CvtBcThQ4piVKkfUXieig,Vince Staples,AYE! (FREE THE HOMIES)
3WcC6NH9J77xPEvj1SOL7z,Future,March Madness
5ZGvnzdbFkQCBaBGdzavdU,Ab-Soul,Threatening Nature
2vJIsdYIthbnWgLaLD9yrj,Anderson .Paak,Lite Weight (feat. The Free Nationals United Fellowship Choir)
7pamxApUs3CE8t7tKmUJ6Z,Anderson .Paak,The Bird
6Lr9sGM6kARYVDL2dj0lqV,Anderson .Paak,Room in Here (feat. The Game & Sonyae Elise)
28GiGdDsLRRCaYCrl9Esxr,Vince Staples,Might Be Wrong (feat. Haneef Talib aka GeNNo & eeeeeeee)
3h0xzCrYEVVFhhycY7jGBs,Aries,SAYONARA
60ZppukPfY43NDU9meKJrz,Aries,BAD NEWS
1rSzmt5gcVm6YKewNlygsy,Verzache,Free (Interlude)
6mxRh7S7myEedwIg8IRnby,Miguel,Pineapple Skies
7KK4d7xfH6WjUuK1kPL8E2,Roddy Ricch,Gods Eyes
6VDtQcYBQViEZXCMBfazuy,Lynchparty,She Likes Me (feat. KC the Plug)
5Zx9VpLotu9aFYqq61NAip,Tee Grizzley,2 Vaults (feat. Lil Yachty)
4w5m4X0OZ2IslxNOgtntTN,"Madlib, Freddie Gibbs",Crime Pays
2scd9lw4ljzDwMfG3WW4gD,John Legend,Who Do We Think We Are (feat. Rick Ross)
43u5j2bJ6E9nZV3PbPAoAe,"Madvillain, Madlib, MF DOOM",Hardcore Hustle (feat. Wild Child)
67vrmPygrZ9giGqHUSReAT,"Madvillain, Madlib, MF DOOM",Accordion
4gfv0mYZvVXDJNRt8UjA1q,Jack Harlow,9TH GRADE
20Otkz8PgV4MtLBndWw44B,Mick Jenkins,Pull Up
5iFwAOB2TFkPJk8sMlxP8g,PUBLIC,Make You Mine
3E895HtTn6lB40SA0l9EkL,Daniel Caesar,Take Me Away (feat. Syd)
2sNhYJ2ggd9BadlTXU3Mah,Anderson .Paak,The Dreamer (feat. Talib Kweli & Timan Family Choir)
7KKW3MSfqCCai76gKSZEco,Earl Sweatshirt,Faucet
771Wt9A4QfgSP0KBuKY41r,Aries,HOW RUDE
0gUGjvCXLxvLoBLXJVrUSl,"Quality Control, Offset, Lil Baby",Hook Up
6NaVCCFGylOLZAgk5eTTid,"Lil Uzi Vert, Future",Marni on Me
2x5Frs6ts14U4MSLrQQlXg,Phony Ppl,Why iii Love the Moon.
4Bt9yX2Gq7Q1biRF45EN1C,Future,Lil One
71rgyPxQt2eaIvxvfsZ3B4,Danny Brown,Rolling Stone (feat. Petite Noir)
35acXjupfWHgtchiS6yAjC,Kanye West,Jonah
6cFamI2vPztQoopGMnjD64,"Tyler, The Creator",LUMBERJACK
1MobF57nbROs1ml9IYEzwN,"Dreamville, Cozz, Bas",Outta Pocket (feat. Girl Talk)
6Kwblq3Rf6KWDPK3kUpNBg,"Dreamville, Cozz",Disgusted (feat. Childish Major)
24BNgrtp6Fag4M5BQPEgsV,Juice WRLD,End of the Road
1kMuU3TNQvHbqvXCWBodmP,"Lil Wayne, Drake",Right Above It (feat. Drake)
4rWZ85QSAzHTp7sKZWen7H,EST Gee,Mall Map
7pEjRtUJU9DYNJZanj7mPW,midwxst,Made It Back
23bOfmnZiN42pB1frXNyak,Joey Bada$$,Paper Trail$
0NTMtAO2BV4tnGvw9EgBVq,Rihanna,Bitch Better Have My Money
1H3GqbebLfBjqY8rW9oVyq,BROCKHAMPTON,BOYS
3Xvu5uFWbyHd0qixrvIxxE,BROCKHAMPTON,2PAC
4URGmQkQ2Gy0axfCO3PPaO,Beast Coast,"One More Round (feat. Meechy Darko, Erick the Architect, Nyck Caution & Joey Bada$$)"
3EaoAGLcFzdHvzByzAlAZJ,Jay Rock,ES Tales
6Q1NPLtp9IzcXmCutp3Qmo,Lil Uzi Vert,Baby Are You Home
5hTpBe8h35rJ67eAWHQsJx,Amine,Caroline
5Il6Oe7lr5XM7A0cWbVQtr,Ariana Grande,bad idea
