"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","value"
0.828,0.609,1,-4.402,1,0.0694,0.0916,1.21e-06,0.291,0.707,109.725,"audio_features","5pfJsMwoRYKampPay8amX0","spotify:track:5pfJsMwoRYKampPay8amX0","https://api.spotify.com/v1/tracks/5pfJsMwoRYKampPay8amX0","https://api.spotify.com/v1/audio-analysis/5pfJsMwoRYKampPay8amX0",292593,4,NA
0.723,0.777,7,-3.503,1,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,"audio_features","32lm3769IRfcnrQV11LO4E","spotify:track:32lm3769IRfcnrQV11LO4E","https://api.spotify.com/v1/tracks/32lm3769IRfcnrQV11LO4E","https://api.spotify.com/v1/audio-analysis/32lm3769IRfcnrQV11LO4E",243413,4,NA
0.719,0.844,7,-3.529,1,0.103,0.0793,0,0.0551,0.941,90.951,"audio_features","1yM7GIEJ2QniupkEHOyp0a","spotify:track:1yM7GIEJ2QniupkEHOyp0a","https://api.spotify.com/v1/tracks/1yM7GIEJ2QniupkEHOyp0a","https://api.spotify.com/v1/audio-analysis/1yM7GIEJ2QniupkEHOyp0a",243240,4,NA
0.447,0.537,1,-8.574,1,0.0544,0.348,0,0.0667,0.362,123.573,"audio_features","4ezoLNETAkSv2XJ3ALB6Fg","spotify:track:4ezoLNETAkSv2XJ3ALB6Fg","https://api.spotify.com/v1/tracks/4ezoLNETAkSv2XJ3ALB6Fg","https://api.spotify.com/v1/audio-analysis/4ezoLNETAkSv2XJ3ALB6Fg",260625,4,NA
0.827,0.821,3,-5.864,1,0.0419,0.00748,0.0015,0.115,0.684,122.017,"audio_features","1IaYWv32nFFMdljBIjMY5T","spotify:track:1IaYWv32nFFMdljBIjMY5T","https://api.spotify.com/v1/tracks/1IaYWv32nFFMdljBIjMY5T","https://api.spotify.com/v1/audio-analysis/1IaYWv32nFFMdljBIjMY5T",220627,4,NA
0.568,0.816,0,-3.928,1,0.0281,0.014,0.000231,0.155,0.31,125.033,"audio_features","0WjvB0SzNvgmuM46UjcMr8","spotify:track:0WjvB0SzNvgmuM46UjcMr8","https://api.spotify.com/v1/tracks/0WjvB0SzNvgmuM46UjcMr8","https://api.spotify.com/v1/audio-analysis/0WjvB0SzNvgmuM46UjcMr8",263293,5,NA
0.443,0.645,6,-6.24,1,0.0515,0.0127,0.952,0.122,0.139,128.044,"audio_features","460DKckZv7K9xt3yTDO8VO","spotify:track:460DKckZv7K9xt3yTDO8VO","https://api.spotify.com/v1/tracks/460DKckZv7K9xt3yTDO8VO","https://api.spotify.com/v1/audio-analysis/460DKckZv7K9xt3yTDO8VO",318750,4,NA
0.602,0.776,6,-7.222,1,0.0506,0.0236,3.21e-06,0.0909,0.703,123.017,"audio_features","1csedYJecXkj9hQHdMu563","spotify:track:1csedYJecXkj9hQHdMu563","https://api.spotify.com/v1/tracks/1csedYJecXkj9hQHdMu563","https://api.spotify.com/v1/audio-analysis/1csedYJecXkj9hQHdMu563",174144,4,NA
0.592,0.935,6,-4.317,0,0.0581,0.00879,0.0154,0.132,0.567,125.013,"audio_features","1PCvKFPWnTXAe2oaReVUcr","spotify:track:1PCvKFPWnTXAe2oaReVUcr","https://api.spotify.com/v1/tracks/1PCvKFPWnTXAe2oaReVUcr","https://api.spotify.com/v1/audio-analysis/1PCvKFPWnTXAe2oaReVUcr",222520,4,NA
0.48,0.917,7,-4.559,0,0.116,0.0092,0.513,0.402,0.131,127.75,"audio_features","1LwdzOVdibn7WeSuM6NQzT","spotify:track:1LwdzOVdibn7WeSuM6NQzT","https://api.spotify.com/v1/tracks/1LwdzOVdibn7WeSuM6NQzT","https://api.spotify.com/v1/audio-analysis/1LwdzOVdibn7WeSuM6NQzT",217500,4,NA
