"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","value"
0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,"audio_features","7pBsquIkbED6W6uSQJGbkn","spotify:track:7pBsquIkbED6W6uSQJGbkn","https://api.spotify.com/v1/tracks/7pBsquIkbED6W6uSQJGbkn","https://api.spotify.com/v1/audio-analysis/7pBsquIkbED6W6uSQJGbkn",211360,4,NA
0.543,0.845,6,-3.819,0,0.0535,0.0251,0,0.365,0.438,140.095,"audio_features","0azvRr7z1MgdOF7rnzbUDk","spotify:track:0azvRr7z1MgdOF7rnzbUDk","https://api.spotify.com/v1/tracks/0azvRr7z1MgdOF7rnzbUDk","https://api.spotify.com/v1/audio-analysis/0azvRr7z1MgdOF7rnzbUDk",165049,4,NA
0.901,0.529,8,-7.94,1,0.413,0.0679,0,0.536,0.343,144.941,"audio_features","3ZYwSDF9knZI0RVlKR4PHC","spotify:track:3ZYwSDF9knZI0RVlKR4PHC","https://api.spotify.com/v1/tracks/3ZYwSDF9knZI0RVlKR4PHC","https://api.spotify.com/v1/audio-analysis/3ZYwSDF9knZI0RVlKR4PHC",183809,4,NA
0.619,0.532,5,-9.554,1,0.515,0.715,1.33e-05,0.0953,0.401,120.019,"audio_features","3Zau3JcrZcBfw8aVjKGkSX","spotify:track:3Zau3JcrZcBfw8aVjKGkSX","https://api.spotify.com/v1/tracks/3Zau3JcrZcBfw8aVjKGkSX","https://api.spotify.com/v1/audio-analysis/3Zau3JcrZcBfw8aVjKGkSX",469831,4,NA
0.531,0.492,8,-8.873,1,0.247,0.203,0,0.321,0.611,132.253,"audio_features","1nycE6YlxjlIkvgjb6plsJ","spotify:track:1nycE6YlxjlIkvgjb6plsJ","https://api.spotify.com/v1/tracks/1nycE6YlxjlIkvgjb6plsJ","https://api.spotify.com/v1/audio-analysis/1nycE6YlxjlIkvgjb6plsJ",246562,4,NA
0.689,0.67,3,-7.896,0,0.0744,0.0441,0.000184,0.0552,0.74,79.991,"audio_features","46hkty784UBYP0kR3KcAUJ","spotify:track:46hkty784UBYP0kR3KcAUJ","https://api.spotify.com/v1/tracks/46hkty784UBYP0kR3KcAUJ","https://api.spotify.com/v1/audio-analysis/46hkty784UBYP0kR3KcAUJ",166569,3,NA
0.728,0.726,2,-2.424,1,0.455,0.0159,0,0.0614,0.528,142.439,"audio_features","3PTZvoQ6g2FDJueQKQCojt","spotify:track:3PTZvoQ6g2FDJueQKQCojt","https://api.spotify.com/v1/tracks/3PTZvoQ6g2FDJueQKQCojt","https://api.spotify.com/v1/audio-analysis/3PTZvoQ6g2FDJueQKQCojt",177399,4,NA
0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,"audio_features","305WCRhhS10XUcH6AEwZk6","spotify:track:305WCRhhS10XUcH6AEwZk6","https://api.spotify.com/v1/tracks/305WCRhhS10XUcH6AEwZk6","https://api.spotify.com/v1/audio-analysis/305WCRhhS10XUcH6AEwZk6",213800,4,NA
0.552,0.658,6,-8.215,0,0.665,0.648,0,0.399,0.449,160.24,"audio_features","2bej0YlVSD5S91vf9dVHN4","spotify:track:2bej0YlVSD5S91vf9dVHN4","https://api.spotify.com/v1/tracks/2bej0YlVSD5S91vf9dVHN4","https://api.spotify.com/v1/audio-analysis/2bej0YlVSD5S91vf9dVHN4",156472,4,NA
0.251,0.848,5,-6.501,1,0.0579,0.0377,0.00591,0.0545,0.207,163.709,"audio_features","6LgJvl0Xdtc73RJ1mmpotq","spotify:track:6LgJvl0Xdtc73RJ1mmpotq","https://api.spotify.com/v1/tracks/6LgJvl0Xdtc73RJ1mmpotq","https://api.spotify.com/v1/audio-analysis/6LgJvl0Xdtc73RJ1mmpotq",387213,4,NA
0.866,0.388,9,-11.009,1,0.32,0.571,0,0.1,0.556,109.976,"audio_features","0eGrwX4kf5sV1faR5tZDp3","spotify:track:0eGrwX4kf5sV1faR5tZDp3","https://api.spotify.com/v1/tracks/0eGrwX4kf5sV1faR5tZDp3","https://api.spotify.com/v1/audio-analysis/0eGrwX4kf5sV1faR5tZDp3",205091,4,NA
0.656,0.457,9,-7.328,1,0.374,0.0138,0,0.104,0.111,179.897,"audio_features","0lZ3yLWp2pAWExImZVSGJ3","spotify:track:0lZ3yLWp2pAWExImZVSGJ3","https://api.spotify.com/v1/tracks/0lZ3yLWp2pAWExImZVSGJ3","https://api.spotify.com/v1/audio-analysis/0lZ3yLWp2pAWExImZVSGJ3",171287,4,NA
0.536,0.706,8,-5.263,0,0.0498,0.227,0.000912,0.142,0.365,144.003,"audio_features","6TaVVKTOoqtz7DxXdh6rjs","spotify:track:6TaVVKTOoqtz7DxXdh6rjs","https://api.spotify.com/v1/tracks/6TaVVKTOoqtz7DxXdh6rjs","https://api.spotify.com/v1/audio-analysis/6TaVVKTOoqtz7DxXdh6rjs",146667,4,NA
0.441,0.219,8,-14.586,1,0.0419,0.935,0,0.115,0.244,94.021,"audio_features","39KG4kom3enSx4GTThuDGt","spotify:track:39KG4kom3enSx4GTThuDGt","https://api.spotify.com/v1/tracks/39KG4kom3enSx4GTThuDGt","https://api.spotify.com/v1/audio-analysis/39KG4kom3enSx4GTThuDGt",199120,4,NA
0.898,0.283,6,-12.335,0,0.356,0.319,0.000383,0.11,0.469,138.97,"audio_features","0utlOiJy2weVl9WTkcEWHy","spotify:track:0utlOiJy2weVl9WTkcEWHy","https://api.spotify.com/v1/tracks/0utlOiJy2weVl9WTkcEWHy","https://api.spotify.com/v1/audio-analysis/0utlOiJy2weVl9WTkcEWHy",216520,4,NA
0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,"audio_features","6I6NX6tjGsxFAsIfGzY9lJ","spotify:track:6I6NX6tjGsxFAsIfGzY9lJ","https://api.spotify.com/v1/tracks/6I6NX6tjGsxFAsIfGzY9lJ","https://api.spotify.com/v1/audio-analysis/6I6NX6tjGsxFAsIfGzY9lJ",264747,4,NA
0.698,0.487,7,-9.887,0,0.312,0.234,0.00086,0.0724,0.614,161.943,"audio_features","77IAeEz8LEchPN8UNjaTJ2","spotify:track:77IAeEz8LEchPN8UNjaTJ2","https://api.spotify.com/v1/tracks/77IAeEz8LEchPN8UNjaTJ2","https://api.spotify.com/v1/audio-analysis/77IAeEz8LEchPN8UNjaTJ2",316920,4,NA
0.651,0.526,8,-10.886,1,0.356,0.695,0,0.386,0.509,95.049,"audio_features","3q0UN40vV6mI7TT560Ry5l","spotify:track:3q0UN40vV6mI7TT560Ry5l","https://api.spotify.com/v1/tracks/3q0UN40vV6mI7TT560Ry5l","https://api.spotify.com/v1/audio-analysis/3q0UN40vV6mI7TT560Ry5l",292381,4,NA
0.84,0.427,5,-9.777,0,0.376,0.375,2.55e-05,0.111,0.445,147.931,"audio_features","3OGGzDmPU14szwANX5tbbn","spotify:track:3OGGzDmPU14szwANX5tbbn","https://api.spotify.com/v1/tracks/3OGGzDmPU14szwANX5tbbn","https://api.spotify.com/v1/audio-analysis/3OGGzDmPU14szwANX5tbbn",155873,4,NA
0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,"audio_features","3xKsf9qdS1CyvXSMEid6g8","spotify:track:3xKsf9qdS1CyvXSMEid6g8","https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8","https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8",184516,3,NA
0.446,0.593,11,-7.748,1,0.0597,0.0365,0.85,0.0988,0.0706,123.884,"audio_features","7GKiBHjFfvPRNqqOuRYqLB","spotify:track:7GKiBHjFfvPRNqqOuRYqLB","https://api.spotify.com/v1/tracks/7GKiBHjFfvPRNqqOuRYqLB","https://api.spotify.com/v1/audio-analysis/7GKiBHjFfvPRNqqOuRYqLB",259213,4,NA
0.619,0.798,11,-5.517,0,0.381,0.168,0,0.17,0.71,156.151,"audio_features","0D5CXSUx8GOCHSY8KWgi9h","spotify:track:0D5CXSUx8GOCHSY8KWgi9h","https://api.spotify.com/v1/tracks/0D5CXSUx8GOCHSY8KWgi9h","https://api.spotify.com/v1/audio-analysis/0D5CXSUx8GOCHSY8KWgi9h",173693,4,NA
0.669,0.541,4,-11.291,0,0.0461,0.0992,7.69e-06,0.254,0.645,89.083,"audio_features","4M2t7bP4Mq87mGMn0PObUX","spotify:track:4M2t7bP4Mq87mGMn0PObUX","https://api.spotify.com/v1/tracks/4M2t7bP4Mq87mGMn0PObUX","https://api.spotify.com/v1/audio-analysis/4M2t7bP4Mq87mGMn0PObUX",208013,4,NA
