"SchoolPeriod","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration"
"8th Grade",0.619887931034483,0.768651477832512,-5.00733128078818,0.105016256157635,0.0995932340886699,0.0972698120812808,0.171174014778325,0.4885539408867,118.079195812808,3.97274616174056
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9th Grade",0.720491959499702,0.617750923168553,-6.94146396664681,0.179750089338892,0.153767713519952,0.0187440654079809,0.166031685527099,0.466460214413341,127.127666468136,3.92279013301568
"9th-10th Summer",0.703191805225653,0.643942102137767,-6.74083788598575,0.186513093824228,0.152673799881235,0.00887323112232779,0.209716538004751,0.450899703087886,123.280123515439,4.07833884600158
"10th Grade",0.706506825755133,0.632925486402236,-6.56783542943137,0.161588767064388,0.14641713213802,0.00557231843706331,0.181430173062453,0.447605342362679,123.990462968935,3.88768945322297
"10th-11th Summer",0.7026571867794,0.63391045349731,-6.60706802459646,0.151823904688701,0.15007107801691,0.00522389742121445,0.183847040737894,0.426337548039969,123.000350115296,3.83461383551114
"11th Grade",0.680787260299981,0.639450505980634,-6.60137924814885,0.130544475033226,0.170132521777103,0.0105742116271122,0.189216707803304,0.468748262768179,122.481526200873,3.93550358363395
"11th-12th Summer",0.675998498498498,0.639277657657658,-6.71068528528528,0.109420990990991,0.190672754354354,0.0111156766036036,0.183501171171171,0.475334864864865,122.003274474474,3.81537857357357
"12th Grade",0.640849044757377,0.564097725356534,-8.45810709480671,0.1216996860705,0.284570093676563,0.0999969527347744,0.175565422907884,0.424582267467934,121.884670463719,3.60468095494364
"12th-Freshman Summer",0.609270504828261,0.631485344089964,-6.84201772399462,0.098483327221611,0.201587816159394,0.0201820934408996,0.204523835716905,0.41302540031781,120.552617039482,4.05798450882125
"Freshman Year",0.62247045646661,0.619084028951817,-7.34345002113271,0.115489887996619,0.249128684472739,0.0527162772918428,0.209819183220626,0.44881839602705,121.03941113694,3.93245947978304
"Freshman-Sophomore Summer",0.669584984811225,0.641019531317807,-6.77521944163171,0.131785722551714,0.197987089801823,0.0240623864053233,0.204951439317228,0.489936062490959,119.396951251266,3.69337018901586
"Sophomore Year",0.642529182178456,0.625708963011889,-6.91126642248109,0.123456827188663,0.213579627541131,0.0328874270715744,0.200110718145791,0.46706809174973,119.886295064249,3.73838672691245
"Sophomore-Junior Summer",0.648117653581725,0.641281414947882,-6.79219217121313,0.151500620980262,0.221828146173209,0.0221584976214238,0.208929929030827,0.477460135284986,119.172145708583,3.88270530051009
