"SchoolPeriod","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8th-9th Summer",0.607921428571429,0.671709285714286,-6.83030714285714,0.0922714285714286,0.281905642857143,0.169468531357143,0.210385714285714,0.473477142857143,121.920335714286,3.62382880952381
"9th Grade",0.593546489563567,0.562958235294118,-8.81574383301708,0.102246489563567,0.338895771157495,0.156020696166983,0.166940037950664,0.387065654648956,126.924785578748,4.11249677419355
"9th-10th Summer",0.633864315352697,0.544562821576764,-8.82939834024896,0.112581742738589,0.278972697095436,0.122004039045643,0.152834024896266,0.409234024896266,120.605958506224,3.95123181189488
"10th Grade",0.62136075864384,0.574147101376301,-7.33037797918765,0.0738012084592145,0.400077877123196,0.108003973912387,0.151303658945955,0.468736203423968,122.807311513931,3.61827742531051
"10th-11th Summer",0.637851384507536,0.558708615492464,-7.14701962846127,0.0843880476691202,0.337649504030845,0.0178629627374693,0.160756957588503,0.428706764808973,121.760522257273,3.61628377146863
"11th Grade",0.627707345709368,0.508925231128596,-8.40870045488075,0.0832577514138185,0.432095109595525,0.102243335066388,0.154096367101057,0.42341705802803,117.838181399066,3.47406786636341
"11th-12th Summer",0.605213344827586,0.472746170689655,-10.4054925862069,0.0811950862068966,0.449545573327586,0.168700541124138,0.161163431034483,0.43562575862069,112.005061724138,3.39896583333333
"12th Grade",0.596349326994979,0.464455253178079,-11.1381089627177,0.0870026920200833,0.451397507945198,0.224198298172204,0.150939509667771,0.406475840722145,112.135441031941,3.22113562742584
"12th-Freshman Summer",0.566149001622804,0.445842736541311,-12.2622613419883,0.0800938474564312,0.481718380138291,0.237132536110915,0.161794969307839,0.374472250052918,109.612357581317,3.34120771302241
"Freshman Year",0.556346199041385,0.404062971086945,-12.8537282379014,0.080898556924187,0.537859260970468,0.268343271890429,0.157422233675205,0.337787306086688,110.172737978663,3.3637579815836
"Freshman-Sophomore Summer",0.606813149365682,0.503169972497454,-9.39963848504491,0.0842370682470599,0.432490412778961,0.121215393012316,0.164925770904713,0.386241188998981,115.695100750069,3.46479822823101
"Sophomore Year",0.573918514106244,0.458787502463854,-10.1838377646613,0.0755521416580928,0.494205732105919,0.157370345234743,0.160534894676991,0.337701814046678,114.741066280392,3.55643786032743
"Sophomore-Junior Summer",0.576071068914017,0.47978794431406,-9.79303744399403,0.0738853957755494,0.464258335801152,0.195056217774696,0.161688841476424,0.33749890228291,116.365856838063,3.59703681459356
