"SchoolPeriod","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration"
"8th Grade",0.643707243024433,0.660981928581755,-7.05852768541275,0.218730461182594,0.226285959563395,0.0158734004004626,0.263263264420992,0.462088607777938,115.904269770132,4.1340413859573
"8th-9th Summer",0.647164790714034,0.662524727400633,-6.8175863524446,0.233919187478016,0.238720128807598,0.0130065049314105,0.247190960253254,0.496693932465705,112.508848399578,3.97626331340134
"9th Grade",0.65663273039612,0.629067815278901,-7.11916597615198,0.220563667138238,0.234375223206346,0.013032771630962,0.225964521018593,0.435648570129345,116.754671129749,3.97016690245217
"9th-10th Summer",0.658962880602121,0.604699349982894,-7.21290626069107,0.216723092712966,0.257254414471433,0.0103997577711256,0.226410485802258,0.429679233664044,115.175549093397,3.82079585186452
"10th Grade",0.675710224644014,0.624051837762813,-6.88318994499563,0.206146954197296,0.211948884413715,0.0114225249000154,0.215301860895492,0.41461957538683,120.208179046934,3.76951712075258
"10th-11th Summer",0.678893410852713,0.61368265503876,-6.96909205426357,0.199308992248062,0.223352508527132,0.00821912121705426,0.200223158914729,0.419982868217054,123.651635271318,3.52219810723514
"11th Grade",0.690903656447516,0.632048112706007,-6.7489784393644,0.212526930119913,0.211817256784216,0.0120344162892079,0.206242276566838,0.444481280642684,120.305610845295,3.47224671175695
"11th-12th Summer",0.694632209980557,0.62897527543746,-6.71741704471808,0.210377414128321,0.212020843486714,0.00882235023331173,0.206880006480881,0.463468697342839,119.792123784835,3.61370712356881
"12th Grade",0.694704402515723,0.613986267016957,-7.07599187962742,0.208674054613486,0.21450478389141,0.00834925817530451,0.20538659342409,0.483160289785845,117.959711806385,3.35877441684579
"12th-Freshman Summer",0.648602381460914,0.629956172575822,-7.01775117471166,0.181135049124306,0.210694607071764,0.0233049273633063,0.203417343015805,0.461637943186672,118.564087889791,3.56691633739143
"Freshman Year",0.651896970285492,0.627580932219849,-7.10315274810643,0.160876684793164,0.214616203613323,0.0190118457214993,0.204002845212663,0.467185404932997,119.548884346475,3.3273089839451
"Freshman-Sophomore Summer",0.6557495369866,0.640117932236627,-6.97053197516069,0.172942422921887,0.220332301603661,0.014643814821876,0.21410244035298,0.484307560736464,118.962618041181,3.51976164796456
"Sophomore Year",0.644479287971113,0.633834078086211,-7.09326450011284,0.168712327916949,0.219662099128865,0.0201277722455428,0.211653153915595,0.464686746784022,118.980701139698,3.48200789513278
"Sophomore-Junior Summer",0.637685255409324,0.646443218826679,-6.96372217265224,0.171554728976132,0.219877591232434,0.0169326826087441,0.206912290876645,0.468415926834709,118.426079745706,3.49580333482043
