"Artist","Album","Songs","Plays Per Song"
"Travis Scott","ASTROWORLD",17,116.411764705882
"The Weeknd","After Hours",19,70.2105263157895
"Kendrick Lamar","DAMN.",14,94.4285714285714
"Khalid","Black Panther The Album Music From And Inspired By",14,79.4285714285714
"Kid Cudi","Man On The Moon: The End Of Day",18,56.2777777777778
"Travis Scott","Rodeo",13,70.2307692307692
"Travis Scott","Birds In The Trap Sing McKnight",14,64.7857142857143
"Kendrick Lamar","good kid, m.A.A.d city",15,58.4
"Kanye West","The Life Of Pablo",20,35.05
"Kanye West","Graduation",13,49.0769230769231
"Jack Harlow","Confetti",12,50.9166666666667
"Drake","Take Care",7,85
"Kendrick Lamar","To Pimp A Butterfly",16,37
"Kid Cudi","Man On The Moon III: The Chosen",18,32.8333333333333
"Kanye West","My Beautiful Dark Twisted Fantasy",10,53.9
"Bryson Tiller","T R A P S O U L",18,29.8333333333333
"Cage The Elephant","Melophobia",10,52.2
"Baby Keem","DIE FOR MY BITCH",13,39.9230769230769
"The Weeknd","Starboy",14,36.0714285714286
"Kid Cudi","Man On The Moon II: The Legend Of Mr. Rager",17,28.5294117647059
"The Weeknd","My Dear Melancholy,",7,69.2857142857143
"Baby Keem","The Melodic Blue",25,19.36
"Kanye West","Donda",25,19.04
"The Beatles","Sgt. Pepper's Lonely Hearts Club Band",24,18.9583333333333
"Logic","Everybody",7,64.1428571428571
"Logic","Bobby Tarantino II",13,33.0769230769231
"The Beatles","Abbey Road",17,24.3529411764706
"Kanye West","808s & Heartbreak",7,54.8571428571429
"Frank Ocean","Blonde",17,22.5294117647059
"Kendrick Lamar","Mr. Morale & The Big Steppers",19,19.0526315789474
"Drake","More Life",11,32.8181818181818
"Tyler, The Creator","Flower Boy",14,25.3571428571429
"J. Cole","2014 Forest Hills Drive",9,38.4444444444444
"Post Malone","beerbongs & bentleys",12,27
"Maroon 5","Overexposed",5,59.8
"The Beatles","1",13,22.2307692307692
"mike.","This Isn't The Album",2,140.5
"Roddy Ricch","Please Excuse Me for Being Antisocial",15,18.2666666666667
"Drake","Scorpion",23,11.9130434782609
"Queen","Jazz",7,39
"Miguel","War & Leisure",3,90.3333333333333
"Kanye West","ye",7,38.5714285714286
"Bryson Tiller","A N N I V E R S A R Y",15,17.8666666666667
"blackbear","digital druglord",4,66.5
"Coldplay","X&Y",5,52.2
"Playboi Carti","Die Lit",19,13.6315789473684
"Justin Timberlake","The 20/20 Experience",2,127.5
"Lil Uzi Vert","Luv Is Rage 2",10,25
"Maroon 5","Songs About Jane: 10th Anniversary Edition",7,35.5714285714286
"Don Toliver","Heaven Or Hell",13,19.0769230769231
"Coldplay","A Rush of Blood to the Head",4,61.75
"Drake","Views",13,19
"Mura Masa","Mura Masa",2,119.5
"Boston","Boston",3,79.3333333333333
"Kanye West","Late Registration",8,29.75
"Logic","Under Pressure",9,26
"Kanye West","The College Dropout",7,32.8571428571429
"The Weeknd","Beauty Behind The Madness",10,22.7
"fun.","Some Nights",3,75.6666666666667
"OneRepublic","Native",4,54
"Future","EVOL",3,71.6666666666667
"Jack Harlow","Thats What They All Say",8,26.5
"Joey Bada$$","ALL-AMERIKKKAN BADA$$",9,23.4444444444444
"Bryson Tiller","True to Self",19,11.0526315789474
"Logic","Bobby Tarantino",5,41.6
"Drake","Nothing Was The Same",8,25.375
"Cage The Elephant","Social Cues",13,15.5384615384615
"Don Toliver","Donny Womack",10,18.7
"Mustard","Perfect Ten",5,37
"KIDS SEE GHOSTS","KIDS SEE GHOSTS",7,25.8571428571429
"Jack Harlow","Loose",11,16.4545454545455
"Juice WRLD","Legends Never Die",8,22.25
"Tory Lanez","LoVE me NOw",4,43.75
