"Artist","Album","Songs","Plays Per Song"
"Ed Sheeran","Divide",16,51.8125
"Nicky Jam","Fenix",26,31.5769230769231
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",13,54.2307692307692
"ODESZA","A Moment Apart",25,26
"Ed Sheeran","x",13,32.4615384615385
"Quinn XCII","The Story of Us",15,27.6666666666667
"The Piano Guys","The Piano Guys",7,58.1428571428571
"Mac Miller","Circles",15,27
"Khalid","American Teen",13,30.3076923076923
"The Weeknd","Beauty Behind The Madness",14,26.7857142857143
"Jeremy Zucker","love is not dying",15,24.9333333333333
"Oh Wonder","Oh Wonder",15,24.2666666666667
"Khalid","Free Spirit",17,20.2941176470588
"Jon Bellion","The Human Condition",14,23.3571428571429
"The Weeknd","Starboy",19,15.8421052631579
"The Weeknd","Trilogy",28,10.75
"Billie Eilish","dont smile at me",9,32.5555555555556
"Jeremy Zucker","summer,",5,52.8
"Pritam","Kalank",7,37
"Pedro Capo","Calma",4,64.25
"Jeremy Zucker","brent",6,42.8333333333333
"Quinn XCII","From Michigan With Love",12,21
"Herdis Stefansdottir","The Sun Is Also a Star (Original Motion Picture Soundtrack)",18,13.8333333333333
"Quinn XCII","A Letter To My Younger Self",12,20.5
"Billie Eilish","Happier Than Ever",17,14.3529411764706
"Jeremy Zucker","glisten",4,60.25
"Shoffy","Flash",8,27.625
"Labrinth","Euphoria (Original Score from the HBO Series)",23,9.47826086956522
"Lauv","~how i'm feeling~",18,11.8333333333333
"The Piano Guys","The Piano Guys 2",11,19.2727272727273
"Kid Cudi","Man On The Moon: The End Of Day",16,13.1875
"Ed Sheeran","+",9,23
"Bruno Major","To Let A Good Thing Die",8,24.375
"Khalid","Suncity",7,27.1428571428571
"Ed Sheeran","Perfect",4,47
"SYML","SYML",4,45.75
"Jeremy Zucker","idle",4,45.5
"Lolo Zouai","High Highs to Low Lows",8,21.75
"Jason Mraz","We Sing. We Dance. We Steal Things.",4,43.25
"6LACK","East Atlanta Love Letter",14,12.2857142857143
"Pritam","Yeh Jawaani Hai Deewani",7,24.2857142857143
"Sleeping At Last","Atlas: II",8,20.5
"Bazzi","COSMIC",9,18.1111111111111
"Giveon","When It's All Said And Done... Take Time",12,13.4166666666667
"Maluma","F.A.M.E.",8,19.875
"Ed Sheeran","Spotify Singles",42,3.76190476190476
"ODESZA","In Return",17,8.94117647058824
"XXXTENTACION","17",10,15
"Post Malone","beerbongs & bentleys",18,8.33333333333333
"James Blake","Assume Form",13,11
"The Piano Guys","Wonders",10,14.3
"Daniel Caesar","Freudian",10,13.9
"Novo Amor","Bathing Beach",4,34.5
"Post Malone","Stoney",22,6.27272727272727
