"Album","Plays","Songs","Artist","First Listen","Plays Per Song"
"ASTROWORLD",1979,17,"Travis Scott","2018-08-03",116.411764705882
"After Hours",1334,19,"The Weeknd","2020-02-19",70.2105263157895
"DAMN.",1322,14,"Kendrick Lamar","2017-04-21",94.4285714285714
"Black Panther The Album Music From And Inspired By",1112,14,"Khalid","2018-02-09",79.4285714285714
"Man On The Moon: The End Of Day",1013,18,"Kid Cudi","2017-11-16",56.2777777777778
"Rodeo",913,13,"Travis Scott","2017-11-14",70.2307692307692
"Birds In The Trap Sing McKnight",907,14,"Travis Scott","2017-03-27",64.7857142857143
"good kid, m.A.A.d city",876,15,"Kendrick Lamar","2017-06-03",58.4
"The Life Of Pablo",701,20,"Kanye West","2017-05-29",35.05
"Graduation",638,13,"Kanye West","2017-05-28",49.0769230769231
"Confetti",611,12,"Jack Harlow","2019-11-09",50.9166666666667
"Take Care",595,7,"Drake","2017-04-08",85
"To Pimp A Butterfly",592,16,"Kendrick Lamar","2017-05-28",37
"Man On The Moon III: The Chosen",591,18,"Kid Cudi","2020-12-11",32.8333333333333
"My Beautiful Dark Twisted Fantasy",539,10,"Kanye West","2017-05-28",53.9
"T R A P S O U L",537,18,"Bryson Tiller","2019-12-05",29.8333333333333
"Melophobia",522,10,"Cage The Elephant","2021-02-11",52.2
"DIE FOR MY BITCH",519,13,"Baby Keem","2020-03-07",39.9230769230769
"Starboy",505,14,"The Weeknd","2017-03-27",36.0714285714286
"Man On The Moon II: The Legend Of Mr. Rager",485,17,"Kid Cudi","2020-06-13",28.5294117647059
"My Dear Melancholy,",485,7,"The Weeknd","2018-03-30",69.2857142857143
"The Melodic Blue",484,25,"Baby Keem","2021-09-10",19.36
"Donda",476,25,"Kanye West","2021-08-29",19.04
"Sgt. Pepper's Lonely Hearts Club Band",455,24,"The Beatles","2017-10-11",18.9583333333333
"Everybody",449,7,"Logic","2017-05-16",64.1428571428571
"Bobby Tarantino II",430,13,"Logic","2018-03-09",33.0769230769231
"Abbey Road",414,17,"The Beatles","2017-10-11",24.3529411764706
"808s & Heartbreak",384,7,"Kanye West","2018-08-26",54.8571428571429
"Blonde",383,17,"Frank Ocean","2017-09-25",22.5294117647059
"Mr. Morale & The Big Steppers",362,19,"Kendrick Lamar","2022-05-13",19.0526315789474
"More Life",361,11,"Drake","2017-03-27",32.8181818181818
"Flower Boy",355,14,"Tyler, The Creator","2017-07-26",25.3571428571429
"2014 Forest Hills Drive",346,9,"J. Cole","2017-05-16",38.4444444444444
"beerbongs & bentleys",324,12,"Post Malone","2018-04-27",27
"Overexposed",299,5,"Maroon 5","2017-10-07",59.8
"1",289,13,"The Beatles","2017-09-02",22.2307692307692
