"Album","Plays","Songs","Artist","First Listen","Plays Per Song"
"Divide",829,16,"Ed Sheeran","2017-12-05",51.8125
"Fenix",821,26,"Nicky Jam","2017-09-24",31.5769230769231
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",705,13,"Billie Eilish","2019-03-29",54.2307692307692
"A Moment Apart",650,25,"ODESZA","2017-12-30",26
"x",422,13,"Ed Sheeran","2017-12-07",32.4615384615385
"The Story of Us",415,15,"Quinn XCII","2018-04-25",27.6666666666667
"The Piano Guys",407,7,"The Piano Guys","2016-09-02",58.1428571428571
"Circles",405,15,"Mac Miller","2017-08-30",27
"American Teen",394,13,"Khalid","2018-04-08",30.3076923076923
"Beauty Behind The Madness",375,14,"The Weeknd","2016-11-26",26.7857142857143
"love is not dying",374,15,"Jeremy Zucker","2020-04-17",24.9333333333333
"Oh Wonder",364,15,"Oh Wonder","2018-05-20",24.2666666666667
"Free Spirit",345,17,"Khalid","2019-04-05",20.2941176470588
"The Human Condition",327,14,"Jon Bellion","2018-04-25",23.3571428571429
"Starboy",301,19,"The Weeknd","2016-10-27",15.8421052631579
"Trilogy",301,28,"The Weeknd","2016-11-28",10.75
"dont smile at me",293,9,"Billie Eilish","2018-04-22",32.5555555555556
"summer,",264,5,"Jeremy Zucker","2019-02-14",52.8
"Kalank",259,7,"Pritam","2020-08-04",37
"Calma",257,4,"Pedro Capo","2019-02-04",64.25
"brent",257,6,"Jeremy Zucker","2019-05-19",42.8333333333333
"From Michigan With Love",252,12,"Quinn XCII","2019-05-11",21
"The Sun Is Also a Star (Original Motion Picture Soundtrack)",249,18,"Herdis Stefansdottir","2019-05-19",13.8333333333333
"A Letter To My Younger Self",246,12,"Quinn XCII","2020-07-10",20.5
"Happier Than Ever",244,17,"Billie Eilish","2021-07-30",14.3529411764706
"glisten",241,4,"Jeremy Zucker","2018-05-13",60.25
"Flash",221,8,"Shoffy","2020-04-29",27.625
"Euphoria (Original Score from the HBO Series)",218,23,"Labrinth","2020-03-04",9.47826086956522
"~how i'm feeling~",213,18,"Lauv","2019-10-06",11.8333333333333
"The Piano Guys 2",212,11,"The Piano Guys","2018-01-16",19.2727272727273
"Man On The Moon: The End Of Day",211,16,"Kid Cudi","2018-04-05",13.1875
"+",207,9,"Ed Sheeran","2017-01-06",23
"To Let A Good Thing Die",195,8,"Bruno Major","2020-06-13",24.375
"Suncity",190,7,"Khalid","2018-10-20",27.1428571428571
"Perfect",188,4,"Ed Sheeran","2018-01-16",47
"Just Stay",183,1,"Mauve","2019-12-04",183
"SYML",183,4,"SYML","2020-08-30",45.75
"idle",182,4,"Jeremy Zucker","2018-04-22",45.5
"High Highs to Low Lows",174,8,"Lolo Zouai","2020-03-23",21.75
"We Sing. We Dance. We Steal Things.",173,4,"Jason Mraz","2018-02-28",43.25
"East Atlanta Love Letter",172,14,"6LACK","2018-09-19",12.2857142857143
"Yeh Jawaani Hai Deewani",170,7,"Pritam","2019-02-12",24.2857142857143
"Atlas: II",164,8,"Sleeping At Last","2021-03-22",20.5
"COSMIC",163,9,"Bazzi","2018-04-24",18.1111111111111
"When It's All Said And Done... Take Time",161,12,"Giveon","2021-03-12",13.4166666666667
"F.A.M.E.",159,8,"Maluma","2018-05-25",19.875
"Spotify Singles",158,42,"Ed Sheeran","2017-12-05",3.76190476190476
"In Return",152,17,"ODESZA","2017-12-31",8.94117647058824
"17",150,10,"XXXTENTACION","2017-08-30",15
"beerbongs & bentleys",150,18,"Post Malone","2018-05-07",8.33333333333333
"Assume Form",143,13,"James Blake","2019-04-23",11
"Wonders",143,10,"The Piano Guys","2016-08-31",14.3
"Freudian",139,10,"Daniel Caesar","2018-04-29",13.9
"Bathing Beach",138,4,"Novo Amor","2018-03-13",34.5
"Stoney",138,22,"Post Malone","2017-08-25",6.27272727272727
"I met you when I was 18.",137,15,"Lauv","2018-06-08",9.13333333333333
"Atlas: I",136,4,"Sleeping At Last","2019-08-10",34
"lovely (with Khalid)",136,1,"Billie Eilish","2018-04-22",136
"NOT ALL HEROES WEAR CAPES",134,13,"Metro Boomin","2018-11-14",10.3076923076923
"Beautiful Dreams",131,10,"Tyler and Mark","2018-11-15",13.1
"Narrated For You",130,9,"Alec Benjamin","2018-11-28",14.4444444444444
"Some Nights",128,3,"fun.","2018-10-10",42.6666666666667
"Una Mattina",128,8,"Ludovico Einaudi","2017-12-24",16
"Stargazing",125,2,"Kygo","2017-12-31",62.5
"Changes",124,16,"Justin Bieber","2019-06-29",7.75
"CTV3: Cool Tape Vol. 3",122,13,"Jaden","2020-10-19",9.38461538461539
"Motions",119,11,"Jeremy Zucker","2018-04-22",10.8181818181818
"TIM",119,12,"Avicii","2019-06-09",9.91666666666667
"Hollywood's Bleeding",117,12,"Post Malone","2019-09-11",9.75
"Blonde",116,10,"Frank Ocean","2018-04-29",11.6
"CASE STUDY 01",116,4,"Daniel Caesar","2019-11-10",29
"Here Comes the Sun",116,1,"SYML","2019-12-04",116
"Malibu Nights",115,4,"Roxy Tones","2018-11-18",28.75
"By My Side",112,1,"Mauve","2019-12-04",112
"Ma Fleur",112,3,"The Cinematic Orchestra","2019-04-05",37.3333333333333
"SOS",111,22,"SZA","2019-04-12",5.04545454545455
"Six Feet Under",111,4,"Billie Eilish","2018-04-22",27.75
"blue",111,1,"Kamal.","2020-05-22",111
"BALLADS 1",110,10,"Joji","2019-08-02",11
"Before You Go",108,6,"Lewis Capaldi","2019-11-28",18
"Konvicted",108,4,"Akon","2018-08-09",27
"H.E.R.",107,6,"Daniel Caesar","2018-10-31",17.8333333333333
"Dark Sky Paradise",106,12,"Big Sean","2016-10-26",8.83333333333333
"Indian Summer",106,1,"Jai Wolf","2021-07-12",106
"Swimming",106,13,"Mac Miller","2020-06-04",8.15384615384615
"In the Shape of a Dream",105,10,"ayokay","2018-09-09",10.5
"True Colors",105,3,"Zedd","2019-02-04",35
"Mitch James - Deluxe Edition",104,14,"Mitch James","2018-11-19",7.42857142857143
"Panama",104,1,"Quinn XCII","2018-12-29",104
"come out and play",104,1,"Billie Eilish","2018-12-15",104
"Life of a Wallflower, Vol. 1",103,3,"Whethan","2019-05-23",34.3333333333333
"LABRINTH, SIA & DIPLO PRESENT... LSD",102,9,"Sia","2019-04-12",11.3333333333333
"PINK PLANET",102,14,"Pink Sweat$","2021-02-12",7.28571428571429
"Silence",102,2,"Marshmello","2018-01-01",51
"brent ii",101,5,"Jeremy Zucker","2021-02-11",20.2
"Summer on You",100,1,"PRETTYMUCH","2018-09-01",100
"Here For Now",99,8,"Louis The Child","2020-07-01",12.375
"Collection One",97,13,"SAINt JHN","2019-06-09",7.46153846153846
"channel ORANGE",97,14,"Frank Ocean","2017-06-26",6.92857142857143
"ASTROWORLD",96,17,"Travis Scott","2018-08-03",5.64705882352941
"Divinely Uninspired To A Hellish Extent",96,11,"Lewis Capaldi","2019-05-20",8.72727272727273
"Doo-Wops & Hooligans",96,7,"Bruno Mars","2018-04-22",13.7142857142857
"The Making of a Paracosm",95,14,"Kasbo","2020-10-26",6.78571428571429
"Fallen Embers",94,9,"ILLENIUM","2021-07-16",10.4444444444444
"GALLERY",93,6,"A R I Z O N A","2018-02-07",15.5
"Turn Back Time",93,2,"Daniel Schulz","2018-02-05",46.5
"you were good to me",93,2,"Jeremy Zucker","2019-04-19",46.5
"Facing Future",92,2,"Israel Kamakawiwo'ole","2019-08-10",46
"Oceans Away",92,1,"A R I Z O N A","2019-06-10",92
"Sigh for Me",92,2,"Lostboycrow","2018-05-07",46
"Kiss Land",91,10,"The Weeknd","2016-11-25",9.1
"Ghetto Lenny's Love Songs",90,10,"SAINt JHN","2019-09-09",9
"La Boca",90,1,"Mau y Ricky","2019-07-24",90
"Music From The Twilight Saga",90,15,"Stanislav Gallin","2020-08-27",6
"ye",90,7,"Kanye West","2018-06-06",12.8571428571429
"Eterno Agosto",89,5,"Alvaro Soler","2018-05-20",17.8
"Fireproof (feat. Teddy Sky)",89,1,"VAX","2018-02-05",89
"Hey DJ",89,3,"CNCO","2017-09-23",29.6666666666667
"Je te laisserai des mots",89,1,"Patrick Watson","2021-05-05",89
"Ocean Eyes",89,8,"Billie Eilish","2018-09-30",11.125
"The Greatest Showman (Original Motion Picture Soundtrack)",89,11,"Keala Settle","2018-05-20",8.09090909090909
