"Album","Plays","Songs","Artist","First Listen","Plays Per Song"
"Birds in the Trap Sing McKnight",1719,14,"Travis Scott","2016-09-05",122.785714285714
"T R A P S O U L",1680,18,"Bryson Tiller","2016-01-03",93.3333333333333
"Cilvia Demo",1630,14,"Isaiah Rashad","2016-05-15",116.428571428571
"The Water[s]",1550,18,"Mick Jenkins","2016-09-10",86.1111111111111
"To Pimp a Butterfly",1423,16,"Kendrick Lamar","2016-01-02",88.9375
"Loose",1395,14,"Jack Harlow","2018-08-20",99.6428571428571
"DAMN.",1380,14,"Kendrick Lamar","2017-04-14",98.5714285714286
"B4.DA.$$",1343,22,"Joey Bada$$","2016-06-08",61.0454545454545
"Blonde",1308,17,"Frank Ocean","2016-08-21",76.9411764705882
"Confetti",1302,12,"Jack Harlow","2019-09-20",108.5
"Malibu",1258,16,"Anderson .Paak","2016-03-19",78.625
"The Sun's Tirade",1253,17,"Isaiah Rashad","2016-08-13",73.7058823529412
"good kid, m.A.A.d city",1227,17,"Kendrick Lamar","2016-01-02",72.1764705882353
"Views",1146,20,"Drake","2016-04-29",57.3
"Eternal Atake",1141,49,"Lil Uzi Vert","2018-12-14",23.2857142857143
"Rodeo",1076,17,"Travis Scott","2016-01-03",63.2941176470588
"ASTROWORLD",1068,17,"Travis Scott","2018-08-03",62.8235294117647
"AT.LONG.LAST.A$AP",1062,18,"A$AP Rocky","2016-08-31",59
"Coloring Book",1042,14,"Chance the Rapper","2016-05-13",74.4285714285714
"WELCOME HOME",1010,9,"Aries","2019-05-03",112.222222222222
"Section.80",1007,17,"Kendrick Lamar","2016-01-12",59.2352941176471
"Summertime '06",940,20,"Vince Staples","2016-01-05",47
"The Healing Component",909,21,"Mick Jenkins","2016-09-12",43.2857142857143
"Luv Is Rage 2",840,21,"Lil Uzi Vert","2017-08-25",40
"Graduation",827,16,"Kanye West","2016-01-02",51.6875
"2014 Forest Hills Drive",820,14,"J. Cole","2016-01-14",58.5714285714286
"True to Self",815,19,"Bryson Tiller","2017-05-11",42.8947368421053
"Oxymoron",813,17,"ScHoolboy Q","2016-01-02",47.8235294117647
"PARTYMOBILE",781,15,"PARTYNEXTDOOR","2020-03-27",52.0666666666667
"Die Lit",779,19,"Playboi Carti","2018-05-11",41
"Yes Lawd!",773,19,"NxWorries, Knxwledge, Anderson .Paak","2016-10-21",40.6842105263158
"ALL-AMERIKKKAN BADA$$",755,12,"Joey Bada$$","2017-03-13",62.9166666666667
"GTTM: Goin Thru the Motions",740,14,"PnB Rock","2017-01-07",52.8571428571429
"Pieces of a Man",740,18,"Mick Jenkins","2018-10-24",41.1111111111111
"I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",736,10,"Earl Sweatshirt","2017-10-22",73.6
"The Life of Pablo",717,21,"Kanye West","2016-02-20",34.1428571428571
"Overly Dedicated",685,19,"Kendrick Lamar","2016-01-12",36.0526315789474
"The House Is Burning",670,16,"Isaiah Rashad","2021-07-23",41.875
"Lil Uzi Vert Vs. The World",669,9,"Lil Uzi Vert","2016-07-04",74.3333333333333
"SYRE",662,17,"Jaden","2017-11-19",38.9411764705882
"HNDRXX",661,18,"Future","2017-02-24",36.7222222222222
"Ransom 2",648,16,"Mike WiLL Made-It","2017-03-24",40.5
"MEMORIES DON'T DIE",637,17,"Tory Lanez","2018-03-02",37.4705882352941
"Passion, Pain & Demon Slayin'",635,19,"Kid Cudi","2016-12-16",33.4210526315789
"Please Excuse Me For Being Antisocial",632,15,"Roddy Ricch","2019-12-06",42.1333333333333
"My Turn",629,26,"Lil Baby","2020-02-28",24.1923076923077
"Blank Face LP",623,17,"ScHoolboy Q","2016-06-30",36.6470588235294
"My Head Is a Moshpit",614,18,"Verzache","2021-03-07",34.1111111111111
"A N N I V E R S A R Y",611,15,"Bryson Tiller","2020-10-05",40.7333333333333
"Huncho Jack, Jack Huncho",611,13,"Travis Scott, Quavo, HUNCHO JACK","2017-12-22",47
"Freudian",609,10,"Daniel Caesar","2017-08-25",60.9
"My Beautiful Dark Twisted Fantasy",604,14,"Kanye West","2016-01-01",43.1428571428571
"The College Dropout",591,29,"Kanye West","2016-02-14",20.3793103448276
"white ceilings",571,30,"whiterosemoxie","2020-03-28",19.0333333333333
"Wave[s]",569,11,"Mick Jenkins","2016-06-07",51.7272727272727
"Late Registration",562,21,"Kanye West","2016-01-02",26.7619047619048
"JEFFERY",560,9,"Young Thug","2017-03-22",62.2222222222222
"grae ceilings",542,13,"whiterosemoxie","2020-09-26",41.6923076923077
"LONG.LIVE.A$AP",536,22,"A$AP Rocky","2016-01-17",24.3636363636364
"1999",532,15,"Joey Bada$$","2018-06-12",35.4666666666667
"Life of a Dark Rose",532,14,"Lil Skies","2017-12-24",38
"BELIEVE IN ME, WHO BELIEVES IN YOU",529,12,"Aries","2021-10-18",44.0833333333333
"Indicud",528,18,"Kid Cudi","2016-01-29",29.3333333333333
"The Never Story",528,12,"JID","2017-03-10",44
"FUTURE",526,20,"Future","2017-02-17",26.3
"NOIR",516,18,"Smino","2018-11-08",28.6666666666667
"Free TC",511,21,"Ty Dolla $ign","2016-04-16",24.3333333333333
"CALL ME IF YOU GET LOST",491,16,"Tyler, The Creator","2021-06-25",30.6875
"SATURATION",487,15,"BROCKHAMPTON","2017-06-14",32.4666666666667
"Hotel Paranoia",484,15,"Jazz Cartier","2016-09-23",32.2666666666667
"If You're Reading This It's Too Late",484,17,"Drake","2016-03-03",28.4705882352941
"KOD",479,12,"J. Cole","2018-04-20",39.9166666666667
"OK Computer",476,12,"Radiohead","2020-05-19",39.6666666666667
"Beach House 3",473,21,"Ty Dolla $ign","2017-10-27",22.5238095238095
"Summer Knights",466,13,"Joey Bada$$","2016-08-07",35.8461538461538
"Swimming",464,13,"Mac Miller","2018-08-04",35.6923076923077
"Sunset Visionary, Vol. 2",463,12,"Tom The Mail Man","2022-04-08",38.5833333333333
"Man On the Moon: The End of Day",462,19,"Kid Cudi","2016-01-14",24.3157894736842
"Black Panther The Album Music From And Inspired By",454,14,"Kendrick Lamar, Jay Rock, James Blake, Future","2018-01-04",32.4285714285714
"CASE STUDY 01",440,10,"Daniel Caesar","2019-06-28",44
"Culture",437,13,"Migos","2017-01-07",33.6153846153846
"Mr. Morale & The Big Steppers",429,17,"Kendrick Lamar","2022-05-13",25.2352941176471
"Born Sinner",426,27,"J. Cole","2016-01-05",15.7777777777778
"Future Hndrxx Presents: The WIZRD",425,20,"Future","2019-01-18",21.25
"TESTING",421,15,"A$AP Rocky","2018-05-25",28.0666666666667
"Goodbye & Good Riddance",419,16,"Juice WRLD","2018-05-24",26.1875
"blkswn",419,18,"Smino","2017-03-14",23.2777777777778
"Quality Control: Control the Streets, Vol. 1",414,30,"Quality Control, Migos","2017-12-08",13.8
"Death Race for Love",413,22,"Juice WRLD","2019-03-08",18.7727272727273
"A Love Letter to You 2",405,14,"Trippie Redd","2017-10-07",28.9285714285714
"The World Is Yours 2",405,16,"Rich The Kid","2019-03-23",25.3125
"untitled unmastered.",405,8,"Kendrick Lamar","2016-03-05",50.625
"SATURATION III",401,15,"BROCKHAMPTON","2017-12-15",26.7333333333333
"Along Came Joyner",399,21,"Joyner Lucas","2016-09-22",19
"Vacation In Hell",397,19,"Flatbush Zombies","2018-04-06",20.8947368421053
"More Life",395,22,"Drake","2017-03-19",17.9545454545455
"DiCaprio 2",383,14,"JID","2018-10-04",27.3571428571429
"Playboi Carti",379,15,"Playboi Carti","2017-04-23",25.2666666666667
"The World Is Yours",379,15,"Rich The Kid","2018-03-27",25.2666666666667
"Cozy Tapes, Vol. 1: Friends",378,12,"A$AP Mob","2016-11-07",31.5
"TA13OO",378,13,"Denzel Curry","2018-07-12",29.0769230769231
"Launch Sequence",369,16,"Patrick Cc:","2021-02-19",23.0625
"Melophobia",366,10,"Cage the Elephant","2020-05-04",36.6
"Atrocity Exhibition",364,15,"Danny Brown","2016-08-29",24.2666666666667
"IGOR",364,11,"Tyler, The Creator","2019-05-19",33.0909090909091
"Amen",363,14,"Rich Brian","2018-02-02",25.9285714285714
"American Teen",362,15,"Khalid","2017-03-09",24.1333333333333
"November",360,11,"SiR","2018-01-19",32.7272727272727
"4 Your Eyez Only",355,10,"J. Cole","2016-12-09",35.5
