"Album","Plays","Songs","Artist","First Listen","Plays Per Song"
"Swimming",5918,13,"Mac Miller",2018-09-08,455.230769230769
"American Teen",4491,15,"Khalid",2017-09-12,299.4
"Amen",3280,14,"Rich Brian",2018-02-02,234.285714285714
"SYRE",3157,13,"Jaden",2018-06-28,242.846153846154
"Circles",2900,14,"Mac Miller",2020-01-17,207.142857142857
"ERYS",2406,12,"Jaden",2019-07-05,200.5
"Free Spirit",2110,17,"Khalid",2019-04-05,124.117647058824
"ATLAS",1909,16,"The Score",2017-10-18,119.3125
"Life of a Dark Rose",1860,9,"Lil Skies",2018-03-28,206.666666666667
"ASTROWORLD",1810,17,"Travis Scott",2018-08-03,106.470588235294
"BALLADS 1",1798,12,"Joji",2019-08-05,149.833333333333
"Goodbye & Good Riddance",1672,7,"Juice WRLD",2018-06-19,238.857142857143
"GO:OD AM",1591,15,"Mac Miller",2018-11-30,106.066666666667
"The Divine Feminine",1508,10,"Mac Miller",2018-10-03,150.8
"Hollywood's Bleeding",1393,11,"Post Malone",2019-09-06,126.636363636364
"Confetti",1386,12,"Jack Harlow",2019-09-20,115.5
"Blue Slide Park",1381,16,"Mac Miller",2019-12-10,86.3125
"Northsbest",1362,3,"Lil Mosey",2018-11-08,454
"Donald Trump - Single",1342,1,"Mac Miller",2017-10-09,1342
"Stoney",1322,10,"Post Malone",2017-09-11,132.2
"2014 Forest Hills Drive",1252,7,"J. Cole",2017-10-12,178.857142857143
"STOKELEY",1224,7,"Ski Mask The Slump God",2019-01-21,174.857142857143
"Night Visions",1150,5,"Imagine Dragons",2017-09-11,230
"Revenge Of The Dreamers III",1148,8,"Dreamville",2019-07-08,143.5
"Perception",1121,9,"NF",2018-07-16,124.555555555556
"Sunflower",1092,12,"Rex Orange County",2018-10-29,91
"K.I.D.S.",1082,17,"Mac Miller",2020-04-29,63.6470588235294
"BTR",1045,11,"Big Time Rush",2018-07-21,95
"Funk Wav Bounces Vol.1",1038,7,"Calvin Harris",2017-09-12,148.285714285714
"A Rush of Blood to the Head",1021,4,"Coldplay",2019-08-04,255.25
"Evolve",1003,3,"Imagine Dragons",2017-09-11,334.333333333333
"Eternal Atake",996,21,"Lil Uzi Vert",2020-03-06,47.4285714285714
"Episode III",991,1,"Olympic Ayres",2021-05-11,991
"beerbongs & bentleys",954,17,"Post Malone",2018-04-27,56.1176470588235
"Sweet Action",949,7,"Jack Harlow",2020-03-13,135.571428571429
"YSIV",911,4,"Logic",2018-09-28,227.75
"Bobby Tarantino II",905,13,"Logic",2018-03-09,69.6153846153846
"Creeping (feat. Rich the Kid)",894,1,"Lil Skies",2018-04-03,894
"What Do You Think About the Car?",873,11,"Declan McKenna",2022-02-21,79.3636363636364
"Black Panther The Album Music From And Inspired By",860,4,"The Weeknd",2018-02-11,215
"My Type EP",821,2,"Saint Motel",2019-11-16,410.5
"DAMN.",796,3,"Kendrick Lamar",2017-09-11,265.333333333333
"The Search",775,21,"NF",2019-06-01,36.9047619047619
"Best Day Ever (5th Anniversary Remastered Edition)",772,16,"Mac Miller",2019-12-10,48.25
"The Beautiful & Damned",771,17,"G-Eazy",2017-11-17,45.3529411764706
"Waking Up",768,4,"OneRepublic",2018-12-07,192
"Dreamland",762,7,"Glass Animals",2020-07-28,108.857142857143
"Jungle Rules",740,1,"French Montana",2017-09-11,740
"Parachutes",725,3,"Coldplay",2019-08-04,241.666666666667
"Carry On",724,15,"The Score",2020-09-03,48.2666666666667
"Crisis (feat. 21 Savage)",719,1,"Rich Brian",2017-11-29,719
"Loving Is Easy (feat. Benny Sings)",707,1,"Rex Orange County",2019-06-25,707
"We Love You Tecca",704,8,"Lil Tecca",2019-08-30,88
"Fuzzybrain",701,10,"Dayglow",2020-07-28,70.1
"Ghost Stories",696,2,"Coldplay",2018-01-22,348
"QUAVO HUNCHO",695,3,"Quavo",2018-10-12,231.666666666667
"Currents",691,4,"Tame Impala",2019-06-21,172.75
"Apricot Princess",685,10,"Rex Orange County",2019-06-25,68.5
"Macadelic (Remastered Edition)",675,17,"Mac Miller",2020-05-04,39.7058823529412
"Sadnecessary",673,3,"Milky Chance",2019-11-17,224.333333333333
"Best Day Ever",669,4,"Mac Miller",2018-09-08,167.25
"Without Warning",668,1,"Offset",2018-03-12,668
"Carnival",651,8,"Briston Maroney",2020-06-01,81.375
"Sanctuary",618,1,"Joji",2019-08-05,618
"Native",616,4,"OneRepublic",2018-12-07,154
"The Sunset Tapes: A Cool Tape Story",603,8,"Jaden",2018-11-17,75.375
"MIDDLE CHILD",592,1,"J. Cole",2019-01-24,592
"Birds In The Trap Sing McKnight",582,2,"Travis Scott",2018-12-23,291
"Dissimulation",577,15,"KSI",2020-05-22,38.4666666666667
"Heatwave",576,11,"HARBOUR",2022-02-26,52.3636363636364
"Oracular Spectacular",563,2,"MGMT",2020-06-01,281.5
"Sunflower Seeds",556,1,"Bryce Vine",2018-10-17,556
