"Artist","Songs","Plays Per Song"
"Kanye West",133,28.4285714285714
"Travis Scott",52,71.7115384615385
"Kendrick Lamar",92,39.9565217391304
"The Weeknd",89,33.8876404494382
"Drake",140,18.1928571428571
"Kid Cudi",142,16.8802816901408
"The Beatles",85,21.8117647058824
"Logic",105,15.952380952381
"Baby Keem",50,32
"Jack Harlow",46,26.1521739130435
"Bryson Tiller",63,17.3174603174603
"Queen",64,14.890625
"J. Cole",46,18.3695652173913
"Coldplay",20,42.2
"Maroon 5",32,26.25
"Cage The Elephant",50,16.38
"Tyler, The Creator",39,17.2564102564103
"Don Toliver",44,15.25
"Calvin Harris",20,33.45
"Frank Ocean",41,15.780487804878
"Post Malone",37,16.6486486486486
"Future",33,16.2727272727273
"blackbear",10,50.9
"Childish Gambino",21,21.4761904761905
"Eminem",59,7.42372881355932
"Playboi Carti",52,8.25
"Lil Wayne",26,16.3846153846154
"Young Thug",18,23.0555555555556
"Khalid",26,15.0769230769231
"Joey Bada$$",47,7.95744680851064
"Lil Uzi Vert",36,10.2777777777778
"Juice WRLD",31,11.7096774193548
"Tory Lanez",35,10.3428571428571
"Marshmello",13,27.5384615384615
"Roddy Ricch",38,9.42105263157895
"Justin Timberlake",21,16.9047619047619
"NAV",15,23.4666666666667
"Brent Faiyaz",50,5.62
"Migos",31,9.03225806451613
"Mac Miller",40,6.7
"A$AP Rocky",20,13.3
"Bruno Mars",14,18.7857142857143
"XXXTENTACION",18,13.3333333333333
"Billie Eilish",25,9.4
"Rex Orange County",24,9.79166666666667
"Lil Tecca",10,22.2
"Chris Brown",15,14.6666666666667
"21 Savage",19,11.4210526315789
"JAY-Z",20,10.4
"Meek Mill",21,9.52380952380952
"DJ Khaled",35,5.68571428571429
"Fleetwood Mac",37,5.10810810810811
"The Rolling Stones",16,11.375
"Elton John",12,14.8333333333333
"SZA",33,5.12121212121212
"Thundercat",51,3.23529411764706
"Beach House",23,7.1304347826087
"Lil Baby",19,8.42105263157895
"Polo G",22,7.18181818181818
"DaBaby",22,7.04545454545455
"Lil Nas X",21,7.23809523809524
"Lil Mosey",11,13.5454545454545
"Tom Petty",12,12.3333333333333
"Metro Boomin",27,5.40740740740741
"Gunna",24,5.875
"Pop Smoke",24,5.875
"Ariana Grande",12,11.5833333333333
"6ix9ine",12,11.5
"Creedence Clearwater Revival",16,8.3125
"David Guetta",17,7.35294117647059
"G-Eazy",10,12.5
"Tame Impala",36,3.47222222222222
"Trippie Redd",14,8.78571428571429
"Lorde",11,11.0909090909091
"Vince Staples",15,8.13333333333333
"Aretha Franklin",118,1.02542372881356
"Rihanna",16,7.25
"Yung Gravy",25,4.56
"Chance the Rapper",10,11.1
"Machine Gun Kelly",10,10.6
"Big Sean",14,7.5
"Huncho Jack",11,9.54545454545454
"Hippo Campus",28,3.60714285714286
"Usher",10,10
"Journey",15,6.6
"David Bowie",25,3.84
"Larry June",22,4.22727272727273
"YG",13,6.38461538461539
"The Who",43,1.90697674418605
"Traffic",35,2.34285714285714
"Blaccmass",25,3.16
"Taylor Swift",29,2.72413793103448
"Arctic Monkeys",13,6
"whiterosemoxie",24,3.25
"Nicki Minaj",11,6.45454545454545
"24kGoldn",11,6.27272727272727
"Ty Dolla $ign",12,5.66666666666667
"Quinn XCII",11,5.90909090909091
"Tom Petty and the Heartbreakers",28,2.32142857142857
"Aries",12,5.25
"Marvin Gaye",19,3.26315789473684
"6LACK",12,5
"The Chainsmokers",11,5.45454545454545
"Jimi Hendrix",30,1.8
"Gucci Mane",10,5.1
"Thin Lizzy",17,2.64705882352941
"Daniel Caesar",12,3.66666666666667
"Jethro Tull",23,1.73913043478261
"BabyTron",14,2.78571428571429
"Lil Yachty",13,2.84615384615385
"Young Stoner Life",11,3.27272727272727
"midwxst",19,1.89473684210526
"KISS",10,3.5
"Swedish House Mafia",19,1.52631578947368
"Laffey",24,1.125
"Lata Mangeshkar",12,2.25
"The Velvet Underground",13,2
"Yusuf / Cat Stevens",20,1.3
"Mac Dre",11,2.09090909090909
"Joe Cocker",15,1.46666666666667
"Santana",10,2.2
"King Curtis",21,1
"Casiio",19,1.05263157894737
"The Band",11,1.72727272727273
"Ludacris",18,1
"Janis Joplin",10,1.6
"Jean Dawson",11,1.45454545454545
"Country Joe & The Fish",14,1.07142857142857
"Crosby, Stills & Nash",12,1.25
"Duke Ellington",14,1.07142857142857
"Sly & The Family Stone",10,1.5
"brillion.",12,1.25
"kudo",15,1
"Jefferson Airplane",12,1.16666666666667
"Sha Na Na",10,1.4
"Supertramp",11,1.27272727272727
"The Strokes",11,1.27272727272727
"Blood, Sweat & Tears",10,1.3
"Hoogway",13,1
"Jhove",11,1
"Joan Baez",11,1
