"Artist","Songs","Plays Per Song"
"Billie Eilish",62,32.9032258064516
"Ed Sheeran",82,24.7073170731707
"Jeremy Zucker",77,23.038961038961
"Quinn XCII",71,20.6478873239437
"The Weeknd",119,10.8571428571429
"Khalid",61,20.0491803278689
"Nicky Jam",58,18.3793103448276
"The Piano Guys",98,10.8061224489796
"ODESZA",76,13.25
"Mauve",35,21
"Pritam",81,8.35802469135803
"Mac Miller",57,11.2982456140351
"Lauv",47,12.4893617021277
"Oh Wonder",45,11.7777777777778
"Daniel Caesar",21,25.0952380952381
"SYML",41,12.8292682926829
"Post Malone",70,7.31428571428571
"Kygo",48,10.375
"Maluma",45,10.9333333333333
"Kid Cudi",75,6.37333333333333
"Ludovico Einaudi",96,4.96875
"Sleeping At Last",30,15.6666666666667
"Nidza Bleja",214,2.18691588785047
"Shoffy",28,15.9642857142857
"Bazzi",26,16.8846153846154
"Russ",63,6.96825396825397
"Pink Sweat$",44,9.79545454545454
"Giveon",30,13.8
"Kanye West",71,5.6056338028169
"Jon Bellion",34,11.5294117647059
"Lofi Fruits Music",123,3.1219512195122
"Frank Ocean",36,10.1944444444444
"Louis The Child",54,6.46296296296296
"ILLENIUM",48,7.08333333333333
"CNCO",35,9.57142857142857
"Petit Biscuit",29,11.0689655172414
"Avicii",30,10.1333333333333
"Chelsea Cutler",46,6.60869565217391
"Martin Garrix",20,15.15
"Bruno Major",15,20
"James Arthur",28,10.6071428571429
"Jason Mraz",24,12.3333333333333
"Sarcastic Sounds",27,10.962962962963
"Drake",106,2.72641509433962
"XXXTENTACION",44,6.54545454545455
"Shawn Mendes",35,8.2
"Alan Walker",25,11.44
"Labrinth",32,8.71875
"A R I Z O N A",25,11
"Pedro Capo",11,24.8181818181818
"Jai Wolf",18,14.8888888888889
"KSHMR",21,12.6666666666667
"Rihanna",24,10.9583333333333
"Lolo Zouai",15,17.4666666666667
"Masego",25,10.44
"San Holo",43,6.04651162790698
"blackbear",46,5.58695652173913
"James Blake",37,6.91891891891892
"SZA",42,6.07142857142857
"SRTW",40,6.325
"Herdis Stefansdottir",19,13.1578947368421
"Akon",18,13.8333333333333
"Jaden",29,8.37931034482759
"6LACK",30,7.96666666666667
"Lewis Capaldi",19,12.5263157894737
"Sam Smith",21,11.3333333333333
"R3HAB",49,4.81632653061224
"SAINt JHN",38,6.07894736842105
"Joji",30,7.66666666666667
"Kamal.",13,17.6923076923077
"Sia",38,6.02631578947368
"Novo Amor",15,15.1333333333333
"Arijit Singh",39,5.76923076923077
"ayokay",22,9.90909090909091
"Kasbo",33,6.57575757575758
"Sasha Alex Sloan",18,12
"Justin Bieber",43,4.93023255813953
"Alec Benjamin",25,8.44
"Gryffin",38,5.52631578947368
"OneRepublic",27,7.74074074074074
"The Chainsmokers",33,6.3030303030303
"James TW",15,13.6666666666667
"Anson Seabra",19,10.5789473684211
"Metro Boomin",28,7.17857142857143
"Lucky Daye",41,4.8780487804878
