"Artist","Songs","Plays Per Song"
"Kendrick Lamar",114,59.2982456140351
"Mick Jenkins",91,47.5934065934066
"Travis Scott",63,65.2698412698413
"Isaiah Rashad",54,70.2222222222222
"Joey Bada$$",88,40.8977272727273
"Jack Harlow",73,49.2876712328767
"Kanye West",164,20.859756097561
"Lil Uzi Vert",97,34.1958762886598
"Drake",196,16.7295918367347
"Bryson Tiller",64,50.203125
"Future",149,16.1610738255034
"Aries",32,73.03125
"J. Cole",89,25.7640449438202
"A$AP Rocky",62,34.4032258064516
"whiterosemoxie",70,27.9428571428571
"Anderson .Paak",66,29
"Kid Cudi",86,20.5116279069767
"Vince Staples",77,22.7012987012987
"ScHoolboy Q",51,33.5098039215686
"Young Thug",84,18.6071428571429
"Earl Sweatshirt",57,26.8947368421053
"Frank Ocean",45,33.8666666666667
"BROCKHAMPTON",91,16.5714285714286
"Tyler, The Creator",63,21.4444444444444
"Chance the Rapper",70,18.4857142857143
"Playboi Carti",59,21.7966101694915
"Smino",53,23.6792452830189
"Tory Lanez",104,11.3173076923077
"Mac Miller",75,15.5733333333333
"Juice WRLD",78,14.8205128205128
"Logic",97,11.659793814433
"Amine",62,17.2741935483871
"PARTYNEXTDOOR",32,33.0625
"Trippie Redd",65,15.9846153846154
"Jazz Cartier",57,18.0175438596491
"Ty Dolla $ign",57,17.9649122807018
"Daniel Caesar",22,46
"JID",37,27
"PnB Rock",33,28.8484848484848
"Verzache",28,31.3571428571429
"Rich The Kid",48,17.8958333333333
"A Boogie wit da Hoodie",77,10.8961038961039
"Kota the Friend",66,12.6969696969697
"The Weeknd",60,13.5
"Jaden",49,16.5102040816327
"Roddy Ricch",36,21.6666666666667
"A$AP Mob",31,24.7741935483871
"Migos",50,15.24
"Lil Skies",48,15.5625
"Flatbush Zombies",31,24
"Post Malone",66,10.7878787878788
"Denzel Curry",52,13.5769230769231
"Lil Baby",55,12.8181818181818
"NxWorries, Knxwledge, Anderson .Paak",19,36.8421052631579
"Pusha T",33,20.8181818181818
"Joyner Lucas",42,16.1666666666667
"Danny Brown",53,12.3207547169811
"Dave East",55,11.8
"The Beatles",41,15.4634146341463
"Rae Sremmurd",28,22.25
"Gunna",58,10.6379310344828
"Mike WiLL Made-It",15,40.8
"Travis Scott, Quavo, HUNCHO JACK",13,47
"XXXTENTACION",53,10.5283018867925
"Ramzoid",14,39
"Lil Yachty",76,7.17105263157895
"Dr. Dre",59,9.20338983050847
"Jay Rock",26,20.2692307692308
"6LACK",32,16.3125
"Tom The Mail Man",23,22.6086956521739
"Radiohead",38,13.5526315789474
"VIC MENSA",37,13.7027027027027
"SZA",42,11.5714285714286
"Lil Wayne",71,6.70422535211268
"SiR",26,18.2692307692308
"Buddy",31,15.0322580645161
"Khalid",38,11.7894736842105
"Cage the Elephant",14,31.9285714285714
"Grouplove",22,19.7727272727273
"Jonah Zed",13,32.6923076923077
"midwxst",31,13.6451612903226
"Mir Fontane",20,21.05
"Koi",24,17.375
"Nas",27,15.1481481481481
"Big Sean",41,9.73170731707317
"Eminem",65,5.98461538461538
"JAY-Z",30,12.6
"Rich Brian",15,25.0666666666667
"Tee Grizzley",53,7.07547169811321
"DJ Khaled",38,9.81578947368421
"The Black Keys",33,11.1515151515152
"Patrick Cc:",23,15.7391304347826
"A Tribe Called Quest",38,8.94736842105263
"Madlib, Freddie Gibbs",15,22.6
"SOB X RBE",18,18.3333333333333
"2 Chainz",40,8.2
"Hippo Campus",16,20.375
"Brent Faiyaz",25,12.84
"Polo G",37,8.56756756756757
"Macklemore & Ryan Lewis",32,9.75
"Big K.R.I.T.",55,5.65454545454545
"Snoop Dogg",44,7.02272727272727
"The 1975",33,9.3030303030303
"The Beach Boys",30,10.2333333333333
"Felly",37,7.94594594594595
"Kirk Knight",48,6.08333333333333
"Meek Mill",46,6.34782608695652
"Ski Mask the Slump God",28,10.1785714285714
"NAV",27,10.4814814814815
"Beach House",25,11.2
"nothing,nowhere.",16,17.5
"Gucci Mane",57,4.89473684210526
"Lupe Fiasco",21,12.952380952381
"Childish Gambino",36,7.5
"Desiigner",23,11.4347826086957
"Domo Genesis",13,19.9230769230769
"21 Savage",34,7.47058823529412
"Lil Uzi Vert, Future",22,11.5454545454545
"Metro Boomin",14,18.0714285714286
"Miguel",15,16.5333333333333
"Action Bronson",27,9.07407407407407
"blackbear",17,14.1764705882353
"Joey Purp",18,13.3333333333333
"Swae Lee, Slim Jxmmi, Rae Sremmurd",27,8.77777777777778
"Daniyel",11,21.1818181818182
"Arctic Monkeys",27,8.55555555555556
"Ariana Grande",32,7.125
