"Artist","Songs","Plays Per Song"
"Mac Miller",191,108.125654450262
"Khalid",58,123.655172413793
"Jaden",60,112.116666666667
"Rich Brian",30,170.2
"Post Malone",48,86.875
"The Score",53,77.0943396226415
"Logic",53,74.4905660377358
"Coldplay",22,176.363636363636
"Lil Skies",27,140.185185185185
"Jack Harlow",66,56.2575757575758
"Joji",56,60.5892857142857
"Rex Orange County",41,74.0975609756098
"J. Cole",35,86.4285714285714
"Juice WRLD",64,44
"Drake",72,38.3194444444444
"Travis Scott",23,117.304347826087
"NF",55,45.6
"Imagine Dragons",17,139.294117647059
"KSI",44,46.3181818181818
"Calvin Harris",21,94.7619047619048
"Briston Maroney",29,62.5862068965517
"OneRepublic",17,103.470588235294
"Lil Uzi Vert",29,57.2758620689655
"Ski Mask The Slump God",12,128.333333333333
"Big Time Rush",37,39.6756756756757
"Kendrick Lamar",36,38.6666666666667
"Arden Jones",24,54.9583333333333
"Kanye West",27,47.6296296296296
"Dreamville",13,94.6923076923077
"Lil Tecca",21,52.0952380952381
"Fall Out Boy",27,38.4814814814815
"Lil Baby",12,84.5
"Tame Impala",10,100.1
"21 Savage",16,57
"The Weeknd",24,37.7916666666667
"Quinn XCII",42,21.4761904761905
"Declan McKenna",16,55
"Lil Nas X",19,43.9473684210526
"The Kid LAROI",26,30.4230769230769
"G-Eazy",21,37.0476190476191
"Dayglow",11,65.2727272727273
"Hozier",31,22.3225806451613
"AJR",17,40.5882352941176
"Internet Money",22,30.7272727272727
"SAINt JHN",22,30.5909090909091
"BROCKHAMPTON",33,19.8787878787879
"HARBOUR",15,41.7333333333333
"Big Sean",23,25.6086956521739
"iann dior",15,37.8666666666667
"JID",33,14.9393939393939
"Aries",16,29.875
"88rising",10,46.9
"Surfaces",11,42.4545454545455
"Kid Cudi",23,20.0869565217391
"Samm Henshaw",32,14.21875
"Ed Sheeran",11,38.7272727272727
"Wallows",17,24.7058823529412
"DaBaby",10,38.9
"Harry Hudson",11,33
"Maroon 5",14,25.8571428571429
"Harry Styles",13,27.6923076923077
"Future",14,25.2142857142857
"Tiny Meat Gang",10,28.3
"Baby Keem",19,14.8421052631579
"Sarah and the Sundays",15,18.7333333333333
"Mike Dimes",15,18.3333333333333
"Justin Bieber",10,19.6
"RL Grime",15,12.4666666666667
"Bruno Mars",19,9
"Noah Kahan",13,13.0769230769231
"Eminem",13,9.76923076923077
"Mt. Joy",13,8.76923076923077
"Metro Boomin",17,5.82352941176471
"Tory Lanez",11,7.45454545454545
"Kota the Friend",14,5.42857142857143
"Steve Lacy",11,6.63636363636364
"The Kooks",11,5.90909090909091
"The Academic",10,5.8
"Ariana Grande",11,3.54545454545455
"Giveon",18,1.77777777777778
"Art of Sleeping",10,1.7
"SZA",10,1.4
