"Artist","Plays","Songs","First Listen","Plays Per Song"
"Kanye West",3781,133,"2017-05-28",28.4285714285714
"Travis Scott",3729,52,"2017-06-10",71.7115384615385
"Kendrick Lamar",3676,92,"2017-04-19",39.9565217391304
"The Weeknd",3016,89,"2016-04-25",33.8876404494382
"Drake",2547,140,"2016-04-24",18.1928571428571
"Kid Cudi",2397,142,"2017-11-16",16.8802816901408
"The Beatles",1854,85,"2017-09-02",21.8117647058824
"Logic",1675,105,"2017-05-16",15.952380952381
"Baby Keem",1600,50,"2020-03-07",32
"Jack Harlow",1203,46,"2019-11-09",26.1521739130435
"Bryson Tiller",1091,63,"2016-04-28",17.3174603174603
"Queen",953,64,"2017-10-16",14.890625
"J. Cole",845,46,"2017-05-16",18.3695652173913
"Coldplay",844,20,"2016-04-19",42.2
"Maroon 5",840,32,"2017-03-27",26.25
"Cage The Elephant",819,50,"2021-02-11",16.38
"Tyler, The Creator",673,39,"2017-07-26",17.2564102564103
"Don Toliver",671,44,"2019-09-10",15.25
"Calvin Harris",669,20,"2016-04-21",33.45
"Frank Ocean",647,41,"2017-07-18",15.780487804878
"Post Malone",616,37,"2017-05-02",16.6486486486486
"Future",537,33,"2016-04-26",16.2727272727273
"blackbear",509,10,"2017-06-08",50.9
"Childish Gambino",451,21,"2016-04-26",21.4761904761905
"Eminem",438,59,"2017-07-17",7.42372881355932
"Playboi Carti",429,52,"2017-07-15",8.25
"Lil Wayne",426,26,"2017-06-17",16.3846153846154
"Young Thug",415,18,"2017-03-27",23.0555555555556
"Khalid",392,26,"2017-05-08",15.0769230769231
"OneRepublic",388,8,"2017-09-05",48.5
"Joey Bada$$",374,47,"2017-05-16",7.95744680851064
"Lil Uzi Vert",370,36,"2017-05-16",10.2777777777778
"Juice WRLD",363,31,"2018-07-12",11.7096774193548
"Tory Lanez",362,35,"2019-01-15",10.3428571428571
"Marshmello",358,13,"2017-09-11",27.5384615384615
"Roddy Ricch",358,38,"2019-08-15",9.42105263157895
"Justin Timberlake",355,21,"2017-06-17",16.9047619047619
"NAV",352,15,"2017-07-25",23.4666666666667
"Miguel",328,8,"2018-01-23",41
"mike.",284,4,"2019-01-08",71
