"Artist","Plays","Songs","First Listen","Plays Per Song"
"Billie Eilish",2040,62,"2018-04-22",32.9032258064516
"Ed Sheeran",2026,82,"2017-01-06",24.7073170731707
"Jeremy Zucker",1774,77,"2018-04-22",23.038961038961
"Quinn XCII",1466,71,"2018-04-25",20.6478873239437
"The Weeknd",1292,119,"2016-10-27",10.8571428571429
"Khalid",1223,61,"2018-03-02",20.0491803278689
"Nicky Jam",1066,58,"2016-08-25",18.3793103448276
"The Piano Guys",1059,98,"2016-08-31",10.8061224489796
"ODESZA",1007,76,"2016-09-13",13.25
"Mauve",735,35,"2019-12-04",21
"Pritam",677,81,"2017-07-23",8.35802469135803
"Mac Miller",644,57,"2018-07-14",11.2982456140351
"Lauv",587,47,"2017-12-31",12.4893617021277
"Oh Wonder",530,45,"2018-05-20",11.7777777777778
"Daniel Caesar",527,21,"2018-04-29",25.0952380952381
"SYML",526,41,"2018-08-18",12.8292682926829
"Post Malone",512,70,"2017-08-25",7.31428571428571
"Kygo",498,48,"2017-12-31",10.375
"Maluma",492,45,"2017-09-19",10.9333333333333
"Kid Cudi",478,75,"2018-04-05",6.37333333333333
"Ludovico Einaudi",477,96,"2016-11-29",4.96875
"Sleeping At Last",470,30,"2018-03-13",15.6666666666667
"Nidza Bleja",468,214,"2019-12-23",2.18691588785047
"Shoffy",447,28,"2017-12-31",15.9642857142857
"Bazzi",439,26,"2018-04-24",16.8846153846154
"Russ",439,63,"2017-08-23",6.96825396825397
"Pink Sweat$",431,44,"2018-10-18",9.79545454545454
"Giveon",414,30,"2020-06-03",13.8
"Kanye West",398,71,"2018-04-01",5.6056338028169
"Jon Bellion",392,34,"2018-04-25",11.5294117647059
"Lofi Fruits Music",384,123,"2020-05-02",3.1219512195122
"Frank Ocean",367,36,"2017-06-26",10.1944444444444
"Louis The Child",349,54,"2018-07-13",6.46296296296296
"ILLENIUM",340,48,"2016-09-13",7.08333333333333
"CNCO",335,35,"2017-08-28",9.57142857142857
"Petit Biscuit",321,29,"2016-09-13",11.0689655172414
"Avicii",304,30,"2016-09-02",10.1333333333333
"Chelsea Cutler",304,46,"2017-12-30",6.60869565217391
"Martin Garrix",303,20,"2016-08-24",15.15
"Bruno Major",300,15,"2018-11-05",20
"James Arthur",297,28,"2018-02-07",10.6071428571429
"Jason Mraz",296,24,"2018-02-28",12.3333333333333
"Sarcastic Sounds",296,27,"2018-12-05",10.962962962963
"Drake",289,106,"2016-08-24",2.72641509433962
"XXXTENTACION",288,44,"2017-08-30",6.54545454545455
"Shawn Mendes",287,35,"2016-09-01",8.2
"Alan Walker",286,25,"2018-05-03",11.44
"Labrinth",279,32,"2018-02-21",8.71875
"A R I Z O N A",275,25,"2018-02-07",11
"Pedro Capo",273,11,"2019-02-04",24.8181818181818
"Jai Wolf",268,18,"2020-10-09",14.8888888888889
"KSHMR",266,21,"2019-02-06",12.6666666666667
"Rihanna",263,24,"2017-12-29",10.9583333333333
"Lolo Zouai",262,15,"2018-06-01",17.4666666666667
"Masego",261,25,"2019-05-04",10.44
"San Holo",260,43,"2018-09-01",6.04651162790698
