"Artist","Plays","Songs","First Listen","Plays Per Song"
"Kendrick Lamar",6760,114,"2016-01-02",59.2982456140351
"Mick Jenkins",4331,91,"2016-06-07",47.5934065934066
"Travis Scott",4112,63,"2016-01-03",65.2698412698413
"Isaiah Rashad",3792,54,"2016-05-15",70.2222222222222
"Joey Bada$$",3599,88,"2016-06-08",40.8977272727273
"Jack Harlow",3598,73,"2018-08-20",49.2876712328767
"Kanye West",3421,164,"2016-01-01",20.859756097561
"Lil Uzi Vert",3317,97,"2016-07-04",34.1958762886598
"Drake",3279,196,"2016-01-02",16.7295918367347
"Bryson Tiller",3213,64,"2016-01-03",50.203125
"Future",2408,149,"2016-03-28",16.1610738255034
"Aries",2337,32,"2018-01-20",73.03125
"J. Cole",2293,89,"2016-01-05",25.7640449438202
"A$AP Rocky",2133,62,"2016-01-17",34.4032258064516
"whiterosemoxie",1956,70,"2019-04-28",27.9428571428571
"Anderson .Paak",1914,66,"2016-02-29",29
"Kid Cudi",1764,86,"2016-01-14",20.5116279069767
"Vince Staples",1748,77,"2016-01-05",22.7012987012987
"ScHoolboy Q",1709,51,"2016-01-02",33.5098039215686
"Young Thug",1563,84,"2016-04-03",18.6071428571429
"Earl Sweatshirt",1533,57,"2016-01-02",26.8947368421053
"Frank Ocean",1524,45,"2016-04-18",33.8666666666667
"BROCKHAMPTON",1508,91,"2017-06-14",16.5714285714286
"Tyler, The Creator",1351,63,"2016-01-05",21.4444444444444
"Chance the Rapper",1294,70,"2016-04-18",18.4857142857143
"Playboi Carti",1286,59,"2017-04-23",21.7966101694915
"Smino",1255,53,"2017-03-14",23.6792452830189
"Tory Lanez",1177,104,"2016-05-16",11.3173076923077
"Mac Miller",1168,75,"2016-01-21",15.5733333333333
"Juice WRLD",1156,78,"2018-05-21",14.8205128205128
"Logic",1131,97,"2016-03-19",11.659793814433
"Amine",1071,62,"2016-07-12",17.2741935483871
"PARTYNEXTDOOR",1058,32,"2016-05-16",33.0625
"Trippie Redd",1039,65,"2017-10-07",15.9846153846154
"Jazz Cartier",1027,57,"2016-09-23",18.0175438596491
"Ty Dolla $ign",1024,57,"2016-04-16",17.9649122807018
"Daniel Caesar",1012,22,"2017-08-25",46
"JID",999,37,"2017-03-10",27
"PnB Rock",952,33,"2017-01-07",28.8484848484848
"Verzache",878,28,"2021-02-08",31.3571428571429
"Rich The Kid",859,48,"2017-10-26",17.8958333333333
"A Boogie wit da Hoodie",839,77,"2017-01-07",10.8961038961039
"Kota the Friend",838,66,"2019-05-15",12.6969696969697
"The Weeknd",810,60,"2016-03-30",13.5
"Jaden",809,49,"2017-11-19",16.5102040816327
"Roddy Ricch",780,36,"2018-12-28",21.6666666666667
"A$AP Mob",768,31,"2016-11-07",24.7741935483871
"Migos",762,50,"2016-04-03",15.24
"Lil Skies",747,48,"2017-12-24",15.5625
"Flatbush Zombies",744,31,"2016-07-27",24
"Post Malone",712,66,"2016-01-29",10.7878787878788
"Denzel Curry",706,52,"2016-06-05",13.5769230769231
"Lil Baby",705,55,"2017-12-24",12.8181818181818
"NxWorries, Knxwledge, Anderson .Paak",700,19,"2018-03-29",36.8421052631579
"Pusha T",687,33,"2016-01-15",20.8181818181818
"Joyner Lucas",679,42,"2016-09-22",16.1666666666667
"Danny Brown",653,53,"2016-01-14",12.3207547169811
"Dave East",649,55,"2016-07-11",11.8
"The Beatles",634,41,"2018-07-03",15.4634146341463
"Rae Sremmurd",623,28,"2016-01-02",22.25
"Gunna",617,58,"2018-09-01",10.6379310344828
"Mike WiLL Made-It",612,15,"2016-04-02",40.8
"Travis Scott, Quavo, HUNCHO JACK",611,13,"2017-12-22",47
"XXXTENTACION",558,53,"2016-12-29",10.5283018867925
"Ramzoid",546,14,"2018-11-02",39
"Lil Yachty",545,76,"2016-06-30",7.17105263157895
"Dr. Dre",543,59,"2016-01-14",9.20338983050847
"Jay Rock",527,26,"2016-01-02",20.2692307692308
"6LACK",522,32,"2016-05-26",16.3125
