"Artist","Plays","Songs","First Listen","Plays Per Song"
"Mac Miller",20652,191,2017-10-09,108.125654450262
"Khalid",7172,58,2017-09-12,123.655172413793
"Jaden",6727,60,2018-06-28,112.116666666667
"Rich Brian",5106,30,2017-11-29,170.2
"Post Malone",4170,48,2017-09-11,86.875
"The Score",4086,53,2017-09-11,77.0943396226415
"Logic",3948,53,2017-09-12,74.4905660377358
"Coldplay",3880,22,2018-01-22,176.363636363636
"Lil Skies",3785,27,2018-03-28,140.185185185185
"Jack Harlow",3713,66,2019-09-08,56.2575757575758
"Joji",3393,56,2018-09-18,60.5892857142857
"Rex Orange County",3038,41,2019-06-25,74.0975609756098
"J. Cole",3025,35,2017-10-12,86.4285714285714
"Juice WRLD",2816,64,2018-06-19,44
"Drake",2759,72,2017-10-09,38.3194444444444
"Travis Scott",2698,23,2018-05-08,117.304347826087
"NF",2508,55,2018-07-16,45.6
"Imagine Dragons",2368,17,2017-09-11,139.294117647059
"KSI",2038,44,2017-10-03,46.3181818181818
"Calvin Harris",1990,21,2017-09-12,94.7619047619048
"Briston Maroney",1815,29,2021-01-27,62.5862068965517
"OneRepublic",1759,17,2018-06-27,103.470588235294
"Lil Uzi Vert",1661,29,2018-04-20,57.2758620689655
"Ski Mask The Slump God",1540,12,2018-12-25,128.333333333333
"Olympic Ayres",1503,3,2021-05-11,501
"Big Time Rush",1468,37,2018-07-21,39.6756756756757
"Kendrick Lamar",1392,36,2017-09-11,38.6666666666667
"Saint Motel",1379,6,2019-11-16,229.833333333333
"Lil Mosey",1369,5,2018-09-28,273.8
"Arden Jones",1319,24,2021-02-16,54.9583333333333
"Kanye West",1286,27,2017-10-09,47.6296296296296
"Dreamville",1231,13,2019-07-08,94.6923076923077
"Lil Tecca",1094,21,2019-08-01,52.0952380952381
"Bryce Vine",1059,9,2018-10-17,117.666666666667
"Fall Out Boy",1039,27,2019-02-02,38.4814814814815
"Lil Baby",1014,12,2018-07-07,84.5
"Tame Impala",1001,10,2019-06-21,100.1
"21 Savage",912,16,2017-09-11,57
"The Weeknd",907,24,2018-02-06,37.7916666666667
"Quinn XCII",902,42,2019-03-14,21.4761904761905
"Declan McKenna",880,16,2022-02-21,55
"Lil Nas X",835,19,2019-04-09,43.9473684210526
"The Kid LAROI",791,26,2020-07-02,30.4230769230769
"French Montana",778,4,2017-09-11,194.5
"G-Eazy",778,21,2017-10-21,37.0476190476191
"Vance Joy",772,7,2020-03-30,110.285714285714
"Avicii",723,8,2018-05-10,90.375
"Dayglow",718,11,2020-07-28,65.2727272727273
"Quavo",696,4,2018-10-12,174
"Hozier",692,31,2019-11-17,22.3225806451613
"AJR",690,17,2019-03-26,40.5882352941176
"Internet Money",676,22,2019-11-03,30.7272727272727
"Milky Chance",674,4,2019-11-17,168.5
"SAINt JHN",673,22,2020-02-03,30.5909090909091
