"Date","Plays"
"2020-11-22",290
"2021-12-09",283
"2019-10-14",242
"2020-11-12",211
"2019-09-26",202
"2022-01-21",192
"2020-11-23",190
"2022-04-26",184
"2019-10-07",173
"2019-10-04",172
"2020-11-10",160
"2021-04-29",160
"2022-12-09",160
"2020-11-27",158
"2020-12-11",157
"2021-04-13",155
"2022-02-11",154
"2019-12-05",153
"2020-12-12",151
"2021-04-24",151
"2020-08-25",149
"2020-06-15",147
"2022-06-16",145
"2019-09-27",144
"2022-01-28",143
"2022-02-18",143
"2019-10-17",142
"2019-12-28",139
"2022-03-31",139
"2022-10-29",138
"2022-09-15",137
"2022-10-23",135
"2021-03-11",132
"2020-12-04",131
"2021-06-18",130
"2021-09-11",130
"2020-04-06",129
"2022-05-05",129
"2022-05-13",129
"2019-02-17",128
"2019-10-01",127
"2021-04-30",127
"2022-08-10",126
"2022-01-22",125
"2022-04-24",124
"2020-10-24",123
"2022-06-18",123
"2022-05-18",121
"2021-01-01",120
"2022-01-18",120
"2022-05-12",120
"2019-12-20",118
"2020-04-18",117
"2022-01-30",117
"2019-10-15",115
"2021-09-17",115
"2020-10-31",114
"2020-12-17",114
"2022-04-21",114
"2021-02-24",113
"2021-06-28",113
"2022-08-30",113
"2020-04-07",112
"2021-04-22",112
"2022-07-07",111
"2021-02-26",110
"2019-03-27",109
"2022-07-23",109
"2021-02-11",107
"2021-06-30",107
"2022-02-04",107
"2021-01-02",106
"2021-08-03",104
"2022-03-28",104
"2022-08-22",104
"2021-08-29",103
"2021-06-15",102
"2022-03-22",102
"2022-06-12",102
"2022-09-28",102
"2020-09-26",101
"2022-04-07",101
"2022-07-08",101
"2022-08-09",101
"2022-01-07",100
"2022-05-15",100
"2022-06-17",100
"2022-06-27",100
"2018-06-27",99
"2019-10-18",99
"2019-12-21",99
"2021-01-14",99
"2021-06-07",99
"2022-03-18",99
"2019-06-21",98
"2020-12-18",98
"2021-01-09",98
"2021-12-07",98
"2019-12-23",97
"2020-11-14",97
"2021-04-23",97
"2022-09-30",97
"2020-12-15",96
"2020-12-22",96
"2021-03-01",96
"2021-04-28",96
"2021-11-12",96
"2019-09-25",95
"2020-12-10",95
"2022-03-21",95
"2022-09-09",95
"2019-04-04",94
"2021-03-26",94
"2022-02-19",94
"2020-11-28",93
"2022-03-16",93
"2021-01-12",92
"2021-02-20",92
"2022-01-04",92
"2020-03-22",91
"2020-09-11",91
"2021-02-14",91
"2021-04-10",91
"2019-01-24",90
"2019-10-23",90
"2020-01-30",90
"2020-12-13",90
"2022-07-05",90
"2022-09-01",90
"2022-12-03",90
"2019-11-25",89
"2019-12-06",89
"2019-12-17",89
"2022-01-29",89
"2019-03-14",88
"2019-10-20",88
"2019-11-02",88
"2019-12-27",88
"2020-02-28",88
"2021-11-10",88
"2022-01-25",88
"2020-10-14",87
"2020-11-20",87
"2022-02-17",87
"2022-05-10",87
"2022-08-07",87
"2022-12-14",87
"2019-01-15",86
"2020-02-08",86
"2020-10-06",86
"2021-09-29",86
"2022-02-02",86
"2022-03-12",86
"2018-05-09",85
"2020-10-20",85
"2020-11-03",85
"2020-12-24",85
"2021-05-15",85
"2021-09-01",85
"2021-12-15",85
"2022-04-14",85
"2022-05-20",85
"2022-10-08",85
"2022-10-15",85
"2019-09-23",84
"2019-11-15",84
"2020-03-21",84
"2021-01-13",84
"2021-05-09",84
"2021-06-11",84
"2021-08-30",84
"2021-09-16",84
"2021-12-10",84
"2021-12-16",84
"2016-04-24",83
"2020-12-31",83
"2021-05-21",83
"2022-05-16",83
"2022-06-10",83
"2022-06-14",83
"2022-06-21",83
"2019-02-27",82
"2019-07-20",82
"2021-03-23",82
"2022-06-13",82
"2019-02-16",81
"2019-03-25",81
"2019-12-10",81
"2020-12-21",81
"2021-01-06",81
"2021-04-15",81
"2021-08-25",81
"2021-09-02",81
"2022-02-26",81
"2022-05-04",81
"2022-06-08",81
"2020-10-04",80
"2022-04-18",80
"2022-04-27",80
"2022-05-07",80
"2022-06-05",80
