"Date","Plays"
"2019-12-24",740
"2019-12-23",692
"2020-10-15",426
"2019-12-25",425
"2020-01-04",327
"2019-12-22",300
"2019-12-27",264
"2021-04-01",256
"2020-04-02",255
"2021-02-17",239
"2019-11-10",226
"2022-10-31",223
"2022-05-08",221
"2021-04-12",217
"2020-02-10",215
"2021-09-19",215
"2022-09-22",215
"2020-04-28",204
"2021-03-12",204
"2020-03-30",203
"2020-05-07",203
"2020-09-23",203
"2021-11-02",203
"2022-12-02",200
"2019-04-08",197
"2020-06-02",196
"2020-12-16",196
"2021-09-18",190
"2020-06-14",189
"2019-10-06",188
"2020-02-24",188
"2020-09-03",187
"2021-11-04",186
"2022-08-29",185
"2019-11-17",183
"2020-06-16",183
"2021-04-11",182
"2019-11-19",180
"2021-11-06",179
"2021-04-23",178
"2020-05-28",176
"2021-02-11",176
"2021-07-29",172
"2020-01-27",170
"2020-06-18",170
"2020-09-13",170
"2021-03-20",170
"2020-01-17",169
"2020-04-30",169
"2021-06-02",169
"2021-12-07",169
"2022-04-20",168
"2019-04-03",167
"2019-08-23",167
"2020-02-03",166
"2022-04-12",166
"2020-03-08",164
"2021-04-10",164
"2019-09-23",163
"2020-04-18",163
"2020-06-19",163
"2020-04-14",161
"2020-02-26",160
"2020-02-28",160
"2022-12-09",160
"2019-08-08",159
"2020-08-18",159
"2021-05-19",159
"2021-06-26",159
"2022-05-23",159
"2022-09-25",159
"2020-06-20",158
"2020-08-31",158
"2020-12-30",158
"2020-05-08",157
"2020-09-10",157
"2021-12-25",157
"2018-11-15",156
"2020-05-27",156
"2022-06-07",156
"2021-08-06",155
"2021-02-24",154
"2021-04-09",154
"2021-05-14",154
"2021-08-12",154
"2021-09-29",154
"2020-06-09",153
"2021-04-05",153
"2020-09-08",152
"2019-08-02",151
"2019-08-30",151
"2019-12-05",151
"2021-06-14",151
"2021-08-11",151
"2019-09-14",150
"2020-07-31",150
"2021-07-14",150
"2022-04-22",150
"2020-01-29",149
"2020-10-14",149
"2019-12-26",148
"2020-08-22",148
"2021-09-07",147
"2020-10-31",146
"2021-01-15",146
"2022-06-23",146
"2018-02-09",145
"2019-04-05",145
"2019-08-10",145
"2020-09-09",145
"2022-06-03",145
"2022-11-02",145
"2020-01-23",144
"2021-01-01",144
"2021-10-26",144
"2022-10-04",144
"2022-05-15",143
"2019-04-07",142
"2020-02-05",142
"2022-10-03",142
"2021-04-13",141
"2021-04-25",141
"2022-10-12",141
"2022-10-30",141
"2019-12-21",140
"2020-09-16",140
"2022-10-06",140
"2022-11-06",140
"2020-02-11",139
"2020-10-17",139
"2021-01-22",139
"2021-04-07",139
"2019-09-03",138
"2020-12-11",138
"2021-06-24",138
"2021-08-10",138
"2022-05-22",138
"2022-09-21",138
"2020-04-19",137
"2020-04-25",137
"2020-06-04",137
"2022-11-28",137
"2020-11-19",136
"2021-06-09",136
"2020-09-01",134
"2021-06-04",134
"2022-05-26",134
"2020-11-18",133
"2020-12-06",133
"2021-03-30",133
"2021-07-15",133
"2022-08-30",133
"2022-09-20",133
"2019-08-01",132
"2019-11-09",132
"2021-05-07",132
"2021-06-23",132
"2022-07-31",132
"2020-08-29",131
"2020-12-08",131
"2022-03-03",130
"2022-12-20",130
"2018-12-27",129
"2019-04-10",129
"2019-08-06",129
"2020-03-06",129
"2020-07-04",129
"2019-12-28",128
"2021-01-04",128
"2021-05-03",128
"2022-06-06",128
"2018-09-03",127
"2019-11-25",127
"2020-04-16",127
"2022-03-10",127
"2022-04-11",127
"2022-06-05",127
"2020-12-03",126
"2022-10-21",126
"2022-10-25",126
"2018-08-10",125
"2020-07-20",125
"2022-11-15",125
"2019-09-02",124
"2019-12-15",124
"2022-09-11",124
"2022-04-16",123
"2021-07-08",122
"2018-09-30",121
"2020-05-10",121
"2020-05-14",121
"2020-08-08",121
"2021-08-18",121
"2022-09-09",121
"2022-11-22",121
"2020-02-04",120
"2020-02-19",120
"2022-09-28",120
"2022-11-03",120
"2021-05-10",119
"2021-08-03",119
"2021-11-11",119
"2018-11-18",118
"2021-01-06",118
"2021-03-14",118
"2021-08-17",118
"2019-08-16",117
"2020-04-27",117
"2020-07-07",117
"2021-07-21",117
"2019-08-25",116
"2020-04-21",116
"2020-05-06",116
"2021-04-26",116
"2021-09-06",116
"2021-11-30",116
