"Date","Plays"
"2022-01-08",265
"2022-01-04",263
"2020-03-31",242
"2018-06-16",235
"2022-03-08",233
"2020-02-16",228
"2021-07-22",226
"2022-05-06",212
"2022-05-02",207
"2022-01-19",202
"2021-07-24",198
"2021-05-28",197
"2022-01-07",195
"2019-03-21",191
"2018-05-27",187
"2021-08-10",185
"2022-03-29",180
"2021-06-26",177
"2022-06-13",177
"2021-07-17",176
"2018-03-12",175
"2021-07-10",172
"2022-01-11",172
"2019-01-04",169
"2022-03-09",168
"2022-02-08",167
"2022-02-03",166
"2022-12-09",165
"2018-08-05",164
"2021-10-08",163
"2016-11-27",160
"2018-10-18",159
"2021-07-23",158
"2022-11-03",158
"2016-08-07",157
"2017-08-25",156
"2017-12-26",154
"2019-08-31",154
"2017-01-29",153
"2019-02-17",153
"2022-12-01",153
"2020-04-04",152
"2021-08-07",151
"2022-05-07",151
"2019-04-01",150
"2021-06-25",150
"2022-12-02",150
"2019-10-31",149
"2020-08-02",149
"2021-11-12",149
"2022-06-20",149
"2016-11-07",148
"2017-02-20",148
"2020-03-16",148
"2022-07-10",147
"2017-12-29",146
"2020-06-19",146
"2017-08-12",145
"2016-07-29",144
"2021-07-25",144
"2016-11-11",143
"2018-05-10",143
"2021-09-09",143
"2022-01-26",143
"2018-08-04",142
"2021-06-19",142
"2021-11-10",142
"2022-03-30",142
"2018-11-30",141
"2019-08-29",141
"2022-11-12",141
"2018-05-15",140
"2022-03-26",140
"2017-07-31",139
"2020-06-16",139
"2021-08-14",138
"2021-12-21",138
"2016-05-01",137
"2017-07-08",137
"2018-01-26",137
"2021-06-12",137
"2022-07-18",137
"2022-12-28",137
"2016-04-10",136
"2017-05-29",136
"2020-02-08",136
"2022-04-03",136
"2017-01-25",135
"2017-07-20",135
"2018-03-29",135
"2022-05-30",135
"2019-02-18",134
"2019-11-13",134
"2017-09-16",133
"2016-08-08",132
"2017-07-18",132
"2016-01-29",131
"2017-08-27",131
"2018-01-12",131
"2018-12-31",131
"2019-03-19",131
"2021-07-18",131
"2022-07-09",131
"2016-04-02",130
"2020-04-08",130
"2022-01-12",130
"2022-05-08",130
"2022-07-22",130
"2022-11-11",130
"2017-07-11",129
"2018-08-30",129
"2017-10-23",128
"2018-03-31",128
"2019-04-03",128
"2022-02-07",128
"2016-04-03",127
"2017-08-05",127
"2018-08-20",127
"2021-07-28",127
"2021-12-13",127
"2022-01-03",127
"2022-12-22",127
"2021-08-31",126
"2017-01-23",125
"2017-07-15",125
"2017-08-13",125
"2021-07-26",125
"2021-08-11",125
"2022-03-06",125
"2017-06-28",124
"2018-05-04",124
"2018-07-29",124
"2021-08-27",124
"2021-08-28",124
"2021-10-24",124
"2022-12-10",124
"2017-05-25",123
"2017-08-14",123
"2018-11-16",123
"2020-11-13",123
"2021-08-06",123
"2021-08-23",123
"2022-02-22",123
"2016-09-05",122
"2018-02-19",122
"2018-03-01",122
"2018-12-13",122
"2019-05-31",122
"2020-03-15",122
"2021-07-27",122
"2022-04-05",122
"2017-07-06",121
"2018-02-21",121
"2018-05-07",121
"2020-01-09",121
"2016-12-02",120
"2017-11-08",120
"2017-11-26",120
"2018-03-09",120
"2018-09-22",120
"2018-12-12",120
"2021-08-09",120
"2022-01-29",120
"2016-03-31",119
"2018-07-23",119
"2020-07-03",119
"2022-06-08",119
"2016-09-24",118
"2017-08-17",118
"2016-06-22",117
"2016-11-28",117
"2017-08-18",117
"2018-10-28",117
"2021-06-04",117
"2021-06-08",117
"2016-12-21",116
"2017-08-26",116
"2018-08-15",116
"2021-09-11",116
"2021-12-30",116
"2022-06-24",116
"2016-11-30",115
"2016-12-22",115
"2017-01-13",115
"2017-11-27",115
"2018-11-06",115
"2018-11-19",115
"2018-12-18",115
"2019-03-30",115
"2019-09-11",115
"2021-02-02",115
"2021-08-18",115
"2021-10-22",115
"2022-05-12",115
"2022-05-13",115
"2017-04-23",114
"2018-02-20",114
"2018-12-25",114
"2019-10-10",114
"2020-10-23",114
"2021-07-16",114
"2016-12-06",113
"2017-12-19",113
"2018-01-17",113
"2019-07-13",113
"2022-05-04",113
"2022-10-21",113
"2016-04-30",112
"2017-12-05",112
"2019-09-26",112
"2020-06-15",112
"2021-06-18",112
"2021-07-02",112
"2021-09-05",112
"2021-10-25",112
"2022-05-11",112
"2016-07-25",111
"2016-08-01",111
"2017-03-24",111
"2017-05-30",111
"2017-08-01",111
"2018-09-30",111
"2019-03-08",111
"2019-07-03",111
"2019-07-29",111
"2020-12-29",111
"2021-08-20",111
"2021-10-13",111
"2017-01-07",110
"2017-05-07",110
"2017-06-01",110
"2017-06-10",110
"2017-07-29",110
"2017-10-13",110
"2018-10-07",110
"2018-12-17",110
"2019-09-20",110
"2022-02-15",110
"2016-07-31",109
"2017-05-31",109
"2017-10-27",109
"2018-02-24",109
"2018-05-16",109
"2018-11-07",109
"2019-10-08",109
"2020-01-05",109
"2021-09-28",109
"2021-12-20",109
"2021-12-31",109
"2022-05-01",109
"2022-09-09",109
"2016-07-06",108
"2016-08-04",108
"2017-08-29",108
"2018-02-18",108
"2019-05-30",108
"2022-02-06",108
"2022-05-24",108
"2022-08-27",108
"2016-12-01",107
"2017-04-29",107
"2017-06-21",107
"2017-08-28",107
"2018-01-16",107
"2018-02-23",107
"2020-06-05",107
"2021-08-05",107
"2022-11-13",107
"2016-07-08",106
"2016-10-27",106
"2017-05-15",106
"2018-08-23",106
"2018-11-09",106
"2020-03-14",106
"2021-11-05",106
"2021-12-11",106
"2021-12-29",106
"2022-03-31",106
"2022-06-07",106
"2017-04-08",105
"2017-08-02",105
"2018-02-12",105
"2018-04-17",105
"2018-09-18",105
"2019-01-31",105
"2022-02-13",105
"2022-06-19",105
"2018-01-01",104
"2018-11-21",104
"2019-10-18",104
"2020-03-13",104
"2021-02-08",104
"2021-12-05",104
"2016-09-25",103
"2016-10-24",103
"2017-07-17",103
"2018-01-20",103
"2018-03-11",103
"2018-08-01",103
"2018-09-23",103
"2018-11-20",103
"2018-12-04",103
"2019-08-20",103
"2019-12-23",103
"2020-08-20",103
"2021-07-15",103
"2022-03-23",103
"2022-06-05",103
"2016-12-23",102
"2017-07-12",102
"2017-07-14",102
"2017-10-20",102
"2018-07-02",102
"2018-07-24",102
"2018-10-04",102
"2019-12-31",102
"2021-08-21",102
"2021-09-03",102
"2021-12-03",102
"2022-02-16",102
"2022-08-07",102
"2022-11-27",102
"2017-04-02",101
"2017-05-12",101
"2017-07-13",101
"2017-12-15",101
"2018-08-02",101
"2018-08-03",101
"2018-11-10",101
"2021-09-14",101
"2021-10-26",101
"2021-11-11",101
"2022-02-01",101
"2022-03-11",101
"2022-04-27",101
"2022-06-22",101
"2022-07-29",101
"2022-08-20",101
"2016-06-20",100
"2016-11-23",100
"2017-07-21",100
"2017-11-06",100
"2018-08-22",100
"2019-06-29",100
"2020-02-19",100
"2022-01-14",100
"2022-01-15",100
"2022-03-22",100
"2022-04-25",100
"2022-07-30",100
"2016-07-04",99
"2016-08-25",99
"2017-07-07",99
"2017-08-19",99
"2018-03-14",99
"2018-10-02",99
"2020-05-15",99
"2020-06-30",99
"2021-10-20",99
"2021-11-26",99
"2022-01-01",99
"2022-03-15",99
"2022-05-29",99
"2022-08-06",99
"2022-08-31",99
"2016-07-14",98
"2016-10-18",98
"2017-09-22",98
"2018-01-25",98
"2020-03-28",98
"2021-10-28",98
"2022-03-21",98
"2022-09-01",98
"2016-10-13",97
"2017-03-22",97
"2017-05-14",97
"2017-12-23",97
"2018-02-27",97
"2018-05-31",97
"2018-07-20",97
"2019-09-23",97
"2020-05-17",97
"2020-07-15",97
"2021-02-16",97
"2021-10-27",97
"2016-03-19",96
"2017-06-11",96
"2017-09-07",96
"2018-04-07",96
"2018-05-29",96
"2018-06-06",96
"2018-12-14",96
"2018-12-19",96
"2020-11-20",96
"2022-04-12",96
"2022-04-19",96
"2022-10-05",96
"2022-11-10",96
"2017-03-31",95
"2017-12-08",95
"2018-10-26",95
"2018-12-07",95
"2019-02-03",95
"2019-03-05",95
"2019-09-21",95
"2019-11-11",95
"2020-01-14",95
"2020-02-09",95
"2022-06-15",95
"2022-11-17",95
"2022-12-27",95
"2016-05-08",94
"2016-11-01",94
"2016-12-09",94
"2016-12-10",94
"2017-04-22",94
"2017-12-18",94
"2018-09-21",94
"2019-10-09",94
"2020-01-18",94
"2020-04-16",94
"2021-03-01",94
"2022-01-27",94
"2022-02-09",94
"2022-04-23",94
"2016-11-09",93
"2017-01-27",93
"2017-01-28",93
"2017-05-22",93
"2017-10-28",93
"2017-11-10",93
"2018-10-01",93
"2019-12-30",93
"2021-02-17",93
"2021-07-03",93
"2021-11-04",93
"2021-12-01",93
"2022-02-11",93
"2022-08-03",93
"2016-05-15",92
"2016-07-11",92
"2016-09-22",92
"2016-11-21",92
"2016-12-15",92
