"Date","Plays"
2019-07-25,297
2019-04-13,294
2021-03-06,278
2019-04-12,267
2020-10-02,261
2021-01-11,254
2019-05-12,251
2019-08-31,250
2020-10-15,242
2019-08-04,240
2021-02-05,239
2020-03-13,234
2021-01-12,231
2019-07-11,229
2021-03-30,229
2019-03-27,228
2019-09-20,225
2021-01-29,225
2020-05-24,224
2021-02-23,224
2020-08-06,221
2021-03-12,220
2021-03-08,217
2021-02-01,216
2019-08-01,215
2020-10-01,211
2021-03-05,209
2022-01-16,209
2019-10-03,208
2019-07-16,207
2019-09-16,207
2020-04-30,207
2020-04-18,206
2022-05-16,206
2018-12-21,205
2019-07-18,204
2020-07-31,203
2020-12-31,201
2019-09-30,200
2021-02-02,198
2021-02-04,198
2020-12-25,197
2020-01-17,195
2021-04-16,195
2021-08-12,194
2021-03-02,191
2021-03-04,191
2020-06-03,190
2021-01-22,190
2021-01-27,190
2019-09-26,189
2020-07-27,189
2019-04-18,188
2020-01-20,188
2019-07-08,186
2021-03-03,186
2021-03-15,186
2021-11-28,186
2020-10-21,185
2021-02-03,185
2022-03-10,185
2020-03-29,184
2020-08-04,184
2021-01-31,183
2021-04-02,183
2020-08-03,182
2021-01-28,182
2021-09-26,182
2020-12-29,181
2020-12-30,181
2021-01-10,181
2021-09-29,181
2019-03-08,180
2020-05-29,180
2020-10-16,180
2021-01-25,180
2019-06-29,179
2021-03-09,179
2019-04-05,177
2020-06-08,177
2020-06-22,177
2020-07-21,177
2021-03-26,177
2021-04-01,177
2021-07-13,177
2018-11-21,176
2020-08-09,176
2021-02-22,176
2021-03-07,176
2022-04-15,176
2020-07-19,175
2020-09-05,175
2021-09-21,175
2020-03-17,174
2020-10-24,174
2019-04-17,173
2020-05-22,173
2020-12-10,173
2021-02-26,173
2020-04-25,172
2020-05-20,172
2020-09-06,172
2021-02-19,172
2021-03-16,172
2022-03-07,172
2022-10-10,171
2019-09-29,170
2020-07-13,170
2021-01-26,170
2021-02-06,170
2021-03-31,170
2022-03-24,170
2022-03-30,170
2022-04-14,170
2022-12-05,170
2021-01-30,169
2021-04-19,169
2022-05-26,169
2018-08-31,168
2020-05-15,168
2022-01-27,168
2019-07-04,167
2019-10-10,167
2019-12-12,167
2020-05-03,167
2020-07-28,167
2020-10-20,167
2021-03-01,167
2021-04-07,167
2021-01-01,166
2021-02-12,166
2021-03-17,166
2021-04-25,166
2019-07-31,165
2020-02-14,165
2020-10-23,165
2021-12-15,165
2022-01-04,165
2018-12-25,164
2019-03-22,164
2019-08-07,164
2019-09-25,164
2020-02-26,164
2021-12-06,164
2020-04-22,163
2022-02-21,163
2019-04-14,162
2020-08-13,162
2020-09-08,162
2021-01-18,162
2021-01-20,162
2021-04-27,162
2019-07-07,161
2019-07-28,161
2019-11-21,161
2021-03-29,161
2021-07-01,161
2022-04-11,161
2020-10-29,160
2020-12-28,160
2021-02-16,160
2019-04-04,159
2019-08-29,159
2020-10-11,159
2021-03-25,159
2021-03-27,159
2019-01-26,158
2019-03-28,158
2019-05-22,158
2020-03-16,158
2020-08-02,158
2021-02-15,158
2021-12-07,158
2022-09-28,158
2018-12-24,157
2019-02-08,157
2019-04-16,157
2019-08-02,157
2019-12-27,157
2020-04-23,157
2021-07-26,157
2021-10-16,157
2022-03-03,157
2022-04-12,157
2019-04-10,156
2019-10-01,156
2019-12-20,156
2020-06-17,156
2019-03-14,155
2019-05-11,155
2019-07-24,155
2019-08-05,155
2019-09-19,155
2019-09-23,155
2019-10-20,155
2020-05-27,155
2021-02-17,155
2021-04-06,155
2021-04-14,155
2021-08-04,155
2019-10-16,154
2020-09-02,154
2020-10-19,154
2021-10-07,154
2022-03-14,154
2019-03-09,153
2019-10-04,153
2019-10-18,153
2020-03-11,153
2020-05-10,153
2020-07-07,153
2021-10-27,153
2018-02-22,152
2018-12-17,152
2020-08-14,152
2021-03-11,152
2021-03-24,152
2021-11-10,152
2019-07-23,151
2019-08-28,151
2019-09-06,151
2019-09-08,151
2019-09-17,151
2020-09-17,151
2020-10-27,151
2020-12-12,151
2021-01-21,151
2021-03-18,151
2021-04-15,151
2021-06-10,151
2021-07-24,151
2022-10-31,151
2018-12-04,150
2019-08-06,150
2019-09-10,150
2022-02-04,150
2019-07-15,149
2020-04-15,149
2020-06-11,149
2020-08-08,149
2020-08-31,149
2021-01-19,149
2021-04-18,149
2021-11-04,149
2021-11-11,149
2022-09-12,149
2018-10-01,148
2018-10-29,148
2018-11-09,148
2019-03-11,148
2019-04-03,148
2019-12-23,148
2020-04-16,148
2020-04-26,148
2020-07-30,148
2020-09-30,148
2021-01-23,148
2021-02-11,148
2021-12-25,148
2018-02-15,147
2018-10-18,147
2018-10-31,147
2018-12-16,147
2020-03-19,147
2020-04-06,147
2020-08-12,147
2020-10-07,147
2020-12-15,147
2021-03-13,147
2021-05-20,147
2021-11-23,147
2021-12-14,147
2022-01-20,147
2022-03-15,147
2019-04-19,146
2019-05-21,146
2019-06-13,146
2019-07-26,146
2020-04-14,146
2020-05-21,146
2020-10-17,146
2020-10-30,146
2021-11-16,146
2021-11-18,146
2018-08-29,145
2019-04-11,145
2019-09-02,145
2019-09-12,145
2019-11-05,145
2019-11-18,145
2020-02-19,145
2020-11-10,145
2021-02-07,145
2021-02-25,145
2021-07-23,145
2021-10-28,145
2021-11-22,145
2022-03-09,145
2022-03-16,145
2022-04-09,145
2019-04-15,144
2019-11-06,144
2020-03-22,144
2020-07-10,144
2020-08-05,144
2021-04-05,144
2021-12-29,144
2022-02-01,144
2022-04-25,144
2018-12-23,143
2020-05-13,143
2020-12-23,143
2021-04-28,143
2021-07-05,143
2021-11-01,143
2022-04-13,143
2022-11-14,143
2018-11-01,142
2018-11-16,142
2019-04-08,142
2019-12-13,142
2020-02-03,142
2020-08-19,142
2022-01-03,142
2018-10-17,141
2019-03-01,141
2019-09-09,141
2019-09-21,141
2019-10-07,141
2019-12-02,141
2020-05-28,141
2020-12-27,141
2021-04-09,141
2021-11-08,141
2018-11-14,140
2019-06-19,140
2019-08-10,140
2019-12-03,140
2020-01-21,140
2020-12-22,140
2022-02-10,140
2022-03-28,140
2022-04-26,140
2019-04-01,139
2020-10-26,139
2021-01-09,139
2021-11-12,139
2021-12-16,139
2018-12-14,138
2019-02-17,138
2019-05-28,138
2019-07-06,138
2019-11-14,138
2019-12-28,138
2020-01-24,138
2020-04-29,138
2020-09-29,138
2020-11-05,138
2022-06-28,138
2018-10-02,137
2019-11-04,137
2020-06-30,137
2020-09-04,137
2020-10-14,137
2021-07-25,137
2022-01-29,137
2022-04-18,137
2022-09-18,137
2018-02-27,136
2018-09-12,136
2019-02-22,136
2019-03-12,136
2019-05-16,136
2019-09-03,136
2020-06-07,136
2020-10-28,136
2020-11-09,136
2020-11-26,136
2021-05-10,136
2022-01-21,136
2018-12-20,135
2019-06-14,135
2019-12-04,135
2020-07-22,135
2021-04-08,135
2021-04-12,135
2021-07-02,135
2021-08-19,135
2021-09-17,135
2021-12-13,135
2022-04-04,135
2018-05-04,134
2018-12-11,134
2019-04-24,134
2019-04-26,134
2019-05-02,134
2019-05-20,134
2019-09-18,134
2019-10-22,134
2020-03-05,134
2020-04-20,134
2020-05-31,134
2020-10-03,134
2020-10-05,134
2020-10-22,134
2020-11-15,134
2021-08-15,134
2021-11-03,134
2022-01-13,134
2018-12-02,133
2019-03-29,133
2019-05-06,133
2020-01-08,133
2020-01-15,133
2020-05-01,133
2020-05-14,133
2020-08-07,133
2021-01-16,133
2021-02-27,133
2021-07-18,133
2022-02-17,133
2022-04-27,133
2018-07-21,132
2018-12-12,132
2019-05-03,132
2019-06-07,132
2019-07-21,132
2019-08-09,132
2019-10-09,132
2019-10-11,132
2020-02-13,132
2020-04-28,132
2020-07-09,132
2020-08-30,132
2020-10-13,132
2020-11-25,132
2020-12-26,132
2021-02-08,132
2021-02-10,132
2021-04-26,132
2021-08-24,132
2021-11-02,132
2021-11-15,132
2022-06-10,132
2022-09-22,132
2022-10-28,132
2018-11-08,131
2019-03-26,131
2019-06-28,131
2019-08-11,131
2019-08-17,131
2019-10-17,131
2020-03-25,131
2020-04-17,131
2021-02-18,131
2021-04-21,131
2021-09-10,131
2021-11-19,131
2022-07-01,131
2019-03-10,130
2019-10-13,130
2020-01-29,130
2020-08-21,130
2021-06-02,130
2022-01-18,130
2022-01-28,130
2022-06-04,130
2022-09-26,130
2022-10-05,130
2018-05-02,129
2018-10-03,129
2018-11-03,129
2019-05-08,129
2019-08-20,129
2019-11-11,129
2019-11-27,129
2019-12-24,129
2020-03-21,129
2020-06-25,129
2020-06-26,129
2021-03-20,129
2021-04-11,129
2021-05-24,129
2021-08-21,129
2021-09-08,129
2021-09-15,129
2021-09-16,129
2021-10-22,129
2021-10-25,129
2022-02-09,129
2018-09-19,128
2018-09-25,128
2018-11-20,128
2019-02-18,128
2019-03-18,128
2019-05-24,128
2019-11-15,128
2020-01-10,128
2020-02-04,128
2020-03-30,128
2020-10-12,128
2021-05-13,128
2021-08-10,128
2022-04-05,128
2022-06-25,128
2022-09-07,128
2018-10-04,127
2019-07-17,127
2020-05-25,127
2021-01-03,127
2021-04-20,127
2021-07-08,127
2021-09-23,127
2022-01-30,127
2022-03-22,127
2022-08-30,127
2019-03-30,126
2019-07-29,126
2019-09-11,126
2019-10-29,126
2020-03-06,126
2020-04-21,126
2020-06-12,126
2020-07-04,126
2020-09-19,126
2021-03-10,126
2021-06-01,126
2021-07-14,126
2021-09-27,126
2022-02-15,126
2022-06-27,126
2022-09-25,126
2018-04-23,125
2019-03-05,125
2019-03-06,125
2019-04-25,125
2019-04-28,125
2019-06-17,125
2019-11-25,125
2020-02-17,125
2020-02-28,125
2020-05-23,125
2021-05-07,125
2021-08-25,125
2021-12-01,125
2022-01-11,125
2022-02-02,125
2022-03-29,125
2022-10-01,125
2022-11-16,125
2022-12-07,125
2019-03-31,124
2019-06-10,124
2020-01-27,124
2020-05-06,124
2020-06-15,124
2020-07-01,124
2020-07-23,124
2021-01-04,124
2018-11-19,123
2019-06-06,123
2019-06-23,123
2019-09-22,123
2020-01-22,123
2020-05-02,123
2020-08-18,123
2020-09-10,123
2021-04-17,123
2021-07-06,123
2021-09-24,123
2022-01-26,123
2022-04-01,123
2022-10-03,123
2018-08-30,122
2019-08-14,122
2019-10-23,122
2019-10-28,122
2019-11-03,122
2019-12-31,122
2020-05-26,122
2020-08-28,122
2020-09-23,122
2021-07-07,122
2021-08-11,122
2021-09-28,122
2021-10-20,122
2022-01-05,122
2019-07-01,121
2019-10-24,121
2019-11-08,121
2019-12-16,121
2020-02-07,121
2020-02-29,121
2020-06-09,121
2021-07-09,121
2021-08-26,121
2021-09-30,121
2021-11-09,121
2022-01-14,121
2022-02-08,121
2022-04-08,121
2022-05-01,121
2018-01-17,120
2018-09-05,120
2018-12-19,120
2019-06-25,120
2019-10-02,120
2020-04-05,120
2020-06-16,120
2020-07-18,120
2020-08-27,120
2020-12-03,120
2021-01-17,120
2021-08-05,120
2021-08-23,120
2019-02-21,119
2019-04-22,119
2020-04-07,119
2020-07-29,119
2020-12-24,119
2021-01-02,119
2021-01-08,119
2021-02-13,119
2021-07-15,119
2021-08-03,119
2022-03-27,119
2022-05-18,119
2018-05-01,118
2018-11-29,118
2019-08-03,118
2020-04-13,118
2020-05-18,118
2020-08-01,118
2020-11-13,118
2021-05-02,118
2021-08-18,118
2021-08-30,118
2022-01-31,118
2018-01-18,117
2019-05-09,117
2019-09-13,117
2019-10-14,117
2020-01-13,117
2020-05-17,117
2021-02-09,117
2021-11-17,117
2022-02-06,117
2022-06-30,117
2018-04-12,116
2018-10-11,116
2018-10-22,116
2019-04-02,116
2019-06-11,116
2019-09-04,116
2019-10-08,116
2019-12-26,116
2020-03-07,116
2020-03-14,116
2020-12-04,116
2021-07-17,116
2021-07-19,116
2022-01-06,116
2022-03-13,116
2022-07-02,116
2022-10-26,116
2022-12-12,116
2019-02-28,115
2019-03-21,115
2019-05-10,115
2019-05-14,115
2019-05-23,115
