"Song","Artist","Plays","First Listen","ID"
"SKELETONS","Travis Scott",382,"2018-08-03","6NMtzpDQBTOfJwMzgMX0zl"
"90210 (feat. Kacy Hill)","Travis Scott",303,"2018-11-08","51EC3I1nQXpec4gDk0mQyP"
"These Days","mike.",280,"2019-01-08","5tsI3xxDHDgzHhn30LTQNz"
"PRIDE.","Kendrick Lamar",248,"2017-05-16","6IZvVAP7VPPnsGX6bvgkqg"
"Slide (feat. Frank Ocean & Migos)","Calvin Harris",242,"2017-05-27","6gpcs5eMhJwax4mIfKDYQk"
"Pursuit Of Happiness (Nightmare)","Kid Cudi",239,"2018-03-07","5iSEsR6NKjlC9SrIJkyL3k"
"Love$ick (feat. A$AP Rocky)","Mura Masa",236,"2019-03-14","3sTN90bIP2cJ1783ctHykO"
"Mirrors","Justin Timberlake",227,"2017-06-17","4rHZZAmHpZrA3iH5zx8frV"
"CAN'T SAY","Travis Scott",225,"2018-08-03","27a1mYSG5tYg7dmEjWBcmL"
"Waves","Kanye West",221,"2018-04-27","3nAq2hCr1oWsIU54tS98pL"
"In Your Eyes","The Weeknd",219,"2020-03-20","7szuecWAPwGoV1e5vGu8tl"
"Soundtrack 2 My Life","Kid Cudi",215,"2020-06-13","1cdC9TCqyLwAlsw3fVJaJS"
"Low Life (feat. The Weeknd)","Future",213,"2016-04-26","7EiZI6JVHllARrX9PUvAdX"
"Counting Stars","OneRepublic",210,"2017-09-05","6sy3LkhNFjJWlaeSMNwQ62"
"Antidote","Travis Scott",209,"2017-11-11","1wHZx0LgzFHyeIZkUydNXq"
"No Role Modelz","J. Cole",207,"2017-05-16","62vpWI1CHwFy7tMIcSStl8"
"pick up the phone","Young Thug",207,"2017-03-27","20dP2DaMHIAmwWAbp7peSr"
"STOP TRYING TO BE GOD","Travis Scott",204,"2018-08-03","1xYpVRspgaLxdJLOTQkTjg"
"This Love","Maroon 5",204,"2018-11-09","6ECp64rv50XVz93WvxXMGF"
"After Hours","The Weeknd",202,"2020-02-19","2p8IUWQDrpjuFltbdgLOag"
"The Ways (with Swae Lee)","Khalid",200,"2018-02-09","5jyyPsIGM2yqkZN9R3TmvN"
"goosebumps","Travis Scott",199,"2017-06-10","6gBFPUFcJLzWGx4lenP6h2"
"Sit Next to Me","Foster The People",197,"2019-01-23","4BdGO1CaObRD4La9l5Zanz"
"Electric (feat. Khalid)","Alina Baraz",190,"2019-01-23","20TYNq9o5sdBAbkCWE9ih7"
"Paramedic!","SOB X RBE",189,"2018-02-09","2tPcTFiQF9MbVUyjZ3zDhA"
"Father Stretch My Hands Pt. 1","Kanye West",186,"2018-06-09","4KW1lqgSr8TKrvBII0Brf8"
"HOUSTONFORNICATION","Travis Scott",182,"2018-08-29","58TaFP5j5i9swOf584yon2"
"Money Trees","Kendrick Lamar",179,"2017-06-17","2HbKqm4o0w5wEeEFXm2sD4"
"HUMBLE.","Kendrick Lamar",176,"2017-04-19","7KXjTSCq5nL1LoYtL7XAwS"
"Headlines","Drake",175,"2017-04-08","6LxSe8YmdPxy095Ux6znaQ"
"Ivy","Frank Ocean",173,"2017-09-25","2ZWlPOoWh0626oTaHrnl2a"
"WAKE UP","Travis Scott",168,"2018-08-03","20MuVazoNMv6xjKPnRFOxG"
"HYFR (Hell Ya Fucking Right)","Drake",167,"2017-12-15","0m1KYWlT6LhFRBDVq9UNx4"
"no sense","Baby Keem",163,"2021-03-05","0TSyYtpSnQrLqsnbSTALTP"
"One More Night","Maroon 5",161,"2018-04-30","4XNrMwGx1SqP01sqkGTDmo"
"Reborn","KIDS SEE GHOSTS",161,"2020-06-13","4RVbK6cV0VqWdpCDcx3hiT"
"YOSEMITE","Travis Scott",160,"2018-08-30","7lAK3oHbfEnvUQWosrMMpR"
"Sky Walker (feat. Travis Scott)","Miguel",159,"2018-01-23","5WoaF1B5XIEnWfmb5NZikf"
"EARFQUAKE","Tyler, The Creator",154,"2019-05-26","5hVghJ4KaYES3BFUATCYn0"
"Chanel","Frank Ocean",152,"2017-09-13","6Nle9hKrkL1wQpwNfEkxjh"
"Die For You","The Weeknd",152,"2019-01-10","2Ch7LmS7r2Gy2kc64wv3Bz"
"way back","Travis Scott",152,"2018-07-24","2Zy7XVdxyZQB8xp5xbpJdl"
"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",147,"2017-05-08","6SwRhMLwNqEi6alNPVG00n"
"Don't Stop Me Now","Queen",146,"2018-11-30","43DHLzDkncpby82Po5jlOZ"
"HONEST","Baby Keem",145,"2021-03-15","58k32my5lKofeZRtIvBDg9"
"Cigarette Daydreams","Cage The Elephant",144,"2021-02-11","2tznHmp70DxMyr2XhWLOW0"
"The Scientist","Coldplay",143,"2017-10-28","75JFxkI2RXiU7L9VXzMkle"
