"Song","Artist","Plays","First Listen","ID"
"Kalank (Title Track)","Pritam",239,"2020-08-04","6vo7Y1iWyZvpjvFbf6BiZ5"
"comethru","Jeremy Zucker",225,"2018-11-09","18uwL0vNUanqZH0ro2QcOP"
"when the party's over","Billie Eilish",211,"2018-10-19","43zdsphuZLzwA9k4DJhU0I"
"Just Stay","Mauve",183,"2019-12-04","3YPhgbRDotBitv4FQBnoum"
"I'm Yours","Jason Mraz",165,"2018-03-01","1EzrEOXmMH3G43AXT1y7pA"
"Perfect","Ed Sheeran",162,"2018-01-16","2R0FW1n6cOkQDJhAkQENsf"
"Calma - Remix","Pedro Capo",161,"2019-02-04","5iwz1NiezX7WWjnCgY5TH4"
"I Can't Help","Shoffy",150,"2020-07-06","1sjXaEmqj5cRMns8rWYnKe"
"you were good to me","Jeremy Zucker",137,"2019-04-19","4CxFN5zON70B3VOPBYbd6P"
"lovely (with Khalid)","Billie Eilish",136,"2018-04-22","0u2P5u6lvoDfwTYjAADbn4"
"better off","Jeremy Zucker",134,"2018-04-22","7bdYxWPCs46dQ0XLwySOyv"
"Best Part (feat. H.E.R.)","Daniel Caesar",129,"2018-11-19","4OBZT9EnhYIV17t4pGw7ig"
"Iron & Steel","Quinn XCII",125,"2018-07-29","1UMQ9VXdKGiAHIGD5fWX2B"
"Surf","Mac Miller",123,"2020-08-23","1kwnxJNVl7cwcU98RvMBaR"
"Saturday Nights","Khalid",122,"2018-11-15","5kfNriitmkNE8mUbZ7gbq8"
"Thinking out Loud","Ed Sheeran",120,"2018-02-28","34gCuhDGsG4bRPIf9bb02f"
"talk is overrated","Jeremy Zucker",117,"2018-04-22","7cflqPPi3zWfLFRRBTWeh6"
"Saturn","Sleeping At Last",115,"2021-12-07","3tJjZMHLqhD8DaGgdBICnc"
"The Cello Song","The Piano Guys",112,"2016-09-03","5uEcslrmFzkDqTaFB26yj2"
"blue","Kamal.",111,"2020-05-22","7pt64sepCy5QmDrgy9wOJS"
"i love you","Billie Eilish",109,"2019-04-03","6CcJMwBtXByIz4zQLzFkKc"
"To Build A Home","The Cinematic Orchestra",107,"2019-04-05","3AqPL1n1wKc5DVFFnYuJhp"
"Indian Summer","Jai Wolf",106,"2021-07-12","0t488LlnuTDRjklgkotom9"
"U & Us","Quinn XCII",106,"2019-05-21","6SL7KzIA96f0HiKjuv7tED"
"Flare Guns","Quinn XCII",105,"2018-07-31","7cM9Kqto11iJpY2RwgVJSq"
"idontwannabeyouanymore","Billie Eilish",105,"2018-04-23","41zXlQxzTi6cGAjpOXyLYH"
"All Time Low","Jon Bellion",104,"2019-12-02","0SuLAslEMFZAXf0SwY7syi"
"El Amante","Nicky Jam",104,"2017-11-01","3umS4y3uQDkqekNjVpiRUs"
"El Perdon (with Enrique Iglesias)","Nicky Jam",104,"2017-09-28","7qCAVkHWZkF44OzOUKf8Cr"
"Panama","Quinn XCII",104,"2018-12-29","4RtexJZ1OyRkDNlqVUt8Zt"
"come out and play","Billie Eilish",104,"2018-12-15","7wC5eZcFS1Q1BsQ35DU6H4"
"It's Only (feat. Zyra) - ODESZA VIP Remix","ODESZA",102,"2019-03-11","2XyNLoEWc4IDt9OVzXZUXl"
"Silence","Marshmello",101,"2018-01-01","7vGuf3Y35N4wmASOKLUVVU"
"Sunset Lover","Petit Biscuit",101,"2016-09-13","0hNduWmlWmEmuwEFcYvRu1"
"Beautiful Now","Zedd",100,"2020-06-15","2ISSQPb9LHHiV6ng2NXosL"
