"Song","Artist","Plays","First Listen","ID"
"sweet sweet","Travis Scott",229,"2016-11-01","01Ch5LzVStxCFPKkT1xg6k"
"The Waters","Mick Jenkins",205,"2016-09-12","7bSSa7jiGH9ePKylNjZo60"
"CAROUSEL","Aries",203,"2018-05-21","7jahcsevTvePvdduUFVzpq"
"goosebumps","Travis Scott",202,"2016-09-08","6gBFPUFcJLzWGx4lenP6h2"
"90210 (feat. Kacy Hill)","Travis Scott",199,"2017-06-15","51EC3I1nQXpec4gDk0mQyP"
"DNA.","Kendrick Lamar",188,"2017-04-14","6HZILIRieu8S0iqY8kIKhj"
"Christ Conscious","Joey Bada$$",184,"2016-06-23","6v4s7JosY38tu0hTZGpgrx"
"Sorry Not Sorry","Bryson Tiller",184,"2016-01-05","16bHRxM89ue0TiCKARYbRp"
"FOOL'S GOLD","Aries",178,"2020-11-06","3nIlBeSIVnDbWFO3mExxV2"
"Heavenly Father","Isaiah Rashad",178,"2016-05-22","0qLt7pQhm8LDxFgI0YXdlY"
"9TH GRADE","Jack Harlow",177,"2018-08-20","4gfv0mYZvVXDJNRt8UjA1q"
"SYLVIA (feat. 2forwOyNE)","Jack Harlow",177,"2018-08-20","1AVm6MTy8qpaFi0gAa7Hlw"
"Exchange","Bryson Tiller",168,"2016-01-05","43PuMrRfbyyuz4QpZ3oAwN"
"Paper Trail$","Joey Bada$$",166,"2016-06-08","23bOfmnZiN42pB1frXNyak"
"Modest","Isaiah Rashad",164,"2016-05-22","6gYqtFQqdXsNttPD2ze2kk"
"KNACK FOR IT","Jack Harlow",161,"2018-08-20","7znMNt4SWNyheMtwgzvUzK"
"SUNDAY NIGHT","Jack Harlow",161,"2019-09-20","01DGSKcBCSQ3pRJ4q4Ekmj"
"PRBLMS","6LACK",160,"2016-05-26","4AtZRwSR8BOTTQg5ihSggt"
"Sing About Me, I'm Dying of Thirst","Kendrick Lamar",160,"2016-01-02","3q2v8QaTnHLveAQzR6gvYm"
"Don't","Bryson Tiller",157,"2016-01-05","3pXF1nA74528Edde4of9CC"
"Shot You Down (feat. Jay Rock & ScHoolboy Q)","Isaiah Rashad",156,"2016-05-15","01wKeKPgYxdPYA8rfMveYc"
"Nights","Frank Ocean",155,"2016-08-22","7eqoqGkKwgOaWNNHx90uEZ"
"Spread Love","Mick Jenkins",155,"2016-09-12","7HAwvdJaEUnRFb2hxc8Iz5"
