"Song","Artist","Plays","First Listen","ID"
"Self Care","Mac Miller",2031,2018-09-13,"5bJ1DrEM4hNCafcDd1oxHx"
"Donald Trump","Mac Miller",1835,2017-10-09,"3uulVrxiI7iLTjOBZsaiF8"
"Ladders","Mac Miller",1465,2018-09-08,"39NDBdU5Xkm5pCFGa5kZtI"
"Dang! (feat. Anderson .Paak)","Mac Miller",1215,2019-02-14,"5iUQMwxUPdJBFeGkePtM66"
"Watch Me","Jaden",1148,2018-07-15,"3lz2JgAt4cyr04qDlBgTOv"
"Attention (feat. Offset)","Rich Brian",1083,2018-02-02,"16wWFYS9S4hKBk2Ofj3Ss6"
"Magic","Olympic Ayres",994,2021-05-11,"4q8ce3VGQzroZzwrRhRwKf"
"Blue World","Mac Miller",936,2020-01-17,"2hwOoMtWPtTSSn6WHV7Vp5"
"SLOW DANCING IN THE DARK","Joji",911,2018-09-18,"0rKtyWc8bvkriBthvHKY8d"
"On My Own","Jaden",899,2019-07-05,"4D1eVq5AUILwjg3tAe7o6M"
"Creeping (feat. Rich the Kid)","Lil Skies",894,2018-04-03,"7ms3VzLTfr7fXNOqA4Mkx9"
"Sunflower","Rex Orange County",840,2019-06-25,"4EpZ4eYuZOwPSSwyqpdHnJ"
"American Teen","Khalid",796,2017-10-16,"312WNtMs3F28cUukaPY9bo"
"Red Roses (feat. Landon Cube)","Lil Skies",791,2018-04-20,"3ZhTT6yjZwpPph5MIJ53XY"
"No Role Modelz","J. Cole",779,2017-10-12,"62vpWI1CHwFy7tMIcSStl8"
"8TEEN","Khalid",763,2017-10-07,"5bgwqaRSS3M8WHWruHgSL5"
"Icon","Jaden",762,2018-06-28,"22nyEAEM29tcBRhukR089b"
"Whatever It Takes","Imagine Dragons",753,2017-09-11,"6Qn5zhYkTa37e91HC1D7lb"
"SICKO MODE","Travis Scott",748,2018-08-03,"2xLMifQCjDGFmkHkpNLD9h"
"Unforgettable","French Montana",740,2017-09-11,"3B54sVLJ402zGa6Xm4YGNe"
"Noticed","Lil Mosey",728,2018-09-28,"6JQvHMSaR8flFsN53ypOfP"
"Crisis (feat. 21 Savage)","Rich Brian",719,2017-11-29,"6GmjF0MtrK8UHQlIh6tzRt"
