"Person","Type","ID","Split","Val"
"AN","Top Songs","3PBtuovwpCG6dRULHxAsiQ","Total","Total"
"AK","Top Songs","1T4G5pgLH9ODQqhdU6DoY2","Total","Total"
"DM","Top Songs","0Ty7D9c1YXdFSITnQz0zUn","Total","Total"
"AN","Top Songs 2016","3XTfXbiFGIBaLim8VTOe0Q","year","2016"
"AN","Top Songs 2017","3jswjldVnuwdUBUapqWVqg","year","2017"
"AN","Top Songs 2018","6xYApJYlkIvkFvxH7QsIaH","year","2018"
"AN","Top Songs 2019","1DcmtDoxN4Lg4iTrvp44HJ","year","2019"
"AN","Top Songs 2020","71ZTuEJRfn4JvJvWPgFJo6","year","2020"
"AN","Top Songs 2021","0aUFxUkmYpYkeDNbrx9psd","year","2021"
"AN","Top Songs 2022","46YlVhuIUEx3YomA6bJBRu","year","2022"
"AK","Top Songs 2016","4MTw7NmpKupnZ6mwWdAdh4","year","2016"
"AK","Top Songs 2017","7JK7TOX7jblFHX7zjhKV3c","year","2017"
"AK","Top Songs 2018","2x10GSzuJ2y2JfIrAvTZ3z","year","2018"
"AK","Top Songs 2019","5AAGozh9JIWXHgETtfHoCA","year","2019"
"AK","Top Songs 2020","4rbXYPkDyLsCpDyWhjokbn","year","2020"
"AK","Top Songs 2021","5EHh88QyBxfFVirYLHKhNS","year","2021"
"AK","Top Songs 2022","4lWkyRbvtUZGBZ46rDE2Ps","year","2022"
"DM","Top Songs 2016","18lLVBt2bNgThAkhAkfKNh","year","2016"
"DM","Top Songs 2017","7zTe5YJrY9soxJa0P6iOIp","year","2017"
"DM","Top Songs 2018","5FaLVZBAeqHRWeJ9C4yjVP","year","2018"
"DM","Top Songs 2019","4zaJocOREcGlsSdxq6krvO","year","2019"
"DM","Top Songs 2020","64BkXXbRsmaBQycLj3KG6g","year","2020"
"DM","Top Songs 2021","6Vxx2bAbQHjNForJxS5Sca","year","2021"
"DM","Top Songs 2022","5a3vVpoNhD8uk8NBJUSG2M","year","2022"
"AN","Top Songs Spring","45XSXf1i5fKrZuGTESBbgC","season","Spring"
"AN","Top Songs Summer","7GaSeQ00pasRWXQeWyQOhs","season","Summer"
"AN","Top Songs Fall","2D8pGdrUQaaPjcD3mV7k3g","season","Fall"
"AN","Top Songs Winter","2hY9Yl3ENSEGO83AlXqyIm","season","Winter"
"AK","Top Songs Spring","3UfsW4HSPKi9YfZd78Ndyz","season","Spring"
"AK","Top Songs Summer","0ixypvaZpSsgYATCgSNMzX","season","Summer"
"AK","Top Songs Fall","7mU87L1nxOeIUZwO3I47c5","season","Fall"
