"Hour","Album","Plays"
"05","Travis Scott ~ ASTROWORLD",184
"06","Travis Scott ~ ASTROWORLD",165
"04","Travis Scott ~ ASTROWORLD",157
"23","Travis Scott ~ ASTROWORLD",144
"00","Travis Scott ~ ASTROWORLD",138
"01","Travis Scott ~ ASTROWORLD",138
"22","Travis Scott ~ ASTROWORLD",136
"21","Travis Scott ~ ASTROWORLD",119
"23","The Weeknd ~ After Hours",113
"00","The Weeknd ~ After Hours",111
"23","Kendrick Lamar ~ DAMN.",110
"05","The Weeknd ~ After Hours",108
"05","SOB X RBE ~ Black Panther The Album Music From And Inspired By",106
"07","Travis Scott ~ ASTROWORLD",104
"06","The Weeknd ~ After Hours",103
"06","Kid Cudi ~ Man On The Moon: The End Of Day",102
"05","Kendrick Lamar ~ DAMN.",101
"06","Kid Cudi ~ Man On The Moon III: The Chosen",98
"07","Kid Cudi ~ Man On The Moon III: The Chosen",98
"21","The Weeknd ~ After Hours",97
"00","Kendrick Lamar ~ DAMN.",95
"05","Kid Cudi ~ Man On The Moon: The End Of Day",95
"22","The Weeknd ~ After Hours",95
"19","Travis Scott ~ ASTROWORLD",94
"04","The Weeknd ~ After Hours",93
"07","Kid Cudi ~ Man On The Moon: The End Of Day",93
"04","Kendrick Lamar ~ DAMN.",92
"02","Travis Scott ~ ASTROWORLD",91
"06","Kendrick Lamar ~ DAMN.",90
"03","Travis Scott ~ ASTROWORLD",89
"06","Zacari ~ Black Panther The Album Music From And Inspired By",87
"20","Kendrick Lamar ~ DAMN.",87
"07","The Weeknd ~ After Hours",86
"21","Khalid ~ Black Panther The Album Music From And Inspired By",85
"01","The Weeknd ~ After Hours",83
"02","Kendrick Lamar ~ DAMN.",83
"01","Kendrick Lamar ~ DAMN.",82
"19","Kendrick Lamar ~ DAMN.",81
"22","Kendrick Lamar ~ DAMN.",81
"20","Travis Scott ~ ASTROWORLD",80
"04","Khalid ~ Black Panther The Album Music From And Inspired By",79
"00","Travis Scott ~ Rodeo",78
"05","Travis Scott ~ Birds In The Trap Sing McKnight",78
