"Hour","Album","Plays"
"06","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",96
"22","Nicky Jam ~ Fenix",84
"18","Nicky Jam ~ Fenix",72
"19","Nicky Jam ~ Fenix",71
"21","Nicky Jam ~ Fenix",71
"04","Ed Sheeran ~ Divide",70
"05","Ed Sheeran ~ Divide",68
"23","Nicky Jam ~ Fenix",61
"00","Nicky Jam ~ Fenix",57
"07","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",56
"06","Ed Sheeran ~ Divide",55
"20","Nicky Jam ~ Fenix",54
"18","ODESZA ~ A Moment Apart",52
"03","Ed Sheeran ~ Divide",50
"17","Ed Sheeran ~ Divide",50
"17","ODESZA ~ A Moment Apart",49
"22","ODESZA ~ A Moment Apart",49
"23","ODESZA ~ A Moment Apart",49
"02","ODESZA ~ A Moment Apart",45
"05","Ed Sheeran ~ x",45
"19","Labrinth ~ Euphoria (Original Score from the HBO Series)",45
"15","Nicky Jam ~ Fenix",43
"16","ODESZA ~ A Moment Apart",43
"16","Nicky Jam ~ Fenix",43
"22","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",43
"17","Nicky Jam ~ Fenix",42
"06","Jeremy Zucker ~ love is not dying",41
"20","ODESZA ~ A Moment Apart",41
"21","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",41
"06","Ed Sheeran ~ x",40
"07","Ed Sheeran ~ Divide",40
"19","Khalid ~ American Teen",40
"22","Ed Sheeran ~ Divide",40
"03","Nicky Jam ~ Fenix",39
"16","Billie Eilish ~ Happier Than Ever",39
"00","The Piano Guys ~ The Piano Guys",38
"03","ODESZA ~ A Moment Apart",38
"06","Billie Eilish ~ dont smile at me",38
"18","Ed Sheeran ~ Divide",38
"21","ODESZA ~ A Moment Apart",38
"00","Ed Sheeran ~ Divide",37
"07","Mac Miller ~ Circles",37
"23","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",37
"01","ODESZA ~ A Moment Apart",36
"20","The Weeknd ~ Beauty Behind The Madness",36
"22","Jon Bellion ~ The Human Condition",36
"23","The Piano Guys ~ The Piano Guys",36
"01","Ed Sheeran ~ Divide",35
"00","ODESZA ~ A Moment Apart",34
"01","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",34
"08","Ed Sheeran ~ Divide",34
"16","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",34
"19","Ed Sheeran ~ Divide",34
"16","Ed Sheeran ~ Divide",33
"19","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",33
"20","The Weeknd ~ Starboy",33
"21","The Weeknd ~ Beauty Behind The Madness",33
"05","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",32
"15","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",32
"16","Quinn XCII ~ The Story of Us",32
"20","Ed Sheeran ~ Divide",32
"01","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",31
"02","Ed Sheeran ~ Divide",31
"16","The Weeknd ~ Beauty Behind The Madness",31
"18","Quinn XCII ~ The Story of Us",31
"01","The Piano Guys ~ The Piano Guys",30
"02","Oh Wonder ~ Oh Wonder",30
"02","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",30
"04","Ed Sheeran ~ x",30
"05","Neelson Macias ~ Neel Macias",30
"13","Nicky Jam ~ Fenix",30
"18","Khalid ~ American Teen",30
"22","The Piano Guys ~ The Piano Guys",30
"23","Jon Bellion ~ The Human Condition",30
"01","Quinn XCII ~ The Story of Us",29
"05","Ed Sheeran ~ +",29
"09","Neelson Macias ~ Neel Macias",29
"20","Tyler and Mark ~ Beautiful Dreams",29
"20","Oh Wonder ~ Oh Wonder",29
"21","Ed Sheeran ~ Divide",29
"22","Lola Fernando ~ Usman Soto",29
"01","Mac Miller ~ Circles",28
"02","Nicky Jam ~ Fenix",28
"03","Ed Sheeran ~ x",28
"04","ODESZA ~ A Moment Apart",28
"06","Mac Miller ~ Circles",28
"14","Billie Eilish ~ Happier Than Ever",28
"16","Khalid ~ American Teen",28
"16","Khalid ~ Free Spirit",28
"17","Mac Miller ~ Circles",28
"17","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",28
"18","DJomla KS ~ Djomla Ks, Vol. 2",28
"18","Khalid ~ Free Spirit",28
"19","ODESZA ~ A Moment Apart",28
"20","Mac Miller ~ Circles",28
"22","Pedro Capo ~ Calma",28
"00","Quinn XCII ~ The Story of Us",27
"05","Billie Eilish ~ dont smile at me",27
"08","Jeremy Zucker ~ love is not dying",27
"15","The Weeknd ~ Starboy",27
"16","Quinn XCII ~ A Letter To My Younger Self",27
"17","Quinn XCII ~ The Story of Us",27
"19","Khalid ~ Free Spirit",27
"19","DuyVu ~ Morning Mind",27
"20","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",27
"00","Khalid ~ American Teen",26
"00","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",26
"03","Oh Wonder ~ Oh Wonder",26
"07","Jeremy Zucker ~ love is not dying",26
"13","Rafael El Ninos ~ Caspian Alvarez",26
"17","Jeremy Zucker ~ summer,",26
"20","Quinn XCII ~ The Story of Us",26
"22","Oh Wonder ~ Oh Wonder",26
"23","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",26
"07","Ed Sheeran ~ x",25
"09","Rafael El Ninos ~ Caspian Alvarez",25
"15","Ed Sheeran ~ Divide",25
"15","Billie Eilish ~ Happier Than Ever",25
"16","Mac Miller ~ Circles",25
"18","Quinn XCII ~ From Michigan With Love",25
"18","The Piano Guys ~ The Piano Guys",25
"21","Pedro Capo ~ Calma",25
"21","Quinn XCII ~ The Story of Us",25
"21","The Weeknd ~ Trilogy",25
"22","The Weeknd ~ Trilogy",25
"23","The Weeknd ~ Trilogy",25
"00","The Weeknd ~ Beauty Behind The Madness",24
"01","Quinn XCII ~ From Michigan With Love",24
"04","Nicky Jam ~ Fenix",24
"04","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",24
"15","Oh Wonder ~ Oh Wonder",24
"18","The Weeknd ~ Beauty Behind The Madness",24
"20","Khalid ~ American Teen",24
"20","Khalid ~ Free Spirit",24
"20","The Weeknd ~ Trilogy",24
"21","Mac Miller ~ Circles",24
"21","Khalid ~ Free Spirit",24
"22","Mac Miller ~ Circles",24
"23","Quinn XCII ~ The Story of Us",24
"01","Jon Bellion ~ The Human Condition",23
"02","Khalid ~ Free Spirit",23
"02","Pritam ~ Kalank",23
"03","Nidza Bleja ~ Oseti bleju",23
"15","The Weeknd ~ Beauty Behind The Madness",23
"15","Jon Bellion ~ The Human Condition",23
"17","Labrinth ~ Euphoria (Original Score from the HBO Series)",23
"17","Khalid ~ Free Spirit",23
"17","Ed Sheeran ~ x",23
"19","Khalid ~ Suncity",23
"20","Post Malone ~ beerbongs & bentleys",23
"01","The Piano Guys ~ The Piano Guys 2",22
"02","The Piano Guys ~ The Piano Guys",22
"03","The Piano Guys ~ The Piano Guys",22
"05","Giveon ~ When It's All Said And Done... Take Time",22
"07","Lolo Zouai ~ High Highs to Low Lows",22
"07","Jeremy Zucker ~ brent",22
"08","Mac Miller ~ Circles",22
"10","Ed Sheeran ~ Divide",22
"14","Ed Sheeran ~ Divide",22
"15","ODESZA ~ A Moment Apart",22
