"Hour","Album","Plays"
"11","Isaiah Rashad ~ Cilvia Demo",219
"11","Bryson Tiller ~ T R A P S O U L",201
"18","Mick Jenkins ~ The Water[s]",198
"10","Mick Jenkins ~ The Water[s]",189
"19","Isaiah Rashad ~ Cilvia Demo",189
"11","Chance the Rapper ~ Coloring Book",172
"10","Isaiah Rashad ~ Cilvia Demo",171
"18","Kendrick Lamar ~ DAMN.",166
"10","Travis Scott ~ Birds in the Trap Sing McKnight",160
"11","Drake ~ Views",159
"19","Isaiah Rashad ~ The Sun's Tirade",154
"19","Travis Scott ~ Birds in the Trap Sing McKnight",148
"18","Frank Ocean ~ Blonde",144
"23","Kendrick Lamar ~ DAMN.",144
"19","Travis Scott ~ Rodeo",142
"17","Frank Ocean ~ Blonde",138
"17","Mick Jenkins ~ The Water[s]",137
"19","Jack Harlow ~ Loose",137
"20","Travis Scott ~ Birds in the Trap Sing McKnight",137
"19","Joey Bada$$ ~ B4.DA.$$",136
"11","Anderson .Paak ~ Malibu",130
"18","Isaiah Rashad ~ The Sun's Tirade",129
"22","Jack Harlow ~ Confetti",128
"10","Chance the Rapper ~ Coloring Book",127
"18","A$AP Rocky ~ AT.LONG.LAST.A$AP",126
"16","Bryson Tiller ~ T R A P S O U L",125
"18","Kendrick Lamar ~ To Pimp a Butterfly",125
"22","Bryson Tiller ~ T R A P S O U L",125
"10","Kendrick Lamar ~ DAMN.",123
"10","Bryson Tiller ~ T R A P S O U L",123
"19","Kendrick Lamar ~ good kid, m.A.A.d city",120
"00","Kendrick Lamar ~ To Pimp a Butterfly",119
"23","Isaiah Rashad ~ Cilvia Demo",119
"15","Travis Scott ~ Birds in the Trap Sing McKnight",115
"12","Bryson Tiller ~ T R A P S O U L",114
"18","Bryson Tiller ~ T R A P S O U L",114
"18","Mick Jenkins ~ The Healing Component",112
"00","Travis Scott ~ ASTROWORLD",111
"20","Bryson Tiller ~ T R A P S O U L",111
"16","Mick Jenkins ~ The Water[s]",110
"18","Kendrick Lamar ~ Section.80",110
"17","Travis Scott ~ Birds in the Trap Sing McKnight",109
"19","Kendrick Lamar ~ Section.80",109
"19","Drake ~ Views",109
"11","PnB Rock ~ GTTM: Goin Thru the Motions",108
"02","Travis Scott ~ Birds in the Trap Sing McKnight",107
"19","Frank Ocean ~ Blonde",107
"11","Travis Scott ~ Birds in the Trap Sing McKnight",105
"11","Vince Staples ~ Summertime '06",105
"01","Jack Harlow ~ Loose",103
"18","Travis Scott ~ Birds in the Trap Sing McKnight",103
"18","Kendrick Lamar ~ good kid, m.A.A.d city",103
"19","Vince Staples ~ Summertime '06",103
"03","PARTYNEXTDOOR ~ PARTYMOBILE",101
"10","Drake ~ Views",101
"22","Drake ~ Views",101
"20","Joey Bada$$ ~ B4.DA.$$",100
"20","Kendrick Lamar ~ good kid, m.A.A.d city",100
"22","Anderson .Paak ~ Malibu",100
"11","Mick Jenkins ~ The Water[s]",99
"21","Jack Harlow ~ Loose",99
"04","Travis Scott ~ ASTROWORLD",98
"19","A$AP Rocky ~ AT.LONG.LAST.A$AP",98
"20","Jack Harlow ~ Confetti",98
"22","Kendrick Lamar ~ To Pimp a Butterfly",98
"17","Bryson Tiller ~ T R A P S O U L",97
"19","NxWorries, Knxwledge, Anderson .Paak ~ Yes Lawd!",97
"23","Drake ~ Views",97
"16","Frank Ocean ~ Blonde",96
"18","Isaiah Rashad ~ Cilvia Demo",96
"23","Kanye West ~ Graduation",96
"23","Kendrick Lamar ~ To Pimp a Butterfly",96
"19","Anderson .Paak ~ Malibu",95
"19","Kendrick Lamar ~ Overly Dedicated",95
"23","Travis Scott ~ Birds in the Trap Sing McKnight",95
"10","Jack Harlow ~ Confetti",94
"18","Jack Harlow ~ Confetti",94
"22","Mick Jenkins ~ The Water[s]",94
"10","Joyner Lucas ~ Along Came Joyner",92
"18","Aries ~ WELCOME HOME",92
"19","Chance the Rapper ~ Coloring Book",92
"16","Joey Bada$$ ~ B4.DA.$$",91
"19","Bryson Tiller ~ T R A P S O U L",91
"19","Mick Jenkins ~ The Water[s]",91
"20","Isaiah Rashad ~ Cilvia Demo",91
"15","Anderson .Paak ~ Malibu",90
"18","Young Thug ~ JEFFERY",90
"19","PnB Rock ~ GTTM: Goin Thru the Motions",90
"22","Jack Harlow ~ Loose",90
"16","Kendrick Lamar ~ good kid, m.A.A.d city",89
"18","Travis Scott ~ Rodeo",89
"18","Travis Scott ~ ASTROWORLD",88
"20","Kendrick Lamar ~ To Pimp a Butterfly",88
"21","Bryson Tiller ~ T R A P S O U L",88
"22","Kendrick Lamar ~ DAMN.",88
"02","Jack Harlow ~ Confetti",87
"20","Isaiah Rashad ~ The Sun's Tirade",87
"10","A$AP Rocky ~ AT.LONG.LAST.A$AP",86
"18","Chance the Rapper ~ Coloring Book",86
"01","Lil Uzi Vert ~ Luv Is Rage 2",85
"18","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",85
"19","Kendrick Lamar ~ To Pimp a Butterfly",85
"10","Kendrick Lamar ~ To Pimp a Butterfly",84
"13","Travis Scott ~ Birds in the Trap Sing McKnight",84
