"Hour","Artist","Plays"
"05","Travis Scott",337
"06","Travis Scott",296
"23","Kanye West",292
"23","Kendrick Lamar",281
"00","Travis Scott",280
"06","Kid Cudi",273
"04","Travis Scott",271
"01","Kanye West",267
"05","The Weeknd",267
"00","Kanye West",265
"23","Travis Scott",261
"07","Kid Cudi",256
"05","Kanye West",253
"21","Kendrick Lamar",253
"01","Travis Scott",252
"04","Kanye West",252
"04","Kendrick Lamar",250
"00","Kendrick Lamar",249
"20","Kendrick Lamar",245
"06","The Weeknd",242
"22","Travis Scott",240
"00","The Weeknd",239
"05","Kendrick Lamar",237
"19","Kendrick Lamar",234
"18","Kendrick Lamar",220
"01","Kendrick Lamar",219
"06","Kanye West",219
"22","Kendrick Lamar",219
"21","Travis Scott",213
"21","Kanye West",212
"04","The Weeknd",209
"05","Kid Cudi",209
"17","Kendrick Lamar",207
"23","The Weeknd",203
"20","Kanye West",202
"19","Travis Scott",200
"22","Kanye West",199
"06","Kendrick Lamar",197
"07","Travis Scott",197
"02","Kanye West",195
"05","Drake",195
"21","The Weeknd",195
"03","Kanye West",193
"07","The Weeknd",193
"22","The Weeknd",192
"06","Drake",186
"02","Kendrick Lamar",185
"04","Logic",184
"03","Travis Scott",183
"21","Drake",180
"17","Kanye West",179
"20","Travis Scott",179
"01","Drake",177
"19","Kanye West",177
"01","The Weeknd",174
"05","Logic",171
"03","Kendrick Lamar",170
"00","Drake",168
"02","Travis Scott",167
"07","Kanye West",167
"22","Drake",164
"04","Drake",156
"04","Kid Cudi",156
"21","The Beatles",156
"08","Kid Cudi",155
"18","Travis Scott",155
"08","Kanye West",153
"16","Kendrick Lamar",150
"22","The Beatles",150
"19","The Weeknd",149
"18","Kanye West",147
"23","The Beatles",146
"06","The Beatles",143
"23","Drake",143
"16","Kanye West",142
"20","The Weeknd",136
"20","Drake",134
"03","Drake",133
"03","The Weeknd",132
"19","Drake",132
"17","Travis Scott",131
"07","Drake",128
"22","Baby Keem",128
"03","Kid Cudi",127
"02","Drake",122
"07","Kendrick Lamar",122
"08","The Weeknd",121
"23","Kid Cudi",119
"04","The Beatles",118
"19","Logic",118
"00","The Beatles",117
"08","Travis Scott",116
"20","Baby Keem",115
"22","Logic",114
"19","Baby Keem",113
"21","Baby Keem",113
"01","Kid Cudi",112
"18","Baby Keem",112
"20","Kid Cudi",111
"02","Kid Cudi",110
"18","Drake",110
"05","Baby Keem",108
"05","The Beatles",107
"02","The Weeknd",105
"23","Logic",104
"00","Kid Cudi",103
"20","The Beatles",98
"00","Logic",97
"02","The Beatles",97
"03","Logic",97
"05","Bryson Tiller",96
"18","Logic",95
"04","Baby Keem",94
"22","Jack Harlow",93
"15","Kanye West",92
"21","Kid Cudi",92
"17","Drake",91
"16","The Weeknd",89
"01","The Beatles",88
"06","Logic",88
"23","Baby Keem",88
"06","Baby Keem",87
"00","Jack Harlow",86
"02","Logic",86
"17","The Weeknd",86
"20","Logic",86
"21","Jack Harlow",86
"21","Logic",86
"09","Kid Cudi",85
"16","Drake",85
"18","The Weeknd",85
"03","Baby Keem",84
"15","Drake",84
"15","Kendrick Lamar",84
"06","Coldplay",83
"21","Queen",83
"01","Logic",82
"19","The Beatles",82
"22","Kid Cudi",82
"22","Queen",82
"01","Baby Keem",81
"03","The Beatles",81
"15","The Weeknd",81
"18","The Beatles",78
"06","Bryson Tiller",77
"07","Coldplay",77
"19","Jack Harlow",77
"23","Tyler, The Creator",76
"05","Coldplay",75
"17","Logic",75
"23","Queen",75
"05","J. Cole",74
"05","Jack Harlow",73
"07","The Beatles",73
"00","Coldplay",72
"02","Baby Keem",72
"01","Jack Harlow",71
"06","Jack Harlow",71
"15","The Beatles",70
"16","Travis Scott",70
"18","Kid Cudi",70
"19","Kid Cudi",70
"00","Baby Keem",69
"05","Don Toliver",69
"07","Jack Harlow",69
"15","Travis Scott",69
"02","Cage The Elephant",68
"07","Don Toliver",68
"08","Drake",68
"20","Jack Harlow",68
"22","Maroon 5",67
"04","Jack Harlow",66
"17","Baby Keem",66
"20","Queen",66
"22","Cage The Elephant",66
"00","Queen",65
"04","Bryson Tiller",65
"21","Maroon 5",65
"23","Maroon 5",65
"08","The Beatles",64
"20","Maroon 5",64
"05","Queen",63
"06","Don Toliver",62
"00","J. Cole",61
"03","Jack Harlow",61
"06","J. Cole",61
"18","Jack Harlow",61
"21","Cage The Elephant",61
"01","Bryson Tiller",60
"22","J. Cole",60
"04","J. Cole",59
"05","Maroon 5",58
"07","Baby Keem",58
"16","Baby Keem",58
"20","Cage The Elephant",58
"04","Queen",57
"16","Bryson Tiller",57
"16","Kid Cudi",57
"04","Maroon 5",56
"07","Frank Ocean",56
