"Hour","Artist","Plays"
"06","Billie Eilish",214
"05","Ed Sheeran",185
"04","Ed Sheeran",145
"06","Ed Sheeran",139
"20","The Weeknd",129
"03","Ed Sheeran",123
"17","Jeremy Zucker",122
"05","Billie Eilish",121
"16","Billie Eilish",119
"18","Jeremy Zucker",116
"17","Ed Sheeran",115
"06","Jeremy Zucker",114
"07","Billie Eilish",110
"16","Quinn XCII",110
"18","Quinn XCII",109
"15","Billie Eilish",107
"07","Ed Sheeran",106
"01","Billie Eilish",105
"19","Khalid",104
"20","Billie Eilish",104
"17","Quinn XCII",99
"21","Quinn XCII",99
"22","Nicky Jam",99
"22","Billie Eilish",98
"02","Billie Eilish",97
"18","Nicky Jam",97
"21","Billie Eilish",96
"01","Quinn XCII",94
"19","Jeremy Zucker",94
"20","Quinn XCII",94
"21","Nicky Jam",94
"18","Billie Eilish",92
"21","The Weeknd",92
"15","The Weeknd",91
"05","Jeremy Zucker",89
"08","Ed Sheeran",89
"19","Billie Eilish",89
"00","The Piano Guys",88
"14","Billie Eilish",88
"20","Jeremy Zucker",88
"01","Ed Sheeran",87
"23","The Piano Guys",87
"00","Billie Eilish",86
"01","The Piano Guys",85
"16","Ed Sheeran",85
"22","Ed Sheeran",83
"23","Quinn XCII",83
"00","Quinn XCII",82
"02","Ed Sheeran",82
"02","Quinn XCII",82
"03","Nidza Bleja",82
"18","Khalid",82
"19","Nicky Jam",82
"00","Ed Sheeran",81
"00","Nicky Jam",81
"18","Ed Sheeran",81
"20","Ed Sheeran",81
"20","Khalid",81
"02","Jeremy Zucker",80
"16","Jeremy Zucker",79
"17","Billie Eilish",79
"18","The Piano Guys",79
"19","Quinn XCII",79
"21","Ed Sheeran",79
"23","Billie Eilish",78
"23","The Weeknd",78
"19","Ed Sheeran",77
"23","ODESZA",77
"01","Jeremy Zucker",76
"23","Jeremy Zucker",76
"18","ODESZA",75
"22","ODESZA",75
"08","Jeremy Zucker",73
"16","The Weeknd",73
"17","Khalid",73
"22","Jeremy Zucker",73
"23","Nicky Jam",73
"03","Billie Eilish",72
"04","Billie Eilish",72
