"Hour","Artist","Plays"
"18","Kendrick Lamar",663
"19","Kendrick Lamar",584
"18","Mick Jenkins",490
"20","Kendrick Lamar",478
"23","Kendrick Lamar",466
"00","Kendrick Lamar",412
"19","Isaiah Rashad",400
"22","Kendrick Lamar",397
"17","Kendrick Lamar",391
"16","Kendrick Lamar",379
"21","Kendrick Lamar",370
"19","Travis Scott",359
"17","Mick Jenkins",342
"10","Mick Jenkins",338
"19","Joey Bada$$",336
"10","Kendrick Lamar",322
"11","Kendrick Lamar",322
"19","Drake",319
"18","Travis Scott",314
"22","Jack Harlow",306
"19","Mick Jenkins",299
"11","Isaiah Rashad",298
"18","Joey Bada$$",288
"18","Lil Uzi Vert",288
"14","Kendrick Lamar",283
"02","Kendrick Lamar",281
"18","Isaiah Rashad",280
"19","Jack Harlow",276
"19","Lil Uzi Vert",276
"15","Kendrick Lamar",275
"19","Kanye West",274
"20","Travis Scott",272
"23","Isaiah Rashad",269
"23","Kanye West",268
"01","Kendrick Lamar",267
"16","Mick Jenkins",267
"23","Travis Scott",265
"23","Lil Uzi Vert",263
"17","Joey Bada$$",260
"22","Lil Uzi Vert",260
"00","Travis Scott",258
"16","Bryson Tiller",258
"23","Drake",256
"18","Kanye West",252
"11","Bryson Tiller",251
"20","Jack Harlow",250
"22","Bryson Tiller",247
"17","Travis Scott",246
"22","Kanye West",246
"10","Travis Scott",244
"14","Joey Bada$$",242
"18","Bryson Tiller",242
"18","Jack Harlow",242
"20","Isaiah Rashad",239
"21","Jack Harlow",237
"20","Kanye West",235
"22","Mick Jenkins",232
"10","Isaiah Rashad",231
"20","Joey Bada$$",231
"17","Isaiah Rashad",230
"11","Drake",224
"16","Joey Bada$$",224
"12","Kendrick Lamar",222
"02","Lil Uzi Vert",218
"17","Bryson Tiller",217
"20","Bryson Tiller",216
"21","Kanye West",215
"11","Mick Jenkins",212
"02","Jack Harlow",211
"02","Travis Scott",211
"15","Mick Jenkins",210
"22","Drake",210
"23","Mick Jenkins",209
"01","Jack Harlow",207
"19","Future",207
"15","Joey Bada$$",206
"21","Travis Scott",206
"01","Lil Uzi Vert",205
"15","Travis Scott",204
"19","Bryson Tiller",203
"14","Mick Jenkins",202
"11","Travis Scott",201
"15","Kanye West",201
"18","A$AP Rocky",201
"20","Lil Uzi Vert",201
"17","Kanye West",200
"22","Travis Scott",195
"03","Lil Uzi Vert",194
"19","Kid Cudi",194
"10","Bryson Tiller",193
"18","Aries",193
"11","Chance the Rapper",190
"16","Kanye West",190
"18","BROCKHAMPTON",190
"21","Isaiah Rashad",189
"23","Joey Bada$$",189
"18","ScHoolboy Q",188
"21","Lil Uzi Vert",188
"15","Drake",187
"21","Mick Jenkins",186
"22","Joey Bada$$",186
"13","Mick Jenkins",184
"01","Travis Scott",183
"16","Drake",183
"20","Future",182
"04","Jack Harlow",181
"18","Drake",181
"10","Jack Harlow",179
"18","Kid Cudi",179
"14","Drake",178
"00","Kanye West",177
"00","Lil Uzi Vert",177
"16","Future",177
"13","Kendrick Lamar",176
"00","Drake",175
"20","Mick Jenkins",175
"18","Frank Ocean",174
"18","whiterosemoxie",173
"11","Anderson .Paak",170
"17","Lil Uzi Vert",170
"18","Future",170
"04","Travis Scott",169
"23","Jack Harlow",169
"17","Aries",168
"17","Drake",167
"19","Aries",167
"23","Bryson Tiller",167
"11","Future",166
"17","Jack Harlow",165
"19","whiterosemoxie",165
"19","J. Cole",164
"19","A$AP Rocky",161
"16","Isaiah Rashad",160
"19","Vince Staples",160
"16","Travis Scott",159
"00","Mick Jenkins",158
"19","Anderson .Paak",158
"22","Isaiah Rashad",158
"00","Jack Harlow",155
"02","Aries",155
"12","Bryson Tiller",155
"16","Jack Harlow",154
"18","Vince Staples",153
"23","Future",153
"23","whiterosemoxie",153
"02","Mick Jenkins",152
"16","J. Cole",152
"21","Joey Bada$$",152
"00","Joey Bada$$",151
"03","Kendrick Lamar",151
"17","J. Cole",150
"01","Kanye West",149
"02","Kanye West",149
"10","A$AP Rocky",149
"11","Joey Bada$$",149
"11","J. Cole",148
"16","Lil Uzi Vert",148
"18","Earl Sweatshirt",148
"14","Isaiah Rashad",147
"22","Future",147
"17","Future",146
"21","Bryson Tiller",146
"10","Joey Bada$$",145
"15","Isaiah Rashad",145
"17","A$AP Rocky",145
"10","J. Cole",143
"17","whiterosemoxie",143
"21","Drake",143
"14","Lil Uzi Vert",142
"16","A$AP Rocky",142
"17","Frank Ocean",142
"17","Vince Staples",142
"18","Young Thug",141
"20","J. Cole",141
"23","Young Thug",141
"03","Jack Harlow",140
"03","Travis Scott",140
"19","BROCKHAMPTON",140
"15","Bryson Tiller",139
"22","A$AP Rocky",139
"01","Isaiah Rashad",138
"01","Joey Bada$$",137
"03","Aries",137
"19","Amine",137
"20","A$AP Rocky",137
"02","Joey Bada$$",136
"10","Drake",136
"11","A$AP Rocky",135
"10","Chance the Rapper",133
"19","A$AP Mob",133
"11","Vince Staples",132
"14","Travis Scott",132
"04","Kendrick Lamar",130
"23","J. Cole",130
"01","Mick Jenkins",129
"17","Kid Cudi",129
"04","whiterosemoxie",128
"14","Kanye West",128
"15","Anderson .Paak",128
"18","Ty Dolla $ign",128
"20","Drake",128
"00","J. Cole",127
"04","Aries",127
"15","Future",127
"18","J. Cole",127
"03","Joey Bada$$",126
"11","Jack Harlow",126
"18","Smino",126
"19","ScHoolboy Q",126
"19","Tyler, The Creator",126
"01","Drake",125
"15","J. Cole",125
"18","Tory Lanez",125
"13","Travis Scott",124
"14","Kid Cudi",124
"22","Anderson .Paak",124
"00","Isaiah Rashad",123
"18","Amine",123
"04","Joey Bada$$",121
"12","Mick Jenkins",121
"19","Earl Sweatshirt",121
"03","Isaiah Rashad",120
"19","Frank Ocean",120
"23","Anderson .Paak",120
"00","Future",119
"02","Isaiah Rashad",119
"04","Drake",119
"12","Travis Scott",119
"19","Tory Lanez",119
"05","Kendrick Lamar",118
"12","Isaiah Rashad",118
"23","Tyler, The Creator",117
"14","A$AP Rocky",116
"23","Aries",116
"03","PARTYNEXTDOOR",115
"14","Jack Harlow",115
"17","ScHoolboy Q",115
"18","Playboi Carti",115
"21","Earl Sweatshirt",115
"02","Drake",114
"05","Aries",114
"13","Joey Bada$$",114
"15","A$AP Rocky",114
"22","Young Thug",114
"01","Aries",113
"13","Isaiah Rashad",113
"20","Anderson .Paak",113
"11","Kid Cudi",112
"13","Drake",112
"00","Young Thug",111
"14","Future",111
"15","Lil Uzi Vert",111
"18","Chance the Rapper",111
"14","J. Cole",110
"19","Chance the Rapper",110
"22","J. Cole",110
"14","Anderson .Paak",109
"15","Jack Harlow",109
"20","Aries",109
"22","BROCKHAMPTON",109
"23","ScHoolboy Q",109
"01","Future",108
"05","Lil Uzi Vert",108
"10","ScHoolboy Q",108
"11","PnB Rock",108
"14","Bryson Tiller",108
"21","J. Cole",108
"21","ScHoolboy Q",108
"16","Vince Staples",107
"19","Logic",107
"03","Mick Jenkins",106
"16","Kid Cudi",106
"18","Juice WRLD",106
"21","Future",106
"23","Vince Staples",106
"05","Jack Harlow",105
"05","whiterosemoxie",105
"16","Aries",105
"20","ScHoolboy Q",105
"21","A$AP Rocky",105
"21","BROCKHAMPTON",105
"01","J. Cole",104
"12","J. Cole",104
"20","Logic",104
"15","Mac Miller",103
"18","Logic",103
"21","Frank Ocean",103
"10","Joyner Lucas",102
"22","whiterosemoxie",102
"00","Bryson Tiller",101
"13","Bryson Tiller",101
"13","Kanye West",101
"15","Kid Cudi",101
"19","Smino",101
"22","Aries",101
"04","Isaiah Rashad",100
"18","Trippie Redd",100
"16","Frank Ocean",99
"17","Smino",99
"00","A$AP Rocky",98
"00","Earl Sweatshirt",98
"16","ScHoolboy Q",98
"20","Tory Lanez",98
"20","whiterosemoxie",98
"21","whiterosemoxie",98
"12","Joey Bada$$",97
"15","BROCKHAMPTON",97
"18","JID",96
"19","Dave East",96
"00","whiterosemoxie",95
"01","BROCKHAMPTON",95
"02","J. Cole",95
"12","Future",95
"22","Tyler, The Creator",95
"10","Danny Brown",94
"10","Jazz Cartier",94
"13","J. Cole",94
"14","ScHoolboy Q",94
"16","Anderson .Paak",94
"01","Bryson Tiller",93
"20","Young Thug",93
"23","A$AP Rocky",93
"00","Smino",92
"03","Drake",92
"12","A$AP Rocky",92
"18","Anderson .Paak",92
"19","PnB Rock",92
"22","Chance the Rapper",92
"22","Earl Sweatshirt",92
"23","Daniel Caesar",92
"10","Vince Staples",91
"11","Kanye West",91
"13","Future",91
"14","Earl Sweatshirt",91
"18","Jazz Cartier",91
"19","Young Thug",91
"01","whiterosemoxie",90
"16","BROCKHAMPTON",90
"17","Playboi Carti",90
"19","NxWorries, Knxwledge, Anderson .Paak",90
"21","Vince Staples",90
"22","Vince Staples",90
"02","Bryson Tiller",89
"04","Lil Uzi Vert",89
"14","Lil Skies",89
"23","Earl Sweatshirt",89
"00","Aries",88
"01","Kid Cudi",88
"02","ScHoolboy Q",88
"03","Anderson .Paak",88
"12","Kanye West",88
"14","Vince Staples",88
"17","Rich The Kid",88
"20","Kid Cudi",88
"05","Verzache",87
"13","Anderson .Paak",87
"16","whiterosemoxie",87
"19","Mac Miller",87
"20","Daniel Caesar",87
"23","Kid Cudi",87
"01","Young Thug",86
"03","whiterosemoxie",86
"17","Anderson .Paak",86
"18","Mac Miller",86
"19","Playboi Carti",86
"20","Amine",86
"21","Anderson .Paak",86
"00","Mac Miller",85
"18","PARTYNEXTDOOR",85
"18","Pusha T",85
"19","Roddy Ricch",85
"20","Jazz Cartier",85
"03","Kanye West",84
"04","PARTYNEXTDOOR",84
"05","Isaiah Rashad",84
"05","Mick Jenkins",84
"13","Jack Harlow",84
"18","Tyler, The Creator",84
"19","Joyner Lucas",84
"19","Kota the Friend",84
"10","Kanye West",83
"14","Aries",83
"17","PARTYNEXTDOOR",83
"19","Jaden",83
"19","Lil Skies",83
"20","Vince Staples",83
"00","Juice WRLD",82
"00","Tyler, The Creator",82
"01","Anderson .Paak",82
"10","Aries",82
"12","ScHoolboy Q",82
"14","Tory Lanez",82
"17","Tyler, The Creator",82
"04","Kanye West",81
"06","Mick Jenkins",81
"11","Aries",81
"11","Mac Miller",81
"13","A$AP Rocky",81
"17","Young Thug",81
"02","Tyler, The Creator",80
"19","Rich The Kid",80
"22","Playboi Carti",80
"23","Playboi Carti",80
"02","Earl Sweatshirt",79
"02","Playboi Carti",79
"02","Young Thug",79
"04","Future",79
"05","Drake",79
"11","Migos",79
"17","Amine",79
"17","Mac Miller",79
"19","JID",79
"00","BROCKHAMPTON",78
"07","Aries",78
"10","Ty Dolla $ign",78
"11","Earl Sweatshirt",78
"14","whiterosemoxie",78
"15","Young Thug",78
"16","Smino",78
"16","Verzache",78
"17","Earl Sweatshirt",78
"18","A$AP Mob",78
"18","Daniel Caesar",78
"22","Frank Ocean",78
"05","Bryson Tiller",77
"13","Vince Staples",77
"15","Trippie Redd",77
"20","A Boogie wit da Hoodie",77
"20","BROCKHAMPTON",77
"21","Logic",77
"00","Kid Cudi",76
"01","Frank Ocean",76
"02","whiterosemoxie",76
"05","Tyler, The Creator",76
"14","JID",76
"17","BROCKHAMPTON",76
"20","JID",76
"20","Jay Rock",76
"20","PnB Rock",76
"20","Ty Dolla $ign",76
"04","Radiohead",75
"21","Chance the Rapper",75
"23","JID",75
"23","Jazz Cartier",75
"06","Aries",74
"11","Frank Ocean",74
"13","Lil Uzi Vert",74
"13","ScHoolboy Q",74
"14","Playboi Carti",74
"18","Verzache",74
"19","Trippie Redd",74
"20","Smino",74
"21","Trippie Redd",74
"22","Mac Miller",74
"22","Smino",74
"23","Verzache",74
"14","A$AP Mob",73
"14","Logic",73
"15","Earl Sweatshirt",73
"18","Jaden",73
"02","A Boogie wit da Hoodie",72
"03","Bryson Tiller",72
"04","Mick Jenkins",72
"12","Anderson .Paak",72
"15","A$AP Mob",72
"15","whiterosemoxie",72
"19","Ty Dolla $ign",72
"22","JID",72
"22","Kid Cudi",72
"00","A Boogie wit da Hoodie",71
"01","Juice WRLD",71
"05","Tom The Mail Man",71
"10","Logic",71
"05","Playboi Carti",70
"15","Jaden",70
"17","Trippie Redd",70
"18","Post Malone",70
"19","Juice WRLD",70
"21","Kid Cudi",70
"22","Daniel Caesar",70
"22","Mike WiLL Made-It",70
"22","ScHoolboy Q",70
"23","Chance the Rapper",70
"23","Pusha T",70
"00","Vince Staples",69
"02","Frank Ocean",69
"06","Jack Harlow",69
"14","Daniel Caesar",69
"20","Juice WRLD",69
"23","Dr. Dre",69
"00","PARTYNEXTDOOR",68
"00","Trippie Redd",68
"02","BROCKHAMPTON",68
"02","Kid Cudi",68
"10","Anderson .Paak",68
"12","Logic",68
"18","Rich The Kid",68
"20","Frank Ocean",68
"21","Ty Dolla $ign",68
"22","Logic",68
"23","Smino",68
"02","The Beatles",67
"03","Young Thug",67
"11","Roddy Ricch",67
"13","Kid Cudi",67
"13","Lil Skies",67
"15","Flatbush Zombies",67
"15","Logic",67
"16","Earl Sweatshirt",67
"17","Ty Dolla $ign",67
"19","Migos",67
"22","Amine",67
"22","Trippie Redd",67
"23","Juice WRLD",67
"10","Frank Ocean",66
"11","Lil Uzi Vert",66
"14","Ty Dolla $ign",66
"15","Vince Staples",66
"16","Dr. Dre",66
"18","PnB Rock",66
"21","Mac Miller",66
"06","whiterosemoxie",65
"10","Post Malone",65
"16","Tyler, The Creator",65
"18","NxWorries, Knxwledge, Anderson .Paak",65
"22","PnB Rock",65
"22","Tory Lanez",65
"23","Amine",65
"00","Amine",64
"02","Future",64
"03","Tyler, The Creator",64
"04","Amine",64
"04","Tyler, The Creator",64
"11","Young Thug",64
"15","ScHoolboy Q",64
"15","Tory Lanez",64
"16","The Weeknd",64
"17","The Weeknd",64
"21","Dr. Dre",64
"01","A$AP Rocky",63
"06","Drake",63
"15","XXXTENTACION",63
"16","Flatbush Zombies",63
"16","Playboi Carti",63
"17","Flatbush Zombies",63
"19","Verzache",63
"22","The Weeknd",63
"23","PARTYNEXTDOOR",63
"11","Juice WRLD",62
"13","Chance the Rapper",62
"19","Lil Baby",62
"19","Lil Yachty",62
"20","SZA",62
"21","Tyler, The Creator",62
"23","The Weeknd",62
"01","Tory Lanez",61
"11","Mike WiLL Made-It",61
"13","Earl Sweatshirt",61
"16","VIC MENSA",61
"20","Jaden",61
"20","Mac Miller",61
"21","Smino",61
"01","Tyler, The Creator",60
"03","Juice WRLD",60
"04","Kota the Friend",60
"10","Smino",60
"12","Chance the Rapper",60
"14","Rich The Kid",60
"15","PARTYNEXTDOOR",60
"18","Flatbush Zombies",60
"18","Travis Scott, Quavo, HUNCHO JACK",60
"21","JID",60
"22","The Beatles",60
"00","Jazz Cartier",59
"00","Lil Baby",59
"02","A$AP Rocky",59
"03","Jazz Cartier",59
"03","Lil Baby",59
"04","Juice WRLD",59
"05","Kanye West",59
"12","Jack Harlow",59
"15","Aries",59
"15","Frank Ocean",59
"16","Tory Lanez",59
"16","Young Thug",59
"17","Daniel Caesar",59
"17","PnB Rock",59
"18","Denzel Curry",59
"19","A Tribe Called Quest",59
"19","Travis Scott, Quavo, HUNCHO JACK",59
"20","Earl Sweatshirt",59
"20","Joyner Lucas",59
"20","Tyler, The Creator",59
"21","A Boogie wit da Hoodie",59
"00","Anderson .Paak",58
"04","Daniel Caesar",58
"04","Playboi Carti",58
"06","Verzache",58
"11","Rich The Kid",58
"13","Young Thug",58
"15","Juice WRLD",58
"15","Ty Dolla $ign",58
"18","Mir Fontane",58
"21","Aries",58
"00","Playboi Carti",57
"00","ScHoolboy Q",57
"01","Trippie Redd",57
"02","Anderson .Paak",57
"02","Juice WRLD",57
"02","Trippie Redd",57
"03","A Boogie wit da Hoodie",57
"04","Young Thug",57
"11","Ty Dolla $ign",57
"14","BROCKHAMPTON",57
"19","Khalid",57
"20","Danny Brown",57
"20","Denzel Curry",57
"21","A$AP Mob",57
"21","Young Thug",57
"22","A Boogie wit da Hoodie",57
"22","Khalid",57
"01","ScHoolboy Q",56
"03","Playboi Carti",56
"04","Trippie Redd",56
"05","The Weeknd",56
"13","Playboi Carti",56
"14","Young Thug",56
"17","Chance the Rapper",56
"17","Tory Lanez",56
"17","Verzache",56
"18","Gucci Mane",56
"18","Kota the Friend",56
"19","Flatbush Zombies",56
"19","Pusha T",56
"20","Dave East",56
"20","Macklemore & Ryan Lewis",56
"22","Ty Dolla $ign",56
"01","Vince Staples",55
"02","Roddy Ricch",55
"05","Radiohead",55
"10","Lil Uzi Vert",55
"12","BROCKHAMPTON",55
"12","Drake",55
"15","Dave East",55
"17","JAY-Z",55
"17","Logic",55
"18","Joyner Lucas",55
"18","Mike WiLL Made-It",55
"19","Post Malone",55
"20","PARTYNEXTDOOR",55
"21","Danny Brown",55
"22","PARTYNEXTDOOR",55
"23","Rich The Kid",55
"00","Ty Dolla $ign",54
"03","Kid Cudi",54
"03","ScHoolboy Q",54
"10","Mike WiLL Made-It",54
"11","Daniel Caesar",54
"12","Macklemore & Ryan Lewis",54
"16","Trippie Redd",54
"17","Denzel Curry",54
"17","midwxst",54
"18","XXXTENTACION",54
"21","Jaden",54
"21","Jazz Cartier",54
"21","Travis Scott, Quavo, HUNCHO JACK",54
"23","BROCKHAMPTON",54
"23","Ty Dolla $ign",54
"01","Playboi Carti",53
"03","Radiohead",53
"05","Jonah Zed",53
"11","ScHoolboy Q",53
"12","Vince Staples",53
"14","Dave East",53
"15","Denzel Curry",53
"15","Lil Skies",53
"15","Migos",53
"16","Jazz Cartier",53
"16","PnB Rock",53
"16","SiR",53
"19","Jazz Cartier",53
"19","SiR",53
"19","Snoop Dogg",53
"20","Chance the Rapper",53
"20","Lil Skies",53
"21","Rich The Kid",53
"22","NxWorries, Knxwledge, Anderson .Paak",53
"23","A Boogie wit da Hoodie",53
"00","Roddy Ricch",52
"01","Kota the Friend",52
"01","Travis Scott, Quavo, HUNCHO JACK",52
"02","Gunna",52
"03","Kota the Friend",52
"06","Isaiah Rashad",52
"11","Tory Lanez",52
"14","Lil Yachty",52
"15","Smino",52
"16","Pusha T",52
"18","Lil Baby",52
"21","NxWorries, Knxwledge, Anderson .Paak",52
"21","The Beatles",52
"23","Kota the Friend",52
"00","Logic",51
"01","Earl Sweatshirt",51
"01","Saba",51
"02","Amine",51
"03","Future",51
"04","Verzache",51
"05","PARTYNEXTDOOR",51
"12","Kid Cudi",51
"16","JID",51
"17","Migos",51
"18","Dave East",51
