"ID","Hour","Song","Plays"
"6NMtzpDQBTOfJwMzgMX0zl","06","Travis Scott ~ SKELETONS",42
"6NMtzpDQBTOfJwMzgMX0zl","05","Travis Scott ~ SKELETONS",33
"6NMtzpDQBTOfJwMzgMX0zl","22","Travis Scott ~ SKELETONS",30
"51EC3I1nQXpec4gDk0mQyP","06","Travis Scott ~ 90210 (feat. Kacy Hill)",29
"0TSyYtpSnQrLqsnbSTALTP","06","Baby Keem ~ no sense",29
"51EC3I1nQXpec4gDk0mQyP","00","Travis Scott ~ 90210 (feat. Kacy Hill)",28
"51EC3I1nQXpec4gDk0mQyP","05","Travis Scott ~ 90210 (feat. Kacy Hill)",28
"6MtKObWYda2qnNIpJI21uD","06","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",27
"6NMtzpDQBTOfJwMzgMX0zl","23","Travis Scott ~ SKELETONS",27
"6NMtzpDQBTOfJwMzgMX0zl","01","Travis Scott ~ SKELETONS",25
"6NMtzpDQBTOfJwMzgMX0zl","04","Travis Scott ~ SKELETONS",25
"0rFpcfF0YfvFUYsl99Bw9d","05","Kid Cudi ~ Soundtrack 2 My Life",25
"58TaFP5j5i9swOf584yon2","00","Travis Scott ~ HOUSTONFORNICATION",24
"6NMtzpDQBTOfJwMzgMX0zl","00","Travis Scott ~ SKELETONS",24
"5tsI3xxDHDgzHhn30LTQNz","00","mike. ~ These Days",24
"51EC3I1nQXpec4gDk0mQyP","01","Travis Scott ~ 90210 (feat. Kacy Hill)",24
"6gBFPUFcJLzWGx4lenP6h2","04","Travis Scott ~ goosebumps",24
"7szuecWAPwGoV1e5vGu8tl","21","The Weeknd ~ In Your Eyes",24
"6gpcs5eMhJwax4mIfKDYQk","22","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",24
"4rHZZAmHpZrA3iH5zx8frV","01","Justin Timberlake ~ Mirrors",23
"2tPcTFiQF9MbVUyjZ3zDhA","05","SOB X RBE ~ Paramedic!",23
"4rHZZAmHpZrA3iH5zx8frV","06","Justin Timberlake ~ Mirrors",23
"6gpcs5eMhJwax4mIfKDYQk","06","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",23
"5tsI3xxDHDgzHhn30LTQNz","07","mike. ~ These Days",23
"20dP2DaMHIAmwWAbp7peSr","22","Young Thug ~ pick up the phone",23
"5tsI3xxDHDgzHhn30LTQNz","04","mike. ~ These Days",22
"1xYpVRspgaLxdJLOTQkTjg","05","Travis Scott ~ STOP TRYING TO BE GOD",22
"6sy3LkhNFjJWlaeSMNwQ62","07","OneRepublic ~ Counting Stars",22
"4rHZZAmHpZrA3iH5zx8frV","07","Justin Timberlake ~ Mirrors",22
"6NMtzpDQBTOfJwMzgMX0zl","07","Travis Scott ~ SKELETONS",22
"1cdC9TCqyLwAlsw3fVJaJS","07","Kid Cudi ~ Soundtrack 2 My Life",22
"3sTN90bIP2cJ1783ctHykO","21","Mura Masa ~ Love$ick (feat. A$AP Rocky)",22
"27a1mYSG5tYg7dmEjWBcmL","22","Travis Scott ~ CAN'T SAY",22
"3nAq2hCr1oWsIU54tS98pL","23","Kanye West ~ Waves",22
"7EiZI6JVHllARrX9PUvAdX","00","Future ~ Low Life (feat. The Weeknd)",21
"6sy3LkhNFjJWlaeSMNwQ62","01","OneRepublic ~ Counting Stars",21
"27a1mYSG5tYg7dmEjWBcmL","06","Travis Scott ~ CAN'T SAY",21
"0LcsvJQSFIQo3RjNhPcYqT","06","Jack Harlow ~ Luv Is Dro (feat. Static Major & Bryson Tiller)",21
"3nAq2hCr1oWsIU54tS98pL","06","Kanye West ~ Waves",21
"5iSEsR6NKjlC9SrIJkyL3k","07","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",21
"6NMtzpDQBTOfJwMzgMX0zl","21","Travis Scott ~ SKELETONS",21
"51EC3I1nQXpec4gDk0mQyP","22","Travis Scott ~ 90210 (feat. Kacy Hill)",21
"62vpWI1CHwFy7tMIcSStl8","22","J. Cole ~ No Role Modelz",21
"2p8IUWQDrpjuFltbdgLOag","23","The Weeknd ~ After Hours",21
"2LBqCSwhJGcFQeTHMVGwy3","00","The Weeknd ~ Die For You",20
"6IZvVAP7VPPnsGX6bvgkqg","00","Kendrick Lamar ~ PRIDE.",20
"7tr2za8SQg2CI8EDgrdtNl","01","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",20
"6MtKObWYda2qnNIpJI21uD","02","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",20
"7EiZI6JVHllARrX9PUvAdX","03","Future ~ Low Life (feat. The Weeknd)",20
"5iSEsR6NKjlC9SrIJkyL3k","03","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",20
"7tr2za8SQg2CI8EDgrdtNl","04","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",20
"7MmG8p0F9N3C4AXdK6o6Eb","05","Calvin Harris ~ Outside (feat. Ellie Goulding)",20
"1GqlvSEtMx5xbGptxOTTyk","05","Boston ~ Peace of Mind",20
"0TSyYtpSnQrLqsnbSTALTP","05","Baby Keem ~ no sense",20
"7vgTNTaEz3CsBZ1N4YQalM","06","Kanye West ~ Ghost Town",20
"2aPTvyE09vUCRwVvj0I8WK","06","A$AP Rocky ~ Sundress",20
"6ECp64rv50XVz93WvxXMGF","06","Maroon 5 ~ This Love",20
"5tsI3xxDHDgzHhn30LTQNz","21","mike. ~ These Days",20
"7a86XRg84qjasly9f6bPSD","00","fun. ~ We Are Young (feat. Janelle Monae)",19
"3sTN90bIP2cJ1783ctHykO","01","Mura Masa ~ Love$ick (feat. A$AP Rocky)",19
"6NMtzpDQBTOfJwMzgMX0zl","02","Travis Scott ~ SKELETONS",19
"4rHZZAmHpZrA3iH5zx8frV","04","Justin Timberlake ~ Mirrors",19
"5iSEsR6NKjlC9SrIJkyL3k","04","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",19
"1wHZx0LgzFHyeIZkUydNXq","05","Travis Scott ~ Antidote",19
"27a1mYSG5tYg7dmEjWBcmL","05","Travis Scott ~ CAN'T SAY",19
"1cKHdTo9u0ZymJdPGSh6nq","05","The Weeknd ~ I Was Never There",19
"68Dni7IE4VyPkTOH9mRWHr","05","J. Cole ~ No Role Modelz",19
"6MtKObWYda2qnNIpJI21uD","05","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",19
"5tsI3xxDHDgzHhn30LTQNz","05","mike. ~ These Days",19
"20MuVazoNMv6xjKPnRFOxG","05","Travis Scott ~ WAKE UP",19
"3sTN90bIP2cJ1783ctHykO","06","Mura Masa ~ Love$ick (feat. A$AP Rocky)",19
"6IZvVAP7VPPnsGX6bvgkqg","06","Kendrick Lamar ~ PRIDE.",19
"5tsI3xxDHDgzHhn30LTQNz","06","mike. ~ These Days",19
"2ZWlPOoWh0626oTaHrnl2a","07","Frank Ocean ~ Ivy",19
"4BdGO1CaObRD4La9l5Zanz","07","Foster The People ~ Sit Next to Me",19
"1P9LiOkE3LnKSYsoz1F8A7","17","Kendrick Lamar ~ PRIDE.",19
"3sTN90bIP2cJ1783ctHykO","20","Mura Masa ~ Love$ick (feat. A$AP Rocky)",19
"51EC3I1nQXpec4gDk0mQyP","21","Travis Scott ~ 90210 (feat. Kacy Hill)",19
"27a1mYSG5tYg7dmEjWBcmL","21","Travis Scott ~ CAN'T SAY",19
"6gBFPUFcJLzWGx4lenP6h2","21","Travis Scott ~ goosebumps",19
"20dP2DaMHIAmwWAbp7peSr","21","Young Thug ~ pick up the phone",19
"1wHZx0LgzFHyeIZkUydNXq","22","Travis Scott ~ Antidote",19
"7EiZI6JVHllARrX9PUvAdX","22","Future ~ Low Life (feat. The Weeknd)",19
"6ECp64rv50XVz93WvxXMGF","22","Maroon 5 ~ This Love",19
"7KXjTSCq5nL1LoYtL7XAwS","23","Kendrick Lamar ~ HUMBLE.",19
"4rHZZAmHpZrA3iH5zx8frV","00","Justin Timberlake ~ Mirrors",18
"1wHZx0LgzFHyeIZkUydNXq","01","Travis Scott ~ Antidote",18
"4KW1lqgSr8TKrvBII0Brf8","01","Kanye West ~ Father Stretch My Hands Pt. 1",18
"1P9LiOkE3LnKSYsoz1F8A7","03","Kendrick Lamar ~ PRIDE.",18
"2c8sgbZoEanC3QyFNZxUcA","04","Logic ~ Flexicution",18
"4RVbK6cV0VqWdpCDcx3hiT","04","KIDS SEE GHOSTS ~ Reborn",18
"3pXF1nA74528Edde4of9CC","05","Bryson Tiller ~ Don't",18
"1GtVGc1UYin3zpMUdNSSpM","05","Logic ~ Midnight",18
"5jyyPsIGM2yqkZN9R3TmvN","05","Khalid ~ The Ways (with Swae Lee)",18
"7lAK3oHbfEnvUQWosrMMpR","05","Travis Scott ~ YOSEMITE",18
"62vpWI1CHwFy7tMIcSStl8","06","J. Cole ~ No Role Modelz",18
"1xYpVRspgaLxdJLOTQkTjg","06","Travis Scott ~ STOP TRYING TO BE GOD",18
"4BGZF4oLbTL0pWm7C18pbv","06","The Weeknd ~ Scared To Live",18
"6Nle9hKrkL1wQpwNfEkxjh","07","Frank Ocean ~ Chanel",18
"4RVbK6cV0VqWdpCDcx3hiT","07","KIDS SEE GHOSTS ~ Reborn",18
"51EC3I1nQXpec4gDk0mQyP","19","Travis Scott ~ 90210 (feat. Kacy Hill)",18
"4GXl8l1MfZPf2GvpyRPJBf","20","Young Thug ~ pick up the phone",18
"6gpcs5eMhJwax4mIfKDYQk","21","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",18
"52ztI2AthLbmFHyGE3CzSl","22","Roy Woods ~ Monday to Monday",18
"51EC3I1nQXpec4gDk0mQyP","23","Travis Scott ~ 90210 (feat. Kacy Hill)",18
"4KW1lqgSr8TKrvBII0Brf8","23","Kanye West ~ Father Stretch My Hands Pt. 1",18
"7szuecWAPwGoV1e5vGu8tl","23","The Weeknd ~ In Your Eyes",18
"1wHZx0LgzFHyeIZkUydNXq","00","Travis Scott ~ Antidote",17
"6I6NX6tjGsxFAsIfGzY9lJ","00","J. Cole ~ Deja Vu",17
"7tr2za8SQg2CI8EDgrdtNl","00","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",17
"7szuecWAPwGoV1e5vGu8tl","01","The Weeknd ~ In Your Eyes",17
"2tznHmp70DxMyr2XhWLOW0","02","Cage The Elephant ~ Cigarette Daydreams",17
"51EC3I1nQXpec4gDk0mQyP","03","Travis Scott ~ 90210 (feat. Kacy Hill)",17
"27a1mYSG5tYg7dmEjWBcmL","04","Travis Scott ~ CAN'T SAY",17
"20TYNq9o5sdBAbkCWE9ih7","04","Alina Baraz ~ Electric (feat. Khalid)",17
"2p8IUWQDrpjuFltbdgLOag","05","The Weeknd ~ After Hours",17
"1NrJYpdAi7uosDRPmSYrsG","05","OneRepublic ~ Apologize",17
