"Month","Album","Plays"
"12","Travis Scott ~ ASTROWORLD",362
"12","Kid Cudi ~ Man On The Moon III: The Chosen",263
"04","The Weeknd ~ After Hours",240
"09","Travis Scott ~ ASTROWORLD",228
"12","Kid Cudi ~ Man On The Moon: The End Of Day",225
"05","Kendrick Lamar ~ To Pimp A Butterfly",217
"05","Travis Scott ~ ASTROWORLD",197
"05","The Weeknd ~ After Hours",191
"08","Travis Scott ~ ASTROWORLD",190
"11","Bryson Tiller ~ T R A P S O U L",177
"04","Travis Scott ~ ASTROWORLD",170
"05","Kendrick Lamar ~ DAMN.",168
"08","Kendrick Lamar ~ DAMN.",167
"01","Travis Scott ~ ASTROWORLD",165
"04","Baby Keem ~ DIE FOR MY BITCH",163
"05","Khalid ~ Black Panther The Album Music From And Inspired By",163
"12","The Weeknd ~ After Hours",163
"12","The Weeknd ~ My Dear Melancholy,",156
"05","Jack Harlow ~ Confetti",155
"04","Kendrick Lamar ~ DAMN.",153
"02","Travis Scott ~ ASTROWORLD",152
"04","Jack Harlow ~ Confetti",152
"11","Travis Scott ~ ASTROWORLD",152
"09","The Weeknd ~ After Hours",151
"12","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",143
"03","The Weeknd ~ After Hours",139
"07","Kendrick Lamar ~ DAMN.",137
"05","Kendrick Lamar ~ Mr. Morale & The Big Steppers",134
"12","Zacari ~ Black Panther The Album Music From And Inspired By",131
"03","Logic ~ Bobby Tarantino II",128
"03","Travis Scott ~ ASTROWORLD",127
"12","Travis Scott ~ Rodeo",120
"06","Kid Cudi ~ Man On The Moon: The End Of Day",119
"08","Kanye West ~ Donda",118
"01","Kid Cudi ~ Man On The Moon: The End Of Day",117
"08","Travis Scott ~ Birds In The Trap Sing McKnight",113
"05","Travis Scott ~ Rodeo",112
"09","Baby Keem ~ The Melodic Blue",112
"06","Kendrick Lamar ~ DAMN.",111
"07","Kanye West ~ Graduation",111
"08","Kendrick Lamar ~ good kid, m.A.A.d city",110
"04","Travis Scott ~ Rodeo",108
"09","Kanye West ~ Donda",107
"01","Kid Cudi ~ Man On The Moon III: The Chosen",105
"07","Khalid ~ Black Panther The Album Music From And Inspired By",105
"12","Travis Scott ~ Birds In The Trap Sing McKnight",105
"12","Bryson Tiller ~ T R A P S O U L",104
"02","Khalid ~ Black Panther The Album Music From And Inspired By",103
"05","Travis Scott ~ Birds In The Trap Sing McKnight",103
"08","Travis Scott ~ Rodeo",103
"07","Kendrick Lamar ~ good kid, m.A.A.d city",100
"09","Kendrick Lamar ~ DAMN.",100
"11","Zacari ~ Black Panther The Album Music From And Inspired By",100
"07","Logic ~ Everybody",99
"04","SOB X RBE ~ Black Panther The Album Music From And Inspired By",98
"08","Kendrick Lamar ~ Mr. Morale & The Big Steppers",98
"12","Kendrick Lamar ~ DAMN.",98
"01","Frank Ocean ~ Blonde",97
"11","Kid Cudi ~ Man On The Moon: The End Of Day",97
"08","Kanye West ~ Graduation",96
"08","Logic ~ Everybody",94
"01","The Weeknd ~ After Hours",93
"01","Kendrick Lamar ~ DAMN.",93
"03","Baby Keem ~ DIE FOR MY BITCH",93
"04","Kendrick Lamar ~ To Pimp A Butterfly",93
"07","Kanye West ~ The Life Of Pablo",92
"01","Kendrick Lamar ~ good kid, m.A.A.d city",91
"12","Kanye West ~ My Beautiful Dark Twisted Fantasy",91
"04","Travis Scott ~ Birds In The Trap Sing McKnight",89
"07","Travis Scott ~ ASTROWORLD",89
"04","Kid Cudi ~ Man On The Moon: The End Of Day",88
"10","The Weeknd ~ After Hours",88
"11","Bryson Tiller ~ True to Self",88
"10","SOB X RBE ~ Black Panther The Album Music From And Inspired By",84
"08","Khalid ~ Black Panther The Album Music From And Inspired By",82
"03","Kendrick Lamar ~ DAMN.",81
"03","Kendrick Lamar ~ good kid, m.A.A.d city",81
"12","Cage The Elephant ~ Melophobia",81
"02","Kid Cudi ~ Man On The Moon: The End Of Day",80
"03","Travis Scott ~ Rodeo",80
"12","Kanye West ~ The Life Of Pablo",80
"01","Travis Scott ~ Rodeo",79
"02","Travis Scott ~ Rodeo",78
"10","Kendrick Lamar ~ DAMN.",78
"02","The Weeknd ~ My Dear Melancholy,",77
"09","Travis Scott ~ Birds In The Trap Sing McKnight",77
"08","Drake ~ Take Care",76
"11","Drake ~ Take Care",76
"12","Baby Keem ~ The Melodic Blue",76
"04","The Weeknd ~ Starboy",75
"07","Kid Cudi ~ Man On The Moon: The End Of Day",75
"10","Travis Scott ~ ASTROWORLD",75
