"Month","Album","Plays"
"05","Drake ~ Views",543
"09","Jack Harlow ~ Confetti",507
"09","Mick Jenkins ~ The Water[s]",434
"05","Chance the Rapper ~ Coloring Book",428
"08","Frank Ocean ~ Blonde",399
"05","Isaiah Rashad ~ Cilvia Demo",396
"08","Jack Harlow ~ Loose",396
"08","Travis Scott ~ ASTROWORLD",392
"03","Lil Uzi Vert ~ Eternal Atake",387
"11","Travis Scott ~ Birds in the Trap Sing McKnight",372
"04","Kendrick Lamar ~ DAMN.",371
"01","PnB Rock ~ GTTM: Goin Thru the Motions",336
"10","Mick Jenkins ~ The Water[s]",335
"11","A$AP Rocky ~ AT.LONG.LAST.A$AP",319
"10","NxWorries, Knxwledge, Anderson .Paak ~ Yes Lawd!",308
"06","Vince Staples ~ Summertime '06",300
"08","Joey Bada$$ ~ B4.DA.$$",291
"05","Aries ~ WELCOME HOME",285
"10","Jack Harlow ~ Confetti",283
"10","Mick Jenkins ~ The Healing Component",277
"03","Young Thug ~ JEFFERY",272
"05","Playboi Carti ~ Die Lit",269
"06","Kanye West ~ The College Dropout",264
"08","Isaiah Rashad ~ The House Is Burning",263
"04","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",262
"06","Bryson Tiller ~ T R A P S O U L",262
"03","Tory Lanez ~ MEMORIES DON'T DIE",261
"07","Joey Bada$$ ~ B4.DA.$$",250
"09","Jack Harlow ~ Loose",247
"10","Jazz Cartier ~ Hotel Paranoia",244
"10","Earl Sweatshirt ~ I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",237
"02","Future ~ HNDRXX",234
"03","Anderson .Paak ~ Malibu",230
"11","Travis Scott ~ Rodeo",230
"11","Aries ~ BELIEVE IN ME, WHO BELIEVES IN YOU",227
"09","Isaiah Rashad ~ The Sun's Tirade",226
"12","Roddy Ricch ~ Please Excuse Me For Being Antisocial",225
"10","Danny Brown ~ Atrocity Exhibition",218
"03","Verzache ~ My Head Is a Moshpit",216
"10","Mick Jenkins ~ Pieces of a Man",215
"11","Jaden ~ SYRE",215
"04","Kendrick Lamar ~ To Pimp a Butterfly",214
"09","Bryson Tiller ~ T R A P S O U L",214
"01","Lil Uzi Vert ~ Luv Is Rage 2",212
"02","SOB X RBE ~ Black Panther The Album Music From And Inspired By",211
"11","A$AP Rocky ~ LONG.LIVE.A$AP",211
"04","J. Cole ~ KOD",209
"09","ScHoolboy Q ~ Oxymoron",206
"12","Travis Scott, Quavo, HUNCHO JACK ~ Huncho Jack, Jack Huncho",206
"01","Daniel Caesar ~ CASE STUDY 01",200
"02","Rich Brian ~ Amen",200
"02","A Boogie wit da Hoodie ~ Artist 2.0",200
"04","Tom The Mail Man ~ Sunset Visionary, Vol. 2",200
"04","Flatbush Zombies ~ Vacation In Hell",200
"08","Isaiah Rashad ~ Cilvia Demo",200
"02","Bryson Tiller ~ T R A P S O U L",198
"07","Travis Scott ~ Birds in the Trap Sing McKnight",198
