"Month","Artist","Plays"
"12","Nidza Bleja",468
"08","Ed Sheeran",461
"09","Ed Sheeran",379
"02","Quinn XCII",312
"07","Quinn XCII",302
"08","Billie Eilish",289
"04","Jeremy Zucker",279
"10","Billie Eilish",265
"04","Billie Eilish",261
"12","Nicky Jam",249
"08","Jeremy Zucker",218
"01","Nicky Jam",204
"04","The Weeknd",202
"02","Jeremy Zucker",188
"09","Jeremy Zucker",187
"11","Billie Eilish",186
"12","Ed Sheeran",185
"12","Khalid",171
"04","The Piano Guys",166
"07","ODESZA",166
"01","The Piano Guys",165
"11","The Weeknd",161
"02","Billie Eilish",160
"10","Jeremy Zucker",157
"09","Billie Eilish",156
"12","Billie Eilish",156
"02","The Piano Guys",151
"04","Khalid",149
"05","Khalid",149
"11","Ed Sheeran",143
"08","Quinn XCII",140
"11","Jeremy Zucker",140
"03","ODESZA",135
"07","Billie Eilish",135
"10","Ed Sheeran",134
"11","Pritam",134
"05","Jeremy Zucker",131
"09","The Weeknd",129
"01","Ed Sheeran",124
"03","Billie Eilish",124
"12","Mauve",124
"03","Ed Sheeran",122
"01","Russ",119
"05","Ed Sheeran",119
"11","Nicky Jam",119
"07","Jeremy Zucker",118
"05","Lofi Fruits Music",117
"06","Billie Eilish",117
"06","Jeremy Zucker",116
"02","The Weeknd",113
"07","The Weeknd",112
"03","The Weeknd",111
"12","SZA",110
"07","Khalid",109
"12","The Weeknd",109
"05","Billie Eilish",108
"11","Khalid",108
"02","Ed Sheeran",105
"04","Kid Cudi",105
"09","ODESZA",105
"08","ODESZA",103
"06","ODESZA",102
"12","Metro Boomin",101
"03","The Piano Guys",100
"12","Sleeping At Last",100
"08","Khalid",98
"09","Quinn XCII",98
"09","Khalid",97
"03","Mauve",95
"04","Quinn XCII",95
"08","The Weeknd",94
"10","ODESZA",94
"09","The Piano Guys",91
"01","Jeremy Zucker",90
"03","Jon Bellion",90
"04","Ed Sheeran",89
"12","Pink Sweat$",89
"05","Nicky Jam",88
"06","Quinn XCII",86
"08","Pritam",86
"10","Pritam",86
"12","Jon Bellion",86
"04","Mauve",85
"07","Ed Sheeran",85
"03","Quinn XCII",84
"10","Khalid",84
"10","Mac Miller",84
"01","Billie Eilish",83
"09","Lauv",83
"12","ODESZA",83
