"Month","Artist","Plays"
"10","Mick Jenkins",1123
"04","Kendrick Lamar",1121
"09","Jack Harlow",827
"09","Mick Jenkins",776
"06","Kanye West",724
"05","Drake",688
"05","Kendrick Lamar",676
"03","Kendrick Lamar",674
"08","Travis Scott",659
"07","Kendrick Lamar",654
"07","Joey Bada$$",642
"03","Lil Uzi Vert",635
"11","Travis Scott",633
"08","Joey Bada$$",610
"06","Kendrick Lamar",603
"02","Future",597
"08","Isaiah Rashad",596
"05","Isaiah Rashad",554
"11","A$AP Rocky",543
"09","Kendrick Lamar",529
"08","Kendrick Lamar",520
"12","Travis Scott",507
"12","Kid Cudi",506
"06","Bryson Tiller",501
"08","Jack Harlow",501
"04","J. Cole",483
"05","Chance the Rapper",475
"11","Aries",470
"10","Jack Harlow",451
"01","Kendrick Lamar",445
"10","Kendrick Lamar",440
"12","Kendrick Lamar",439
"08","Frank Ocean",436
"09","Isaiah Rashad",421
"06","Vince Staples",420
"07","Travis Scott",400
"02","Kendrick Lamar",397
"08","Mick Jenkins",387
"08","Kanye West",382
"05","Aries",378
"07","Lil Uzi Vert",375
"11","Drake",374
"07","Isaiah Rashad",372
"01","Lil Uzi Vert",370
"09","Kanye West",370
"01","Mick Jenkins",368
"10","Bryson Tiller",355
"11","Mick Jenkins",355
"01","PnB Rock",346
"04","Joey Bada$$",345
"04","Drake",343
"08","Lil Uzi Vert",337
"11","Isaiah Rashad",335
"02","Aries",332
"05","Travis Scott",332
"10","whiterosemoxie",325
"12","Jack Harlow",325
"03","Young Thug",324
"05","A$AP Rocky",324
"05","Playboi Carti",316
"11","Jack Harlow",315
"02","Bryson Tiller",311
"11","Smino",308
"01","Migos",295
"03","Drake",295
"08","Amine",294
"12","Lil Uzi Vert",293
"06","Drake",292
"01","Travis Scott",291
"10","Earl Sweatshirt",289
"03","Anderson .Paak",288
"07","Drake",288
"04","Rich The Kid",286
"12","J. Cole",286
"07","Kanye West",282
"03","Tory Lanez",281
"01","Future",280
"04","Anderson .Paak",280
"09","ScHoolboy Q",280
"10","Isaiah Rashad",280
"09","Travis Scott",278
"12","Mick Jenkins",278
"09","Bryson Tiller",277
"10","Joey Bada$$",276
"10","Jazz Cartier",274
"12","Bryson Tiller",273
"05","Bryson Tiller",272
"10","Future",268
"12","Roddy Ricch",267
"10","Travis Scott",266
"10","Danny Brown",265
"10","NxWorries, Knxwledge, Anderson .Paak",262
"11","Kendrick Lamar",262
"07","Tyler, The Creator",261
"02","Isaiah Rashad",260
"05","Kota the Friend",260
"03","Bryson Tiller",257
"09","Drake",253
"06","Travis Scott",251
"03","Kanye West",250
"03","Isaiah Rashad",248
"09","Joey Bada$$",248
"01","Dave East",247
"08","BROCKHAMPTON",247
"05","Kid Cudi",245
"11","Jaden",245
"01","Joey Bada$$",244
"06","Joey Bada$$",244
"05","Joey Bada$$",243
"11","Kanye West",243
"07","Logic",241
"03","Verzache",239
"06","Isaiah Rashad",239
"02","Kanye West",237
"11","whiterosemoxie",236
"10","Ty Dolla $ign",235
"01","Bryson Tiller",234
"01","Daniel Caesar",233
"11","Bryson Tiller",233
"11","Earl Sweatshirt",233
"03","Jack Harlow",231
"08","Tyler, The Creator",231
"04","Kanye West",230
"03","Rich The Kid",229
"02","A Boogie wit da Hoodie",226
"06","whiterosemoxie",225
"07","Vince Staples",225
"11","Vince Staples",225
"05","Lil Uzi Vert",222
"01","Isaiah Rashad",221
"06","Mick Jenkins",221
"12","Joey Bada$$",220
"07","Bryson Tiller",218
"01","J. Cole",217
"04","Flatbush Zombies",216
"02","Mick Jenkins",214
"11","Joey Bada$$",214
"10","Kid Cudi",211
"12","whiterosemoxie",211
"11","Anderson .Paak",209
"06","Tyler, The Creator",208
"03","Logic",206
"12","Travis Scott, Quavo, HUNCHO JACK",206
"04","BROCKHAMPTON",204
"03","Joey Bada$$",203
"03","JID",202
"04","Lil Uzi Vert",202
"05","Jack Harlow",202
"02","Rich Brian",201
"04","Tom The Mail Man",201
"05","Juice WRLD",200
"08","J. Cole",200
"07","Juice WRLD",199
"09","Lil Uzi Vert",198
"10","Kanye West",198
"10","Smino",197
"03","Lil Yachty",196
"10","Lil Uzi Vert",196
"05","Mick Jenkins",193
"06","Playboi Carti",193
"01","Kanye West",192
"02","Lil Uzi Vert",192
"03","Future",192
"12","Amine",191
"09","Frank Ocean",189
"11","The Weeknd",188
"11","Trippie Redd",188
"01","Mac Miller",187
"04","PARTYNEXTDOOR",187
"06","Ty Dolla $ign",186
"03","ScHoolboy Q",185
"04","Travis Scott",185
"08","A$AP Mob",185
"12","BROCKHAMPTON",184
"02","J. Cole",183
"01","Drake",182
"09","Joyner Lucas",181
"09","J. Cole",180
"02","Travis Scott",179
"12","Aries",179
"01","Lil Skies",178
"07","ScHoolboy Q",176
"07","Anderson .Paak",175
"01","A$AP Rocky",174
"05","ScHoolboy Q",174
"11","Lil Uzi Vert",174
"01","Jack Harlow",173
"07","Young Thug",173
"02","Patrick Cc:",171
"06","Anderson .Paak",171
"05","Vince Staples",169
"05","Cage the Elephant",167
"05","The Black Keys",167
"11","ScHoolboy Q",167
"03","XXXTENTACION",166
"09","whiterosemoxie",166
"11","PnB Rock",166
"03","Khalid",165
"04","Aries",165
"07","Mick Jenkins",165
"03","Juice WRLD",163
"05","Future",163
"05","Tyler, The Creator",163
"06","A$AP Rocky",163
"12","Earl Sweatshirt",163
"03","Aries",162
"10","A$AP Rocky",162
"07","Jack Harlow",161
"08","Mac Miller",160
"08","Trippie Redd",160
"04","ScHoolboy Q",158
"01","Roddy Ricch",157
"02","Migos",157
"07","Future",157
"07","Playboi Carti",156
"01","SiR",155
"03","Mike WiLL Made-It",155
"09","BROCKHAMPTON",154
"02","Verzache",153
"06","Future",153
"10","Young Thug",153
"08","Bryson Tiller",152
"02","Big Sean",151
"07","Buddy",151
"07","J. Cole",151
"08","Daniel Caesar",151
"12","SZA",151
"10","J. Cole",150
