"ID","Month","Song","Plays"
"6NMtzpDQBTOfJwMzgMX0zl","12","Travis Scott ~ SKELETONS",63
"1cdC9TCqyLwAlsw3fVJaJS","12","Kid Cudi ~ Soundtrack 2 My Life",60
"0TSyYtpSnQrLqsnbSTALTP","04","Baby Keem ~ no sense",50
"5iSEsR6NKjlC9SrIJkyL3k","06","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",47
"51EC3I1nQXpec4gDk0mQyP","12","Travis Scott ~ 90210 (feat. Kacy Hill)",46
"560zE7eP6taPhWFErzRFD3","04","Jon Bellion ~ Guillotine",45
"2ZWlPOoWh0626oTaHrnl2a","01","Frank Ocean ~ Ivy",44
"7szuecWAPwGoV1e5vGu8tl","04","The Weeknd ~ In Your Eyes",44
"1cKHdTo9u0ZymJdPGSh6nq","12","The Weeknd ~ I Was Never There",44
"1xYpVRspgaLxdJLOTQkTjg","12","Travis Scott ~ STOP TRYING TO BE GOD",43
"0LcsvJQSFIQo3RjNhPcYqT","06","Jack Harlow ~ Luv Is Dro (feat. Static Major & Bryson Tiller)",42
"7vgTNTaEz3CsBZ1N4YQalM","12","Kanye West ~ Ghost Town",42
"5tsI3xxDHDgzHhn30LTQNz","12","mike. ~ These Days",42
"27a1mYSG5tYg7dmEjWBcmL","12","Travis Scott ~ CAN'T SAY",41
"1cdC9TCqyLwAlsw3fVJaJS","01","Kid Cudi ~ Soundtrack 2 My Life",39
"6ECp64rv50XVz93WvxXMGF","02","Maroon 5 ~ This Love",39
"6NMtzpDQBTOfJwMzgMX0zl","09","Travis Scott ~ SKELETONS",39
"58TaFP5j5i9swOf584yon2","12","Travis Scott ~ HOUSTONFORNICATION",39
"5tsI3xxDHDgzHhn30LTQNz","01","mike. ~ These Days",37
"6gpcs5eMhJwax4mIfKDYQk","06","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",37
"6NMtzpDQBTOfJwMzgMX0zl","02","Travis Scott ~ SKELETONS",36
"51EC3I1nQXpec4gDk0mQyP","08","Travis Scott ~ 90210 (feat. Kacy Hill)",36
"6QdnKD1zwEgyOWtkrdzlOF","12","The Weeknd ~ Hurt You",36
"68Dni7IE4VyPkTOH9mRWHr","05","J. Cole ~ No Role Modelz",35
"2ihL1KGMA0geIqGT5pkZzo","05","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",35
"7tr2za8SQg2CI8EDgrdtNl","07","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",35
"6NMtzpDQBTOfJwMzgMX0zl","11","Travis Scott ~ SKELETONS",35
"1wHZx0LgzFHyeIZkUydNXq","12","Travis Scott ~ Antidote",35
"3pXF1nA74528Edde4of9CC","12","Bryson Tiller ~ Don't",35
"43PuMrRfbyyuz4QpZ3oAwN","12","Bryson Tiller ~ Exchange",35
"1QEEqeFIZktqIpPI4jSVSF","01","Boston ~ More Than a Feeling",34
"7KXjTSCq5nL1LoYtL7XAwS","05","Kendrick Lamar ~ HUMBLE.",34
"7lAK3oHbfEnvUQWosrMMpR","12","Travis Scott ~ YOSEMITE",34
"6NMtzpDQBTOfJwMzgMX0zl","01","Travis Scott ~ SKELETONS",33
"6vWEAOUSxohKxhp0K1BsxL","08","YNW Melly ~ Mixed Personalities (feat. Kanye West)",33
"5iSEsR6NKjlC9SrIJkyL3k","12","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",33
"75JFxkI2RXiU7L9VXzMkle","12","Coldplay ~ The Scientist",33
"51EC3I1nQXpec4gDk0mQyP","01","Travis Scott ~ 90210 (feat. Kacy Hill)",32
"46MX86XQqYCZRvwPpeq4Gi","01","Aliotta Haynes Jeremiah ~ Lake Shore Drive",32
"2mxByJWOajjiVsLWjNXvDJ","01","The Beatles ~ Oh! Darling - Remastered 2009",32
"3CA9pLiwRIGtUBiMjbZmRw","04","Drake ~ Nice For What",32
"5FkoSXiJPKTNyYgALRJFhD","04","Baby Keem ~ ORANGE SODA",32
"51EC3I1nQXpec4gDk0mQyP","03","Travis Scott ~ 90210 (feat. Kacy Hill)",31
"6IZvVAP7VPPnsGX6bvgkqg","04","Kendrick Lamar ~ PRIDE.",31
