"ID","Month","Song","Plays"
"0LbZdD11qz49uey5wNoxBF","12","Lil Ca$h Machine ~ Tropical Vibes",66
"3YPhgbRDotBitv4FQBnoum","12","Mauve ~ Just Stay",41
"1UMQ9VXdKGiAHIGD5fWX2B","07","Quinn XCII ~ Iron & Steel",34
"14JzyD6FlBD5z0wV5P07YI","10","Billie Eilish ~ when the party's over",33
"18uwL0vNUanqZH0ro2QcOP","01","Jeremy Zucker ~ comethru",32
"5iwz1NiezX7WWjnCgY5TH4","05","Pedro Capo ~ Calma - Remix",32
"3tJjZMHLqhD8DaGgdBICnc","12","Sleeping At Last ~ Saturn",31
"0LqRum57A3S9IaE64UDRzO","04","Naughty Boy ~ Undo (with Calum Scott & Shenseea)",30
"6vo7Y1iWyZvpjvFbf6BiZ5","08","Pritam ~ Kalank (Title Track)",30
"6vo7Y1iWyZvpjvFbf6BiZ5","10","Pritam ~ Kalank (Title Track)",30
"6vo7Y1iWyZvpjvFbf6BiZ5","11","Pritam ~ Kalank (Title Track)",30
"12VqHHz4wvVcnEdSivjLeQ","12","Khalid ~ Alive",30
"0lG6QM1jjbbX5UUn3DPmrZ","03","Alan Walker ~ Lost Control",28
"3v5hNZz5R2eJi3BIKJjPPM","12","Neutral Commitment ~ A Message from Teen Romance: A Message from Earth to Heaven / Teen Romance",28
"50AtbZbvd3OXD2NDqy4G29","12","Mauve ~ By My Side",27
"3YPhgbRDotBitv4FQBnoum","02","Mauve ~ Just Stay",26
"35r28RDot7nPE7y9K9H7l0","04","Post Malone ~ Feeling Whitney",26
"6vo7Y1iWyZvpjvFbf6BiZ5","04","Pritam ~ Kalank (Title Track)",26
"51LIqkda3pTeECZUhMnool","07","Quinn XCII ~ Straightjacket",26
"7vGGAJBkHKxKtOnGjQduDV","12","Khalid ~ Saturday Nights",26
"3m9St7c9tpJwNYN2adNESk","12","Mac Miller ~ Surf",26
"43vJhPJKdY2aLz7bODyrtg","03","LEON ~ You And I - SAINT WKND Remix",25
"5iwz1NiezX7WWjnCgY5TH4","04","Pedro Capo ~ Calma - Remix",25
"4RtexJZ1OyRkDNlqVUt8Zt","07","Quinn XCII ~ Panama",25
"4nHlOHDt8o328IuZWF0oQQ","08","Broken Back ~ Mild Blood",25
"18uwL0vNUanqZH0ro2QcOP","09","Jeremy Zucker ~ comethru",25
"43zdsphuZLzwA9k4DJhU0I","09","Billie Eilish ~ when the party's over",25
"6SL7KzIA96f0HiKjuv7tED","02","Quinn XCII ~ U & Us",24
"05GvwwTLLID738BbKN1ze0","04","Tinlicker ~ Because You Move Me",24
"2bmSoVE0rXEI6fGuy14QyA","04","Chris Burton ~ Love Letters",24
"6vo7Y1iWyZvpjvFbf6BiZ5","09","Pritam ~ Kalank (Title Track)",24
"7qCAVkHWZkF44OzOUKf8Cr","12","Nicky Jam ~ El Perdon (with Enrique Iglesias)",24
"18uwL0vNUanqZH0ro2QcOP","02","Jeremy Zucker ~ comethru",23
"4PMLEEYw4mblYsPlDSHKyu","04","bulow ~ Get Stupid",23
