"ID","Month","Song","Plays"
"3117368871850072767","11","Aries ~ FOOL'S GOLD",93
"-4301831735144627506","04","Domo Genesis ~ Dapper (feat. Anderson .Paak)",66
"-2934231020509623613","09","Jack Harlow ~ ROTTEN (feat. EST Gee)",63
"-4518383123763649696","09","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",61
"-8050743871628674212","11","Travis Scott ~ wonderful",61
"4560100326171154104","05","Chance the Rapper ~ Angels (feat. Saba)",60
"-7255467956761312242","09","Mick Jenkins ~ The Waters",60
"7660254505791841725","01","PnB Rock ~ Selfish",56
"-3873008565210251894","05","Aries ~ CAROUSEL",56
"8523623647980452989","07","6LACK ~ Prblms",56
"-4087391519731806068","09","Mick Jenkins ~ Jazz",55
"-9132939993266889153","03","ScHoolboy Q ~ Numb Numb Juice",54
"-1202929444212598654","10","Bryson Tiller ~ Sorrows",54
"-4808008013997186134","12","Aries ~ CONVERSATIONS",54
"-9060615071802939509","08","Jack Harlow ~ 9TH GRADE",53
"7083355610053763616","03","Slim Jxmmi ~ Brxnks Truck (feat. Rae Sremmurd)",52
"-9132617948078887203","09","Jack Harlow ~ GHOST",52
"5208279393582725718","11","Rick Ross, Kanye West ~ Devil In a New Dress (feat. Rick Ross)",52
"-7113865807776761847","09","Mick Jenkins ~ Healer (feat. Jean Deaux)",50
"1534529616501777666","09","Jack Harlow ~ SUNDAY NIGHT",50
"2254605089718199087","10","Joey Bada$$ ~ Christ Conscious",50
"1604473172995758396","03","Young Thug ~ Wyclef Jean",47
"5927296127319531333","04","Kendrick Lamar ~ PRIDE.",45
"7802613987942686882","10","Mick Jenkins ~ P's & Q's",45
"-7690100959764339411","10","NxWorries, Knxwledge, Anderson .Paak ~ What More Can I Say",45
"6507069039674739405","02","Aries ~ DITTO",44
"-7619085766075425127","08","Jack Harlow ~ KNACK FOR IT",44
"-8122392002102741926","08","Travis Scott ~ SICKO MODE",44
"5642466977215500122","05","Chance the Rapper ~ All We Got (feat. Kanye West & Chicago Children's Choir)",43
"-9132208235143981580","08","Frank Ocean ~ Pink + White",42
"3261127345118166897","11","Travis Scott ~ sweet sweet",42
"-2359164836341816983","10","Mick Jenkins ~ Understood",41
"-125177305988212701","01","Bryson Tiller ~ Don't",40
"7804708236680284949","01","Future ~ Life Is Good (feat. Drake)",40
"-3296127792633454871","03","tsubi club ~ Burbank House",40
"-5673602571848766097","05","Aries ~ BAD NEWS",40
"-2503286470638935698","05","Drake ~ Feel No Ways",40
"8378804384854060802","05","Drake ~ U With Me?",40
"-8268242650715166561","08","Joey Bada$$ ~ My Yout (feat. Maverick Sabre)",40
"9098219274373916532","10","whiterosemoxie ~ Coco Puffs",40
"7011443216029912170","03","Verzache ~ Messed Up",39
"-2788882854263729739","03","Young Thug ~ Webbie (feat. Duke)",39
"-1418794139648741439","06","Travis Scott ~ 90210 (feat. Kacy Hill)",39
"8521635521382637707","07","Travis Scott ~ 90210 (feat. Kacy Hill)",39
"2976396861171126306","08","Travis Scott ~ STARGAZING",39
