"MonthYear","Album","Plays"
"2020-12","Kid Cudi ~ Man On The Moon III: The Chosen",260
"2020-04","The Weeknd ~ After Hours",212
"2020-12","Kid Cudi ~ Man On The Moon: The End Of Day",205
"2022-05","Kendrick Lamar ~ To Pimp A Butterfly",199
"2020-11","Bryson Tiller ~ T R A P S O U L",173
"2019-12","Travis Scott ~ ASTROWORLD",164
"2020-05","The Weeknd ~ After Hours",161
"2021-04","Baby Keem ~ DIE FOR MY BITCH",147
"2020-05","Travis Scott ~ ASTROWORLD",145
"2020-12","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",143
"2022-05","Kendrick Lamar ~ Mr. Morale & The Big Steppers",134
"2019-12","The Weeknd ~ My Dear Melancholy,",130
"2021-04","Jack Harlow ~ Confetti",130
"2021-05","Jack Harlow ~ Confetti",126
"2020-03","The Weeknd ~ After Hours",119
"2019-09","Travis Scott ~ ASTROWORLD",118
"2020-12","Travis Scott ~ ASTROWORLD",112
"2021-08","Kanye West ~ Donda",108
"2018-05","Kendrick Lamar ~ Black Panther The Album Music From And Inspired By",105
"2021-01","Kid Cudi ~ Man On The Moon III: The Chosen",103
"2017-05","Kendrick Lamar ~ DAMN.",100
"2018-03","Logic ~ Bobby Tarantino II",100
"2021-09","Baby Keem ~ The Melodic Blue",99
"2021-01","Kid Cudi ~ Man On The Moon: The End Of Day",98
"2022-08","Kendrick Lamar ~ Mr. Morale & The Big Steppers",98
"2017-07","Kendrick Lamar ~ DAMN.",96
"2017-08","Kendrick Lamar ~ DAMN.",91
"2019-11","Travis Scott ~ ASTROWORLD",89
"2021-09","Kanye West ~ Donda",88
"2020-11","Bryson Tiller ~ True to Self",87
"2021-09","The Weeknd ~ After Hours",85
"2018-12","Travis Scott ~ ASTROWORLD",84
"2017-07","Logic ~ Everybody",83
"2019-12","Zacari ~ Black Panther The Album Music From And Inspired By",81
"2019-08","Travis Scott ~ ASTROWORLD",80
"2020-12","The Weeknd ~ After Hours",80
"2021-12","Cage The Elephant ~ Melophobia",79
"2022-04","Kendrick Lamar ~ DAMN.",78
"2017-06","Kendrick Lamar ~ DAMN.",77
"2022-04","Kendrick Lamar ~ To Pimp A Butterfly",77
"2020-02","Travis Scott ~ ASTROWORLD",76
"2021-12","The Weeknd ~ After Hours",76
"2021-01","Travis Scott ~ ASTROWORLD",73
"2022-01","Frank Ocean ~ Blonde",73
"2017-08","Logic ~ Everybody",70
"2018-07","Khalid ~ Black Panther The Album Music From And Inspired By",67
"2020-11","Kid Cudi ~ Man On The Moon: The End Of Day",67
"2020-12","Kanye West ~ My Beautiful Dark Twisted Fantasy",67
"2019-03","Logic ~ Supermarket (Soundtrack)",65
"2021-12","Baby Keem ~ The Melodic Blue",65
"2020-05","Travis Scott ~ Rodeo",64
