"MonthYear","Album","Plays"
"2018-01","Nicky Jam ~ Fenix",172
"2018-08","Ed Sheeran ~ Divide",154
"2017-12","Nicky Jam ~ Fenix",125
"2018-09","Ed Sheeran ~ Divide",125
"2019-04","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",108
"2018-08","Ed Sheeran ~ x",102
"2021-08","Billie Eilish ~ Happier Than Ever",102
"2022-12","SZA ~ SOS",101
"2019-12","Nidza Bleja ~ Oseti bleju",88
"2018-12","Nicky Jam ~ Fenix",74
"2019-07","Quinn XCII ~ The Story of Us",74
"2020-04","The Weeknd ~ Trilogy",74
"2020-03","Jon Bellion ~ The Human Condition",73
"2019-04","Khalid ~ Free Spirit",72
"2018-09","Ed Sheeran ~ x",71
"2022-04","Labrinth ~ Euphoria (Original Score from the HBO Series)",71
"2020-02","Quinn XCII ~ The Story of Us",70
"2020-02","Quinn XCII ~ From Michigan With Love",69
"2022-12","Metro Boomin ~ HEROES & VILLAINS",67
"2018-08","Ed Sheeran ~ +",66
"2019-12","Lil Ca$h Machine ~ Tropical Vibes",66
"2019-05","Khalid ~ Free Spirit",64
"2019-12","Neelson Macias ~ Neel Macias",59
"2019-05","Peaceful Pianos ~ Music for Concentration",58
"2022-06","ODESZA ~ A Moment Apart",57
"2020-07","Quinn XCII ~ A Letter To My Younger Self",53
"2019-12","Jon Bellion ~ The Human Condition",52
"2022-09","ODESZA ~ A Moment Apart",52
"2019-12","Rafael El Ninos ~ Caspian Alvarez",51
"2019-12","DuyVu ~ Morning Mind",50
"2021-12","Mac Miller ~ Circles",50
"2022-03","ODESZA ~ A Moment Apart",50
"2018-09","Ed Sheeran ~ +",49
"2018-11","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",49
"2018-03","Nicky Jam ~ Fenix",47
"2022-03","Labrinth ~ Euphoria (Original Score from the HBO Series)",47
"2022-07","ODESZA ~ A Moment Apart",47
"2021-03","The Weeknd ~ Trilogy",46
"2020-04","Lolo Zouai ~ High Highs to Low Lows",44
"2018-12","Mitch James ~ Mitch James - Deluxe Edition",43
"2022-03","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",43
"2018-11","Tyler and Mark ~ Beautiful Dreams",42
"2019-08","Oh Wonder ~ Oh Wonder",42
"2016-11","The Weeknd ~ Starboy",41
"2017-11","Nicky Jam ~ Fenix",40
"2019-12","RK ~ Booska Pefra, Vol. 6",40
"2019-12","Oh Wonder ~ Oh Wonder",40
