"MonthYear","Album","Plays"
"2016-05","Drake ~ Views",480
"2019-09","Jack Harlow ~ Confetti",471
"2020-03","Lil Uzi Vert ~ Eternal Atake",377
"2018-08","Travis Scott ~ ASTROWORLD",349
"2016-05","Chance the Rapper ~ Coloring Book",326
"2016-09","Mick Jenkins ~ The Water[s]",295
"2016-05","Isaiah Rashad ~ Cilvia Demo",294
"2017-01","PnB Rock ~ GTTM: Goin Thru the Motions",290
"2016-11","Travis Scott ~ Birds in the Trap Sing McKnight",273
"2016-11","A$AP Rocky ~ AT.LONG.LAST.A$AP",269
"2019-10","Jack Harlow ~ Confetti",259
"2018-08","Jack Harlow ~ Loose",254
"2018-05","Playboi Carti ~ Die Lit",251
"2017-04","Kendrick Lamar ~ DAMN.",249
"2019-05","Aries ~ WELCOME HOME",249
"2021-08","Isaiah Rashad ~ The House Is Burning",240
"2016-08","Joey Bada$$ ~ B4.DA.$$",239
"2018-03","Tory Lanez ~ MEMORIES DON'T DIE",226
"2021-11","Aries ~ BELIEVE IN ME, WHO BELIEVES IN YOU",224
"2019-12","Roddy Ricch ~ Please Excuse Me For Being Antisocial",222
"2019-10","NxWorries, Knxwledge, Anderson .Paak ~ Yes Lawd!",216
"2017-11","Travis Scott ~ Rodeo",215
"2017-04","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",214
"2016-06","Vince Staples ~ Summertime '06",204
"2018-02","SOB X RBE ~ Black Panther The Album Music From And Inspired By",204
"2021-03","Verzache ~ My Head Is a Moshpit",204
"2017-11","Jaden ~ SYRE",202
"2016-11","A$AP Rocky ~ LONG.LIVE.A$AP",201
"2022-04","Tom The Mail Man ~ Sunset Visionary, Vol. 2",200
"2018-04","J. Cole ~ KOD",198
"2018-02","Rich Brian ~ Amen",196
"2016-10","Jazz Cartier ~ Hotel Paranoia",195
"2020-02","A Boogie wit da Hoodie ~ Artist 2.0",193
"2016-06","Bryson Tiller ~ T R A P S O U L",192
"2022-05","Kendrick Lamar ~ Mr. Morale & The Big Steppers",192
"2018-01","Lil Uzi Vert ~ Luv Is Rage 2",188
"2016-06","Kanye West ~ The College Dropout",186
"2016-08","Frank Ocean ~ Blonde",186
"2017-10","Ty Dolla $ign ~ Beach House 3",180
"2022-11","Smino ~ Luv 4 Rent",179
"2018-04","Flatbush Zombies ~ Vacation In Hell",178
"2018-10","Mick Jenkins ~ Pieces of a Man",178
"2020-01","Daniel Caesar ~ CASE STUDY 01",178
"2018-09","Jack Harlow ~ Loose",177
"2016-07","Joey Bada$$ ~ B4.DA.$$",175
"2018-11","Smino ~ NOIR",175
"2021-02","Patrick Cc: ~ Launch Sequence",175
"2016-09","Joyner Lucas ~ Along Came Joyner",173
"2016-12","J. Cole ~ 4 Your Eyez Only",169
"2016-10","Mick Jenkins ~ The Healing Component",168
"2016-12","Kid Cudi ~ Passion, Pain & Demon Slayin'",168
"2017-03","JID ~ The Never Story",163
"2017-02","Future ~ HNDRXX",162
"2017-03","Young Thug ~ JEFFERY",161
"2016-12","Kid Cudi ~ Man On the Moon: The End of Day",159
"2017-09","ScHoolboy Q ~ Oxymoron",159
"2018-05","A$AP Rocky ~ TESTING",159
"2016-10","Danny Brown ~ Atrocity Exhibition",157
"2016-11","The Weeknd ~ Starboy",157
"2020-03","Lil Baby ~ My Turn",155
"2017-03","Khalid ~ American Teen",154
"2020-10","Bryson Tiller ~ A N N I V E R S A R Y",154
"2016-03","Anderson .Paak ~ Malibu",153
"2020-05","Cage the Elephant ~ Melophobia",150
"2020-04","PARTYNEXTDOOR ~ PARTYMOBILE",148
"2018-11","Vince Staples ~ FM!",147
"2017-07","Travis Scott ~ Birds in the Trap Sing McKnight",144
"2017-12","Travis Scott, Quavo, HUNCHO JACK ~ Huncho Jack, Jack Huncho",144
"2020-05","The Black Keys ~ Brothers",144
"2017-12","Quality Control, Migos ~ Quality Control: Control the Streets, Vol. 1",143
"2018-05","Juice WRLD ~ Goodbye & Good Riddance",142
"2019-04","Rich The Kid ~ The World Is Yours 2",142
"2020-03","Lil Uzi Vert ~ Eternal Atake - LUV vs. The World 2",142
"2016-11","Isaiah Rashad ~ The Sun's Tirade",141
"2017-11","PnB Rock ~ Catch These Vibes",141
"2017-05","Bryson Tiller ~ True to Self",139
"2016-02","Bryson Tiller ~ T R A P S O U L",138
"2018-03","XXXTENTACION ~ ?",138
"2019-03","Juice WRLD ~ Death Race for Love",138
"2022-12","SZA ~ SOS",138
"2016-07","Isaiah Rashad ~ Cilvia Demo",137
"2017-06","Bryson Tiller ~ True to Self",136
"2019-05","Tyler, The Creator ~ IGOR",136
"2017-02","Lupe Fiasco ~ DROGAS Light",135
"2017-12","BROCKHAMPTON ~ SATURATION III",135
"2018-05","Tee Grizzley ~ Activated",135
"2022-10","whiterosemoxie ~ HABITS",135
"2016-06","Ty Dolla $ign ~ Free TC",134
"2019-11","Jack Harlow ~ Confetti",134
"2018-01","Lil Skies ~ Life of a Dark Rose",133
"2018-11","JID ~ DiCaprio 2",133
"2016-09","Isaiah Rashad ~ The Sun's Tirade",132
"2016-10","Mick Jenkins ~ The Water[s]",132
"2017-02","Big Sean ~ I Decided.",131
"2019-11","Drake ~ If You're Reading This It's Too Late",130
"2016-06","Kanye West ~ Graduation",129
"2019-05","Kota the Friend ~ Foto",129
"2016-11","A Tribe Called Quest ~ We Got It from Here... Thank You 4 Your Service",128
"2017-01","Migos ~ Culture",126
"2020-07","Juice WRLD ~ Legends Never Die",126
"2016-04","Drake ~ Views",125
"2021-08","Tyler, The Creator ~ CALL ME IF YOU GET LOST",125
