"MonthYear","Artist","Plays"
"2020-12","Kid Cudi",628
"2022-05","Kendrick Lamar",399
"2020-11","Bryson Tiller",339
"2021-04","Baby Keem",331
"2020-12","Kanye West",293
"2021-01","Kid Cudi",276
"2020-04","The Weeknd",257
"2019-07","The Beatles",252
"2020-05","Travis Scott",249
"2019-12","Travis Scott",234
"2020-07","Kanye West",207
"2020-12","Travis Scott",204
"2017-07","Kendrick Lamar",192
"2022-04","Kendrick Lamar",191
"2020-08","Kanye West",187
"2021-05","Jack Harlow",187
"2021-09","Baby Keem",187
"2022-02","Kanye West",184
"2020-03","The Weeknd",177
"2020-05","The Weeknd",177
"2020-11","Kid Cudi",175
"2018-03","Logic",174
"2020-11","Kanye West",171
"2021-08","Kanye West",170
"2017-08","Kendrick Lamar",165
"2022-08","Kendrick Lamar",163
"2021-01","Kanye West",161
"2021-02","The Weeknd",161
"2019-12","Drake",158
"2021-06","Jack Harlow",157
"2019-01","The Beatles",152
"2022-04","Kanye West",150
"2019-12","The Weeknd",149
"2021-01","Travis Scott",149
"2021-04","Jack Harlow",147
"2021-03","Baby Keem",143
"2021-04","Kid Cudi",141
"2019-03","Logic",135
"2020-08","Travis Scott",134
"2020-12","The Weeknd",134
"2019-09","Travis Scott",132
"2019-11","Travis Scott",129
"2022-06","Kendrick Lamar",127
"2017-08","Logic",126
"2019-08","Travis Scott",126
"2021-09","The Weeknd",126
"2021-12","Cage The Elephant",126
"2017-06","Kendrick Lamar",125
"2022-03","Kanye West",123
"2019-09","Kanye West",122
"2021-04","Travis Scott",122
"2017-07","Logic",121
"2020-06","Aretha Franklin",121
"2021-12","The Weeknd",121
"2019-10","Kanye West",120
"2022-05","Kanye West",117
"2021-07","Kanye West",115
"2021-09","Kanye West",112
"2021-12","Baby Keem",111
"2018-12","Travis Scott",110
"2020-07","Travis Scott",106
"2021-06","Kanye West",106
"2021-12","Jack Harlow",106
"2017-05","Kendrick Lamar",102
"2019-01","Queen",102
"2021-03","Kid Cudi",102
"2021-05","Drake",102
"2021-06","Kid Cudi",102
"2022-02","Kid Cudi",102
"2020-04","Travis Scott",100
"2020-02","Travis Scott",99
"2022-01","Cage The Elephant",99
"2020-10","The Weeknd",98
"2018-01","Kendrick Lamar",97
"2021-07","Kid Cudi",97
"2022-01","Frank Ocean",96
"2020-02","The Weeknd",93
"2021-01","The Weeknd",93
"2020-09","The Weeknd",92
"2022-06","Kanye West",92
"2020-05","The Beatles",91
"2022-01","Jack Harlow",91
"2022-03","Baby Keem",91
"2020-10","Bryson Tiller",90
"2019-12","Bryson Tiller",89
"2022-02","Cage The Elephant",89
"2018-07","Logic",88
"2020-12","Bryson Tiller",88
"2021-06","Playboi Carti",88
"2022-08","Thundercat",87
"2021-01","The Beatles",86
"2021-04","Drake",85
"2018-02","Kendrick Lamar",83
"2019-11","Kanye West",83
"2022-03","Cage The Elephant",83
"2017-09","Kendrick Lamar",82
"2019-11","Drake",82
"2020-03","Travis Scott",82
"2020-09","Travis Scott",82
"2020-11","The Weeknd",82
"2017-10","Kendrick Lamar",81
"2022-08","Baby Keem",80
"2019-10","The Beatles",79
"2021-02","The Beatles",79
"2022-01","The Weeknd",79
"2017-09","Logic",78
"2019-02","Travis Scott",78
"2022-05","Baby Keem",77
"2021-06","Drake",76
"2021-09","Don Toliver",76
"2019-03","Travis Scott",75
"2022-08","Kanye West",75
"2020-01","Travis Scott",74
"2020-09","Kanye West",74
"2021-01","Kendrick Lamar",73
"2022-06","Drake",73
"2018-12","Queen",72
"2021-01","Don Toliver",72
"2021-02","Travis Scott",72
"2022-01","Baby Keem",72
"2022-01","Kanye West",72
"2022-07","Kendrick Lamar",72
"2018-05","Kendrick Lamar",71
"2020-06","The Weeknd",71
"2021-08","Kid Cudi",71
"2022-05","Beach House",71
"2017-07","J. Cole",70
"2018-09","Travis Scott",70
"2020-11","Don Toliver",70
"2020-12","Kendrick Lamar",69
"2022-07","Baby Keem",69
"2022-01","Tory Lanez",68
"2018-05","Logic",67
"2019-03","Kendrick Lamar",67
"2019-11","Kendrick Lamar",67
"2021-04","Kanye West",67
"2019-04","Travis Scott",66
"2020-10","Drake",66
"2021-09","Frank Ocean",66
"2021-10","Kanye West",66
"2022-05","Travis Scott",66
"2018-04","Drake",65
"2020-06","The Beatles",65
"2017-09","Drake",64
"2019-12","Kanye West",64
"2020-03","Kanye West",64
"2019-04","Logic",62
"2019-05","Drake",62
"2020-12","Coldplay",62
"2021-04","Fleetwood Mac",62
"2022-10","Kendrick Lamar",62
"2022-10","The Beatles",62
"2018-06","Drake",61
"2020-04","Kendrick Lamar",61
"2018-06","Logic",60
"2020-08","Kendrick Lamar",60
"2021-02","Kid Cudi",60
"2022-06","Kid Cudi",60
"2020-07","The Weeknd",59
"2020-10","Travis Scott",59
"2021-01","Coldplay",59
"2021-02","Coldplay",59
"2021-11","The Beatles",59
"2022-04","Travis Scott",59
"2020-12","Tame Impala",58
"2022-01","Roddy Ricch",58
"2022-06","Baby Keem",58
"2022-06","Travis Scott",58
"2017-07","Future",57
"2019-04","Maroon 5",57
"2021-12","Rex Orange County",56
"2022-03","The Beatles",56
"2022-08","Drake",56
"2022-11","Kendrick Lamar",56
"2020-10","Don Toliver",55
"2022-04","Cage The Elephant",55
"2022-07","Brent Faiyaz",55
"2018-11","Travis Scott",54
"2019-12","Kendrick Lamar",54
"2020-02","Billie Eilish",54
"2021-09","Drake",54
"2021-10","The Beatles",54
"2021-10","The Weeknd",54
"2022-03","Kendrick Lamar",54
"2018-09","Kendrick Lamar",53
"2020-09","Don Toliver",53
"2020-12","Blaccmass",53
"2022-02","Tyler, The Creator",53
"2022-04","Baby Keem",53
"2022-10","Baby Keem",53
"2018-08","Travis Scott",52
"2020-11","Travis Scott",52
"2019-02","The Beatles",51
"2020-05","Queen",51
"2020-09","Drake",51
"2020-11","The Beatles",51
"2021-08","Jack Harlow",51
"2022-07","Joey Bada$$",51
"2022-09","Kanye West",51
"2022-09","Kendrick Lamar",51
"2017-05","Future",50
"2019-10","Queen",50
"2021-03","Coldplay",50
"2021-09","Cage The Elephant",50
"2021-09","Jack Harlow",50
"2022-01","Drake",50
"2022-06","Rex Orange County",50
"2017-11","Kendrick Lamar",49
"2020-02","J. Cole",49
"2021-08","Drake",49
"2022-10","Kanye West",49
"2018-12","The Beatles",48
"2021-02","Tom Petty and the Heartbreakers",48
"2021-08","Travis Scott",48
"2021-12","The Beatles",48
"2022-01","Tyler, The Creator",48
"2022-05","Drake",48
"2019-02","Maroon 5",47
"2020-05","Kendrick Lamar",47
"2021-06","Travis Scott",47
"2022-08","The Weeknd",47
"2022-12","Kendrick Lamar",47
"2018-04","J. Cole",46
"2018-08","Logic",46
"2018-11","Queen",46
"2019-04","Marshmello",46
"2020-02","Bryson Tiller",46
"2021-05","Travis Scott",46
"2016-04","Jon Bellion",45
"2017-06","J. Cole",45
"2017-10","Drake",45
"2019-12","blackbear",45
"2020-04","Coldplay",45
"2020-06","Kid Cudi",45
"2020-10","Coldplay",45
"2020-11","Coldplay",45
"2022-06","Logic",45
"2017-05","The Weeknd",44
"2017-07","Calvin Harris",44
"2019-02","Queen",44
"2019-08","Kendrick Lamar",44
"2019-11","Lil Tecca",44
"2020-04","Marshmello",44
"2022-05","Joey Bada$$",44
"2022-07","Kanye West",44
"2018-03","Kendrick Lamar",43
"2019-01","Travis Scott",43
"2019-03","Maroon 5",43
"2019-07","Shankar-Ehsaan-Loy",43
"2020-08","The Weeknd",43
"2021-05","Kanye West",43
"2022-03","Jack Harlow",43
"2022-03","Tyler, The Creator",43
"2022-06","Brent Faiyaz",43
"2022-06","Joey Bada$$",43
"2022-07","Travis Scott",43
"2019-02","Logic",42
"2021-07","Jack Harlow",42
"2022-07","The Beatles",42
"2022-09","Kid Cudi",42
"2022-11","Kanye West",42
"2018-06","Kendrick Lamar",41
"2018-07","Drake",41
"2019-08","Mustard",41
"2020-02","Drake",41
"2021-03","Kanye West",41
"2022-03","Travis Scott",41
"2022-04","Kid Cudi",41
"2022-05","Jack Harlow",41
"2017-04","The Weeknd",40
"2017-09","The Weeknd",40
"2017-12","Eminem",40
"2018-05","Drake",40
"2019-04","Drake",40
"2019-04","Kendrick Lamar",40
"2019-07","Drake",40
"2019-08","Logic",40
"2020-04","Kanye West",40
"2020-05","Drake",40
"2020-08","Drake",40
"2021-01","A$AP Rocky",40
"2021-01","Bryson Tiller",40
"2021-03","Travis Scott",40
"2022-03","Drake",40
"2022-04","Drake",40
"2022-04","The Weeknd",40
"2022-06","Hippo Campus",40
"2022-09","Travis Scott",40
"2019-11","DaBaby",39
"2021-01","Boston",39
"2022-02","Jack Harlow",39
"2022-12","Kanye West",39
"2018-04","Logic",38
"2019-03","Drake",38
"2020-07","Kid Cudi",38
"2021-05","Baby Keem",38
"2021-12","Juice WRLD",38
"2022-05","Kid Cudi",38
"2022-07","Playboi Carti",38
"2017-07","Drake",37
"2018-10","Travis Scott",37
"2019-02","Kendrick Lamar",37
"2019-08","Drake",37
"2020-12","Miguel",37
"2021-01","The Rolling Stones",37
"2021-02","Justin Timberlake",37
"2021-04","Kendrick Lamar",37
"2021-06","Bryce Vine",37
"2022-05","Cage The Elephant",37
"2022-09","Thundercat",37
"2022-10","Queen",37
"2017-05","J. Cole",36
"2017-09","Future",36
"2017-11","Drake",36
"2017-12","Kendrick Lamar",36
"2018-04","Kendrick Lamar",36
"2019-01","Logic",36
"2019-02","Drake",36
"2020-02","Kanye West",36
"2020-11","Drake",36
"2020-12","The Beatles",36
"2021-06","Pop Smoke",36
"2021-08","Baby Keem",36
"2021-12","Frank Ocean",36
"2022-03","Kid Cudi",36
"2022-05","Hippo Campus",36
