"MonthYear","Artist","Plays"
"2019-12","Nidza Bleja",468
"2018-08","Ed Sheeran",385
"2018-09","Ed Sheeran",299
"2020-02","Quinn XCII",273
"2019-07","Quinn XCII",193
"2018-01","Nicky Jam",172
"2021-08","Billie Eilish",162
"2017-12","Nicky Jam",143
"2022-04","The Piano Guys",133
"2020-04","The Weeknd",132
"2022-07","ODESZA",128
"2019-04","Billie Eilish",113
"2019-05","Khalid",110
"2018-10","Billie Eilish",108
"2018-01","The Piano Guys",105
"2018-12","Ed Sheeran",105
"2022-12","SZA",105
"2020-04","Jeremy Zucker",104
"2018-02","The Piano Guys",102
"2019-12","Mauve",95
"2021-12","Sleeping At Last",90
"2022-10","Billie Eilish",90
"2020-02","Jeremy Zucker",89
"2021-04","Billie Eilish",89
"2019-04","Khalid",85
"2019-01","Russ",83
"2022-05","Lofi Fruits Music",83
"2021-12","Khalid",82
"2019-08","Quinn XCII",81
"2021-09","Jeremy Zucker",80
"2018-11","Ed Sheeran",78
"2018-12","Nicky Jam",78
"2022-11","Pritam",78
"2019-12","Jon Bellion",77
"2021-07","Billie Eilish",77
"2022-04","Labrinth",77
"2020-04","Kid Cudi",76
"2021-11","Billie Eilish",76
"2022-07","The Weeknd",76
"2022-09","ODESZA",76
"2022-12","Metro Boomin",76
"2020-03","Jon Bellion",75
"2022-06","ODESZA",75
"2022-06","Post Malone",75
"2019-03","Ed Sheeran",74
"2022-03","ODESZA",72
"2022-11","The Weeknd",71
"2017-02","The Weeknd",70
"2019-12","DuyVu",70
"2020-07","Quinn XCII",70
"2019-12","Lil Ca$h Machine",66
"2021-02","Jeremy Zucker",66
"2022-04","Post Malone",66
"2022-09","The Weeknd",66
"2020-03","Billie Eilish",65
"2020-08","Jeremy Zucker",65
"2021-03","The Weeknd",65
"2021-08","Louis The Child",65
"2022-06","SYML",65
"2019-12","Ninho",64
"2020-02","Mauve",64
"2018-04","Jeremy Zucker",63
"2020-08","Billie Eilish",63
"2020-12","Pink Sweat$",62
"2022-05","Disney Peaceful Piano",61
"2017-11","Nicky Jam",60
"2021-09","Billie Eilish",60
"2019-12","Neelson Macias",59
"2016-11","The Weeknd",58
"2019-05","Peaceful Pianos",58
"2020-07","Khalid",58
"2019-08","Oh Wonder",57
"2021-11","Jeremy Zucker",57
"2021-02","Billie Eilish",56
"2021-07","Jai Wolf",56
"2018-12","Mitch James",55
"2019-09","Quinn XCII",54
"2021-12","Mac Miller",54
"2021-10","KSHMR",53
"2022-03","Labrinth",53
"2022-08","ODESZA",53
"2018-10","Ed Sheeran",52
"2019-04","Ariana Grande",52
"2019-08","Jeremy Zucker",51
"2019-12","Rafael El Ninos",51
"2020-04","Lolo Zouai",51
"2021-04","Jeremy Zucker",51
"2021-07","Jeremy Zucker",51
"2021-10","Billie Eilish",51
"2018-03","Maluma",50
"2018-12","Billie Eilish",50
"2019-01","Ed Sheeran",50
"2019-03","ODESZA",50
"2020-02","Billie Eilish",50
"2020-03","Mauve",50
"2021-10","Mac Miller",50
"2022-10","Jeremy Zucker",50
"2022-10","ODESZA",50
"2018-11","Metro Boomin",49
"2020-07","Sarcastic Sounds",49
"2021-08","Jeremy Zucker",49
"2021-12","SYML",49
"2022-06","Billie Eilish",49
"2022-06","The Piano Guys",49
"2022-09","Sleeping At Last",49
"2022-10","Lucky Daye",49
"2016-12","The Weeknd",48
"2018-03","The Piano Guys",48
"2021-10","Jeremy Zucker",48
"2018-03","Nicky Jam",47
"2020-10","Kasbo",47
"2022-09","Daniel Caesar",47
"2022-10","Pritam",47
"2018-11","Billie Eilish",46
"2019-08","Whethan",46
"2021-06","Jeremy Zucker",46
"2022-12","Ludovico Einaudi",46
"2018-05","Ed Sheeran",45
"2018-05","Nicky Jam",45
"2018-11","CNCO",45
"2019-12","Ed Sheeran",45
"2021-03","Quinn XCII",45
"2021-11","Khalid",45
"2022-12","Giveon",45
"2018-11","Nicky Jam",44
"2019-01","The Piano Guys",44
"2021-04","The Weeknd",44
"2022-03","Herdis Stefansdottir",44
"2022-10","The Weeknd",44
"2022-02","Sleeping At Last",43
"2022-04","Mac Miller",43
"2022-11","ODESZA",43
"2018-11","Tyler and Mark",42
"2018-12","CNCO",42
"2020-01","Ed Sheeran",42
"2020-02","Oh Wonder",42
"2020-04","Mauve",42
"2021-05","Billie Eilish",42
"2022-07","Giveon",42
"2022-09","Billie Eilish",42
"2019-12","Billie Eilish",41
"2019-12","Oh Wonder",41
"2020-11","Pritam",41
"2021-06","Pritam",41
"2021-12","ODESZA",41
"2022-02","Billie Eilish",41
"2022-09","Giveon",41
"2018-12","Maluma",40
"2019-12","Maroon 5",40
"2020-09","Jeremy Zucker",40
"2020-12","Kid Cudi",40
"2020-12","The Kid LAROI",40
"2021-04","Lofi Fruits Music",40
"2022-04","Sleeping At Last",40
"2022-06","Sleeping At Last",40
"2019-12","DJomla KS",39
"2019-12","Herdis Stefansdottir",39
"2019-12","Jake Nilson",39
"2021-11","San Holo",39
"2021-12","Billie Eilish",39
"2022-09","Mac Miller",39
"2019-12","Khalid",38
"2021-11","Mac Miller",38
"2017-08","J Balvin",37
"2018-02","Nicky Jam",37
"2018-09","6LACK",37
"2019-10","Herdis Stefansdottir",37
"2019-10","Oh Wonder",37
"2019-12","Nikolas Rhonda",37
"2020-01","Jeremy Zucker",37
"2020-09","Sarcastic Sounds",37
"2020-12","Masego",37
"2021-11","Ed Sheeran",37
"2022-08","Billie Eilish",37
"2022-10","Daniel Caesar",37
"2022-12","Lucky Daye",37
