"MonthYear","Artist","Plays"
"2020-03","Lil Uzi Vert",553
"2019-09","Jack Harlow",515
"2016-05","Drake",507
"2016-09","Mick Jenkins",484
"2016-11","A$AP Rocky",470
"2016-12","Kid Cudi",424
"2016-10","Mick Jenkins",414
"2017-04","Kendrick Lamar",406
"2016-06","Kanye West",401
"2018-08","Travis Scott",392
"2016-08","Joey Bada$$",391
"2019-10","Jack Harlow",387
"2018-10","Mick Jenkins",368
"2016-04","Kendrick Lamar",360
"2016-05","Chance the Rapper",360
"2022-05","Kendrick Lamar",326
"2016-03","Kendrick Lamar",310
"2016-05","Isaiah Rashad",296
"2017-01","PnB Rock",290
"2017-11","Travis Scott",279
"2017-07","Travis Scott",263
"2019-05","Aries",262
"2018-08","Jack Harlow",254
"2018-12","Travis Scott",254
"2017-02","Future",252
"2019-11","Drake",251
"2017-04","Joey Bada$$",250
"2016-11","Travis Scott",249
"2021-08","Isaiah Rashad",248
"2016-01","Kendrick Lamar",246
"2018-01","Dave East",241
"2018-05","Playboi Carti",241
"2016-12","J. Cole",239
"2017-07","Kendrick Lamar",239
"2021-11","Aries",236
"2018-04","J. Cole",233
"2018-03","Tory Lanez",226
"2019-12","Roddy Ricch",226
"2017-08","BROCKHAMPTON",224
"2016-10","Jazz Cartier",217
"2019-10","NxWorries, Knxwledge, Anderson .Paak",215
"2016-07","Kendrick Lamar",207
"2021-03","Verzache",207
"2020-02","A Boogie wit da Hoodie",205
"2016-06","Vince Staples",204
"2017-10","Kendrick Lamar",203
"2017-11","Jaden",202
"2016-08","Frank Ocean",201
"2018-01","Lil Uzi Vert",201
"2022-04","Tom The Mail Man",201
"2022-11","whiterosemoxie",198
"2022-10","whiterosemoxie",197
"2018-02","Rich Brian",196
"2016-04","J. Cole",194
"2016-07","Joey Bada$$",194
"2016-12","Kendrick Lamar",193
"2018-03","Lil Yachty",193
"2019-11","Jack Harlow",193
"2016-06","Bryson Tiller",192
"2016-03","Anderson .Paak",187
"2016-04","Drake",187
"2016-08","Kendrick Lamar",185
"2018-04","Flatbush Zombies",185
"2017-03","Young Thug",183
"2016-11","Isaiah Rashad",181
"2017-09","Kendrick Lamar",180
"2017-10","Ty Dolla $ign",180
"2018-05","A$AP Rocky",179
