"ID","MonthYear","Song","Plays"
"0rFpcfF0YfvFUYsl99Bw9d","2020-12","Kid Cudi ~ Soundtrack 2 My Life",48
"0TSyYtpSnQrLqsnbSTALTP","2021-04","Baby Keem ~ no sense",47
"560zE7eP6taPhWFErzRFD3","2016-04","Jon Bellion ~ Guillotine",45
"0LcsvJQSFIQo3RjNhPcYqT","2021-06","Jack Harlow ~ Luv Is Dro (feat. Static Major & Bryson Tiller)",42
"7vgTNTaEz3CsBZ1N4YQalM","2020-12","Kanye West ~ Ghost Town",41
"7szuecWAPwGoV1e5vGu8tl","2020-04","The Weeknd ~ In Your Eyes",36
"1cKHdTo9u0ZymJdPGSh6nq","2019-12","The Weeknd ~ I Was Never There",33
"6MtKObWYda2qnNIpJI21uD","2020-12","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",32
"5u5VZaUmYMZiFed9jFWebf","2016-04","Eric Bellinger ~ Valet (feat. Fetty Wap and 2 Chainz)",31
"6P9uVc2SxCOAiextf4udxk","2020-12","Kid Cudi ~ Cudi Zone",31
"4dTaAiV9xFFCxnPur9c9yL","2020-12","David Guetta ~ Memories (feat. Kid Cudi)",30
"2ihL1KGMA0geIqGT5pkZzo","2021-05","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",30
"5iSEsR6NKjlC9SrIJkyL3k","2020-06","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",29
"6Bs8KdjRAuv3rzCIdchXwu","2020-12","Kid Cudi ~ Enter Galactic (Love Connection Part I)",29
"393MDhe62s8hbH8ETrlxe5","2020-12","Kid Cudi ~ Mr. Rager",29
"7Ks4VCY1wFebnOdJrM13t6","2022-05","Kendrick Lamar ~ Wesley's Theory",29
"7KXjTSCq5nL1LoYtL7XAwS","2017-05","Kendrick Lamar ~ HUMBLE.",28
"5FkoSXiJPKTNyYgALRJFhD","2021-04","Baby Keem ~ ORANGE SODA",28
"7zJld1LpGmLsPt8IGOc0KL","2021-05","Jack Harlow ~ HEAVY HITTER",28
"62vpWI1CHwFy7tMIcSStl8","2017-05","J. Cole ~ No Role Modelz",27
"2GtaNlidzvK3hY78kCdsHa","2020-12","Kid Cudi ~ Marijuana",27
"6NMtzpDQBTOfJwMzgMX0zl","2020-12","Travis Scott ~ SKELETONS",27
"3KndRyfkBK1tdEHpzN85zr","2021-04","Baby Keem ~ INVENTED IT",27
"23SZWX2IaDnxmhFsSLvkG2","2020-12","Kanye West ~ Gorgeous",26
"7vgTNTaEz3CsBZ1N4YQalM","2021-01","Kanye West ~ Ghost Town",26
"6Gy7rXB6Ku5vIWC7WGWsl3","2019-03","6ix9ine ~ KIKA",25
"1kBbgxAUc4HQv7cgIayIDH","2019-08","Lil Tecca ~ Ransom",25
"3xby7fOyqmeON8jsnom0AT","2020-05","Travis Scott ~ Nightcrawler (feat. Swae Lee & Chief Keef)",25
"2EHEQx2avP1fNBLJf5UGYy","2020-12","Kid Cudi ~ Solo Dolo (Nightmare)",25
"1cdC9TCqyLwAlsw3fVJaJS","2021-01","Kid Cudi ~ Soundtrack 2 My Life",25
"70whMGrt6rwbkPlXGNtTBw","2021-05","Jack Harlow ~ GHOST",25
"1M4Wy6jRce1x17qyE7yQAB","2016-04","Foo Fighters ~ The Feast and The Famine",24
"6vWEAOUSxohKxhp0K1BsxL","2019-08","YNW Melly ~ Mixed Personalities (feat. Kanye West)",24
"6NMtzpDQBTOfJwMzgMX0zl","2019-11","Travis Scott ~ SKELETONS",24
"3pXF1nA74528Edde4of9CC","2019-12","Bryson Tiller ~ Don't",24
