"SchoolPeriod","Album","Plays"
"12th-Freshman Summer","The Weeknd ~ After Hours",619
"12th Grade","Travis Scott ~ ASTROWORLD",562
"Freshman Year","Kid Cudi ~ Man On The Moon: The End Of Day",532
"Freshman Year","Kid Cudi ~ Man On The Moon III: The Chosen",444
"11th Grade","Travis Scott ~ ASTROWORLD",403
"Sophomore Year","Kanye West ~ Donda",335
"12th-Freshman Summer","Travis Scott ~ ASTROWORLD",332
"Sophomore Year","Baby Keem ~ The Melodic Blue",315
"Freshman Year","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",309
"Freshman Year","Travis Scott ~ ASTROWORLD",306
"Freshman Year","The Weeknd ~ After Hours",306
"Sophomore Year","The Weeknd ~ After Hours",306
"Sophomore Year","Cage The Elephant ~ Melophobia",303
"10th Grade","Kendrick Lamar ~ DAMN.",297
"Freshman Year","Bryson Tiller ~ T R A P S O U L",285
"Sophomore-Junior Summer","Kendrick Lamar ~ To Pimp A Butterfly",282
"Sophomore-Junior Summer","Kendrick Lamar ~ Mr. Morale & The Big Steppers",271
"Freshman Year","Travis Scott ~ Rodeo",250
"9th-10th Summer","Kendrick Lamar ~ DAMN.",235
"12th Grade","The Weeknd ~ My Dear Melancholy,",229
"Freshman Year","Travis Scott ~ Birds In The Trap Sing McKnight",227
"11th Grade","SOB X RBE ~ Black Panther The Album Music From And Inspired By",221
"10th Grade","Kendrick Lamar ~ Black Panther The Album Music From And Inspired By",218
"Freshman-Sophomore Summer","Jack Harlow ~ Confetti",205
"Freshman Year","Kanye West ~ My Beautiful Dark Twisted Fantasy",204
"Freshman Year","Baby Keem ~ DIE FOR MY BITCH",201
"Sophomore Year","Frank Ocean ~ Blonde",201
"Sophomore Year","Jack Harlow ~ Confetti",178
"Freshman Year","Kanye West ~ The Life Of Pablo",173
"Freshman Year","Bryson Tiller ~ A N N I V E R S A R Y",172
"12th Grade","Zacari ~ Black Panther The Album Music From And Inspired By",171
"9th-10th Summer","Logic ~ Everybody",171
"10th Grade","Logic ~ Bobby Tarantino II",168
"12th-Freshman Summer","Travis Scott ~ Rodeo",167
"Sophomore Year","Cage The Elephant ~ Social Cues",158
"12th-Freshman Summer","Travis Scott ~ Birds In The Trap Sing McKnight",157
"10th Grade","Kendrick Lamar ~ good kid, m.A.A.d city",156
"Sophomore Year","Roddy Ricch ~ Please Excuse Me for Being Antisocial",155
"Sophomore Year","Baby Keem ~ DIE FOR MY BITCH",154
"10th Grade","Logic ~ Everybody",153
