"SchoolPeriod","Album","Plays"
"10th Grade","Nicky Jam ~ Fenix",500
"11th Grade","Ed Sheeran ~ Divide",283
"Sophomore Year","Mac Miller ~ Circles",205
"10th-11th Summer","Ed Sheeran ~ Divide",184
"12th Grade","Jon Bellion ~ The Human Condition",182
"11th Grade","Nicky Jam ~ Fenix",181
"Sophomore Year","ODESZA ~ A Moment Apart",170
"11th Grade","Ed Sheeran ~ x",157
"Sophomore-Junior Summer","ODESZA ~ A Moment Apart",157
"Sophomore Year","Labrinth ~ Euphoria (Original Score from the HBO Series)",150
"11th Grade","Khalid ~ Free Spirit",140
"12th Grade","Quinn XCII ~ The Story of Us",137
"12th Grade","Oh Wonder ~ Oh Wonder",127
"11th Grade","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",125
"12th Grade","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",125
"10th Grade","The Piano Guys ~ The Piano Guys",122
"11th-12th Summer","Quinn XCII ~ The Story of Us",121
"10th-11th Summer","Ed Sheeran ~ x",115
"9th Grade","The Weeknd ~ Starboy",110
"Freshman-Sophomore Summer","Billie Eilish ~ Happier Than Ever",110
"Freshman Year","Jeremy Zucker ~ love is not dying",107
"12th Grade","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",106
"Sophomore Year","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",105
"12th-Freshman Summer","The Weeknd ~ Trilogy",100
"12th-Freshman Summer","Jeremy Zucker ~ love is not dying",100
"12th Grade","Quinn XCII ~ From Michigan With Love",99
"12th Grade","Ed Sheeran ~ Divide",96
"Freshman Year","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",94
"11th Grade","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",92
"11th Grade","The Piano Guys ~ The Piano Guys",92
"12th Grade","Nidza Bleja ~ Oseti bleju",88
"12th-Freshman Summer","Kid Cudi ~ Man On The Moon: The End Of Day",88
"Sophomore Year","Sleeping At Last ~ Atlas: II",84
"10th Grade","The Piano Guys ~ The Piano Guys 2",83
"11th Grade","Peaceful Pianos ~ Music for Concentration",82
"Sophomore Year","Sleeping At Last ~ Atlas: I",82
"12th-Freshman Summer","Khalid ~ American Teen",80
"11th Grade","Ed Sheeran ~ +",79
"12th-Freshman Summer","Lolo Zouai ~ High Highs to Low Lows",79
"12th Grade","Mauve ~ Just Stay",78
"10th-11th Summer","Ed Sheeran ~ +",77
"11th Grade","Maluma ~ F.A.M.E.",77
"Freshman-Sophomore Summer","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",75
"Sophomore Year","Jeremy Zucker ~ love is not dying",74
"12th-Freshman Summer","Pedro Capo ~ Calma",71
"Freshman Year","Shoffy ~ Flash",71
