"SchoolPeriod","Album","Plays"
"12th Grade","Jack Harlow ~ Confetti",1012
"9th Grade","Travis Scott ~ Birds in the Trap Sing McKnight",675
"9th Grade","Mick Jenkins ~ The Water[s]",617
"8th Grade","Drake ~ Views",607
"9th Grade","A$AP Rocky ~ AT.LONG.LAST.A$AP",542
"10th Grade","Travis Scott ~ Rodeo",519
"10th Grade","Kendrick Lamar ~ DAMN.",503
"9th Grade","Isaiah Rashad ~ The Sun's Tirade",447
"8th-9th Summer","Joey Bada$$ ~ B4.DA.$$",438
"Sophomore Year","Aries ~ BELIEVE IN ME, WHO BELIEVES IN YOU",437
"12th Grade","NxWorries, Knxwledge, Anderson .Paak ~ Yes Lawd!",432
"8th Grade","Bryson Tiller ~ T R A P S O U L",425
"9th Grade","Mick Jenkins ~ The Healing Component",423
"12th Grade","Roddy Ricch ~ Please Excuse Me For Being Antisocial",400
"9th Grade","Joey Bada$$ ~ B4.DA.$$",397
"9th Grade","PnB Rock ~ GTTM: Goin Thru the Motions",396
"10th Grade","Lil Uzi Vert ~ Luv Is Rage 2",378
"11th Grade","Travis Scott ~ ASTROWORLD",373
"9th Grade","Bryson Tiller ~ T R A P S O U L",373
"11th Grade","Mick Jenkins ~ Pieces of a Man",371
"8th Grade","Chance the Rapper ~ Coloring Book",354
"10th-11th Summer","Travis Scott ~ ASTROWORLD",352
"9th Grade","Chance the Rapper ~ Coloring Book",352
"12th-Freshman Summer","PARTYNEXTDOOR ~ PARTYMOBILE",341
"Sophomore-Junior Summer","Kendrick Lamar ~ Mr. Morale & The Big Steppers",340
"10th Grade","Travis Scott ~ Birds in the Trap Sing McKnight",338
"10th Grade","ScHoolboy Q ~ Oxymoron",336
"9th Grade","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",336
"11th Grade","Jack Harlow ~ Loose",331
"9th Grade","Kendrick Lamar ~ DAMN.",328
"9th Grade","Jazz Cartier ~ Hotel Paranoia",327
"8th Grade","Anderson .Paak ~ Malibu",322
"Freshman Year","Bryson Tiller ~ A N N I V E R S A R Y",321
"Freshman-Sophomore Summer","Tyler, The Creator ~ CALL ME IF YOU GET LOST",321
"8th Grade","Isaiah Rashad ~ Cilvia Demo",315
"9th Grade","Frank Ocean ~ Blonde",308
"9th Grade","Joyner Lucas ~ Along Came Joyner",305
"Sophomore Year","Isaiah Rashad ~ The House Is Burning",297
"10th Grade","Kendrick Lamar, Jay Rock, James Blake, Future ~ Black Panther The Album Music From And Inspired By",294
"8th-9th Summer","Isaiah Rashad ~ Cilvia Demo",286
"10th Grade","Quality Control, Migos ~ Quality Control: Control the Streets, Vol. 1",285
"8th Grade","Kendrick Lamar ~ Section.80",284
"10th Grade","Ty Dolla $ign ~ Beach House 3",283
"9th Grade","Kid Cudi ~ Passion, Pain & Demon Slayin'",280
"10th Grade","Travis Scott, Quavo, HUNCHO JACK ~ Huncho Jack, Jack Huncho",279
"12th Grade","Jack Harlow ~ Loose",278
"9th Grade","Isaiah Rashad ~ Cilvia Demo",278
"12th Grade","Lil Uzi Vert ~ Eternal Atake",277
"10th Grade","Jaden ~ SYRE",276
