"SchoolPeriod","Artist","Plays"
"Freshman Year","Kid Cudi",1406
"Freshman Year","Kanye West",847
"Sophomore Year","Kanye West",830
"Freshman Year","Travis Scott",778
"12th-Freshman Summer","The Weeknd",755
"12th Grade","Travis Scott",751
"Freshman Year","The Weeknd",718
"Sophomore-Junior Summer","Kendrick Lamar",717
"12th-Freshman Summer","Travis Scott",635
"Sophomore Year","Baby Keem",603
"Freshman Year","Bryson Tiller",601
"10th Grade","Kendrick Lamar",587
"11th Grade","Travis Scott",574
"Sophomore Year","Cage The Elephant",525
"Sophomore Year","The Weeknd",498
"10th Grade","Logic",483
"12th-Freshman Summer","Kanye West",467
"12th Grade","Kanye West",465
"Freshman-Sophomore Summer","Jack Harlow",452
"Freshman Year","Baby Keem",448
"9th-10th Summer","Kendrick Lamar",445
"Sophomore Year","Jack Harlow",402
"11th Grade","Logic",398
"Freshman Year","Coldplay",382
"10th Grade","Drake",373
"Freshman-Sophomore Summer","Kanye West",372
"Freshman Year","Don Toliver",346
"12th Grade","Drake",328
"11th Grade","Kendrick Lamar",327
"Freshman-Sophomore Summer","Kid Cudi",323
"Sophomore-Junior Summer","Kanye West",320
"Sophomore Year","Kendrick Lamar",310
"12th Grade","The Weeknd",304
"Freshman Year","Drake",304
"Freshman Year","The Beatles",299
"11th-12th Summer","The Beatles",298
"11th Grade","Drake",296
"11th Grade","The Beatles",296
"Sophomore-Junior Summer","Baby Keem",278
"11th Grade","Queen",276
"9th-10th Summer","Logic",276
"Sophomore Year","Kid Cudi",273
"Freshman Year","Kendrick Lamar",268
"Sophomore Year","The Beatles",266
"Sophomore Year","Frank Ocean",261
"Sophomore Year","Drake",249
"Freshman-Sophomore Summer","Drake",244
"Sophomore Year","Tyler, The Creator",213
"10th Grade","The Weeknd",204
"11th Grade","Maroon 5",204
"Sophomore Year","Roddy Ricch",202
"Sophomore-Junior Summer","Drake",202
"12th Grade","Kendrick Lamar",197
"Sophomore Year","Travis Scott",197
"Sophomore-Junior Summer","Travis Scott",197
"12th-Freshman Summer","The Beatles",193
"12th-Freshman Summer","Kendrick Lamar",188
"10th Grade","Eminem",184
"12th Grade","Bryson Tiller",179
"10th-11th Summer","Logic",171
"Freshman-Sophomore Summer","Travis Scott",165
"Freshman Year","Jack Harlow",162
"9th Grade","Kendrick Lamar",156
"11th-12th Summer","Travis Scott",152
"Sophomore-Junior Summer","Kid Cudi",152
"11th Grade","Lil Wayne",150
"Sophomore-Junior Summer","Joey Bada$$",150
"12th Grade","Maroon 5",145
"Sophomore-Junior Summer","The Weeknd",142
"10th Grade","J. Cole",140
"11th Grade","Eminem",140
"12th-Freshman Summer","Drake",140
"Freshman-Sophomore Summer","Playboi Carti",140
"Freshman Year","Frank Ocean",139
"12th Grade","The Beatles",138
"Sophomore Year","Queen",135
"Sophomore Year","Calvin Harris",134
"Sophomore Year","Rex Orange County",129
"Freshman Year","Justin Timberlake",128
"Freshman-Sophomore Summer","Baby Keem",128
"Freshman Year","Queen",127
"12th-Freshman Summer","Coldplay",124
"Sophomore Year","Don Toliver",123
"12th-Freshman Summer","Aretha Franklin",121
"9th-10th Summer","J. Cole",120
"Sophomore Year","Tory Lanez",120
"10th Grade","Calvin Harris",118
"Sophomore Year","Bryson Tiller",118
"11th Grade","Meek Mill",117
"10th Grade","blackbear",116
"12th Grade","J. Cole",116
"10th-11th Summer","Drake",115
"Sophomore Year","Playboi Carti",113
"10th Grade","Childish Gambino",112
"11th Grade","J. Cole",109
"Freshman Year","KIDS SEE GHOSTS",109
"Sophomore-Junior Summer","Beach House",109
"12th Grade","DaBaby",108
"Sophomore-Junior Summer","Brent Faiyaz",108
"12th Grade","OneRepublic",106
"Sophomore Year","Juice WRLD",106
"Freshman Year","A$AP Rocky",105
"12th-Freshman Summer","Queen",104
"9th-10th Summer","Future",104
"Sophomore-Junior Summer","Cage The Elephant",104
"Sophomore-Junior Summer","Jack Harlow",104
"12th Grade","Lil Tecca",103
"11th Grade","blackbear",101
"Sophomore Year","Mac Miller",100
"12th-Freshman Summer","Kid Cudi",99
"9th Grade","Future",99
"9th Grade","The Weeknd",99
"11th Grade","Post Malone",98
"12th Grade","Lil Mosey",98
"12th Grade","Post Malone",98
"12th-Freshman Summer","Tyler, The Creator",97
"Sophomore-Junior Summer","The Beatles",96
"10th-11th Summer","Kendrick Lamar",95
"12th Grade","Billie Eilish",95
"Freshman Year","Calvin Harris",94
"11th Grade","Marshmello",93
"10th Grade","Travis Scott",92
"12th-Freshman Summer","Marshmello",92
"Freshman Year","Tame Impala",92
"11th Grade","Migos",91
"Sophomore-Junior Summer","Tyler, The Creator",91
"12th Grade","Queen",90
"Freshman Year","Maroon 5",90
"Sophomore-Junior Summer","Logic",89
"12th Grade","Mura Masa",86
"Freshman Year","Veorra",86
"Freshman Year","Fleetwood Mac",85
"Freshman Year","The Rolling Stones",85
"10th Grade","Post Malone",84
"Freshman Year","Miguel",84
"12th Grade","Osibih",83
"12th-Freshman Summer","Logic",83
"Freshman Year","Boston",83
"12th Grade","blackbear",82
"Sophomore-Junior Summer","Hippo Campus",82
"9th-10th Summer","Drake",80
"Sophomore Year","Gunna",80
"12th Grade","Khalid",79
"Freshman-Sophomore Summer","Cage The Elephant",78
"Sophomore Year","Childish Gambino",78
"Sophomore-Junior Summer","Frank Ocean",78
"11th-12th Summer","Drake",77
"12th Grade","Bas",77
"12th Grade","Young Thug",77
"Freshman Year","mike.",77
"9th-10th Summer","Calvin Harris",76
"Sophomore-Junior Summer","Larry June",76
"10th Grade","Maroon 5",75
"11th Grade","NAV",75
"12th Grade","Ellie Goulding",75
"12th Grade","Foster The People",75
"12th Grade","Mustard",75
