"SchoolPeriod","Artist","Plays"
"12th Grade","Jack Harlow",1485
"9th Grade","Mick Jenkins",1304
"9th Grade","Kendrick Lamar",1203
"8th Grade","Kendrick Lamar",1170
"10th Grade","Kendrick Lamar",1087
"9th Grade","Joey Bada$$",1006
"10th Grade","Travis Scott",900
"9th Grade","A$AP Rocky",809
"9th Grade","Isaiah Rashad",751
"9th Grade","Kid Cudi",729
"8th Grade","Drake",723
"11th Grade","Mick Jenkins",719
"8th-9th Summer","Kanye West",684
"9th Grade","Travis Scott",676
"11th Grade","Travis Scott",667
"12th Grade","Lil Uzi Vert",650
"9th Grade","Bryson Tiller",638
"Sophomore Year","Aries",632
"8th-9th Summer","Joey Bada$$",612
"9th Grade","Kanye West",589
"9th Grade","J. Cole",558
"12th-Freshman Summer","Lil Uzi Vert",526
"Sophomore-Junior Summer","Kendrick Lamar",525
"10th Grade","Bryson Tiller",523
"10th Grade","BROCKHAMPTON",508
"10th Grade","Kanye West",501
"Sophomore Year","Mick Jenkins",481
"9th-10th Summer","Travis Scott",479
"Sophomore Year","Isaiah Rashad",479
"10th Grade","Lil Uzi Vert",473
"Freshman Year","Aries",473
"8th-9th Summer","Isaiah Rashad",472
"11th Grade","Future",464
"10th Grade","A$AP Rocky",461
"8th-9th Summer","Kendrick Lamar",456
"10th-11th Summer","Travis Scott",454
"Sophomore Year","Drake",441
"9th Grade","Future",438
"10th Grade","Future",435
"10th Grade","ScHoolboy Q",435
"12th Grade","NxWorries, Knxwledge, Anderson .Paak",431
"Freshman Year","Bryson Tiller",430
"12th Grade","Roddy Ricch",426
"8th Grade","Bryson Tiller",425
"10th Grade","J. Cole",424
"11th Grade","Kendrick Lamar",420
"Sophomore Year","Kanye West",420
"9th Grade","Jazz Cartier",417
"Freshman-Sophomore Summer","Tyler, The Creator",415
"10th Grade","Joey Bada$$",413
"10th Grade","Isaiah Rashad",408
"11th Grade","Earl Sweatshirt",402
"11th Grade","Aries",398
"8th Grade","Anderson .Paak",398
"9th Grade","PnB Rock",396
"8th Grade","Chance the Rapper",391
"9th Grade","Joyner Lucas",386
"11th Grade","Vince Staples",385
"Freshman-Sophomore Summer","Isaiah Rashad",384
"8th Grade","J. Cole",382
"Freshman Year","whiterosemoxie",382
"Sophomore Year","whiterosemoxie",377
"Sophomore Year","Kendrick Lamar",373
"11th Grade","Jack Harlow",368
"12th Grade","Drake",363
"9th Grade","Chance the Rapper",363
"Freshman Year","Verzache",363
"9th Grade","Frank Ocean",361
"9th-10th Summer","BROCKHAMPTON",360
"12th-Freshman Summer","Kendrick Lamar",351
"9th-10th Summer","Kendrick Lamar",351
"11th Grade","Rich The Kid",349
"12th Grade","Mick Jenkins",337
"12th-Freshman Summer","PARTYNEXTDOOR",331
"10th Grade","Dave East",326
"11th Grade","Lil Uzi Vert",320
"12th Grade","Travis Scott",317
"8th Grade","Isaiah Rashad",317
"11th Grade","Anderson .Paak",315
"12th-Freshman Summer","Jack Harlow",315
"10th Grade","Ty Dolla $ign",314
"10th Grade","PnB Rock",311
"12th Grade","A Boogie wit da Hoodie",306
"9th Grade","Drake",301
"Sophomore-Junior Summer","Joey Bada$$",300
"11th Grade","JID",293
"12th Grade","Kendrick Lamar",291
"10th Grade","Migos",290
"10th Grade","Drake",289
"10th Grade","Mick Jenkins",289
"12th Grade","Mac Miller",287
"Freshman Year","Jack Harlow",284
"10th Grade","Playboi Carti",283
"10th Grade","Earl Sweatshirt",282
"10th Grade","Travis Scott, Quavo, HUNCHO JACK",279
"Sophomore Year","Bryson Tiller",279
"10th Grade","Jaden",276
"Freshman Year","PARTYNEXTDOOR",271
"Sophomore Year","midwxst",266
"10th Grade","Lil Skies",262
"9th Grade","Anderson .Paak",260
"Sophomore Year","Tyler, The Creator",260
"Sophomore Year","Verzache",260
"12th-Freshman Summer","Radiohead",258
"10th-11th Summer","Jack Harlow",255
"12th Grade","Daniel Caesar",255
"9th Grade","Young Thug",255
"10th Grade","Logic",250
"Sophomore Year","Amine",249
"11th Grade","Trippie Redd",248
"10th Grade","Tory Lanez",242
"11th Grade","ScHoolboy Q",242
"9th Grade","Big Sean",241
"10th Grade","Flatbush Zombies",239
"Freshman-Sophomore Summer","whiterosemoxie",238
"9th Grade","A Tribe Called Quest",237
"8th Grade","Kanye West",236
"10th Grade","Post Malone",233
"12th Grade","Smino",232
"Freshman Year","Kota the Friend",232
"10th Grade","A$AP Mob",231
"Freshman Year","Grouplove",231
"Sophomore-Junior Summer","Jack Harlow",231
"10th Grade","Young Thug",228
"12th Grade","Future",227
"8th-9th Summer","Anderson .Paak",224
"Freshman Year","Ramzoid",224
"9th Grade","Migos",223
"Sophomore-Junior Summer","Tom The Mail Man",220
"12th-Freshman Summer","Juice WRLD",219
"11th Grade","Tory Lanez",218
"Sophomore Year","Jack Harlow",217
"11th Grade","Isaiah Rashad",216
"9th Grade","ScHoolboy Q",216
"Freshman Year","The Beatles",216
"8th Grade","Vince Staples",214
"Freshman Year","Patrick Cc:",214
"9th Grade","Khalid",213
"10th Grade","Daniel Caesar",212
"10th Grade","Vince Staples",212
"12th-Freshman Summer","Drake",212
"11th Grade","Denzel Curry",211
"Freshman-Sophomore Summer","Mick Jenkins",211
"11th Grade","J. Cole",210
