"ID","SchoolPeriod","Song","Plays"
"0rFpcfF0YfvFUYsl99Bw9d","Freshman Year","Kid Cudi ~ Soundtrack 2 My Life",125
"6MtKObWYda2qnNIpJI21uD","Freshman Year","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",112
"6NMtzpDQBTOfJwMzgMX0zl","12th Grade","Travis Scott ~ SKELETONS",103
"4RVbK6cV0VqWdpCDcx3hiT","Freshman Year","KIDS SEE GHOSTS ~ Reborn",96
"51EC3I1nQXpec4gDk0mQyP","Freshman Year","Travis Scott ~ 90210 (feat. Kacy Hill)",95
"7vgTNTaEz3CsBZ1N4YQalM","Freshman Year","Kanye West ~ Ghost Town",95
"3sTN90bIP2cJ1783ctHykO","12th Grade","Mura Masa ~ Love$ick (feat. A$AP Rocky)",86
"7szuecWAPwGoV1e5vGu8tl","12th-Freshman Summer","The Weeknd ~ In Your Eyes",86
"393MDhe62s8hbH8ETrlxe5","Freshman Year","Kid Cudi ~ Mr. Rager",83
"6sy3LkhNFjJWlaeSMNwQ62","12th Grade","OneRepublic ~ Counting Stars",80
"6ECp64rv50XVz93WvxXMGF","12th Grade","Maroon 5 ~ This Love",79
"2ZWlPOoWh0626oTaHrnl2a","Freshman Year","Frank Ocean ~ Ivy",79
"6NMtzpDQBTOfJwMzgMX0zl","Freshman Year","Travis Scott ~ SKELETONS",79
"0YAQnYt2oB8OdoaeqnHyTI","12th Grade","Bas ~ Tribe (with J. Cole)",77
"5tsI3xxDHDgzHhn30LTQNz","Freshman Year","mike. ~ These Days",77
"3QFInJAm9eyaho5vBzxInN","Sophomore Year","Baby Keem ~ family ties (with Kendrick Lamar)",77
"4BdGO1CaObRD4La9l5Zanz","12th Grade","Foster The People ~ Sit Next to Me",75
"4sebUbjqbcgDSwG6PbSGI0","Sophomore Year","Cage The Elephant ~ Come a Little Closer",74
"5JEx7HbmvHQQswJCsoo9rA","12th Grade","Ellie Goulding ~ Close To Me (with Diplo) (feat. Swae Lee)",73
"6P9uVc2SxCOAiextf4udxk","Freshman Year","Kid Cudi ~ Cudi Zone",73
"1KuVdyg8d6NlRhbpHxg5UF","Sophomore Year","Cage The Elephant ~ Social Cues",73
"20TYNq9o5sdBAbkCWE9ih7","12th Grade","Alina Baraz ~ Electric (feat. Khalid)",71
"7CC6UbCs4iGsePSzFxYxNn","Sophomore Year","Kanye West ~ Moon",71
"2aPTvyE09vUCRwVvj0I8WK","Freshman Year","A$AP Rocky ~ Sundress",70
"5aqUqSq0SqGBAqEn27PEzc","Sophomore Year","Kanye West ~ Pure Souls",69
"6Ozh9Ok6h4Oi1wUSLtBseN","12th Grade","DaBaby ~ BOP",68
"4E08gEca6avoGx5SS4MM6T","12th Grade","Lil Mosey ~ G Walk (with Chris Brown)",68
"7szuecWAPwGoV1e5vGu8tl","Sophomore Year","The Weeknd ~ In Your Eyes",68
"27a1mYSG5tYg7dmEjWBcmL","12th Grade","Travis Scott ~ CAN'T SAY",67
"23SZWX2IaDnxmhFsSLvkG2","Freshman Year","Kanye West ~ Gorgeous",66
"1xYpVRspgaLxdJLOTQkTjg","12th Grade","Travis Scott ~ STOP TRYING TO BE GOD",65
"7KXjTSCq5nL1LoYtL7XAwS","10th Grade","Kendrick Lamar ~ HUMBLE.",64
"6IZvVAP7VPPnsGX6bvgkqg","12th Grade","Kendrick Lamar ~ PRIDE.",64
"20MuVazoNMv6xjKPnRFOxG","12th Grade","Travis Scott ~ WAKE UP",64
"2p8IUWQDrpjuFltbdgLOag","12th-Freshman Summer","The Weeknd ~ After Hours",64
"0VjIjW4GlUZAMYd2vXMi3b","12th-Freshman Summer","The Weeknd ~ Blinding Lights",62
"0LcsvJQSFIQo3RjNhPcYqT","Freshman-Sophomore Summer","Jack Harlow ~ Luv Is Dro (feat. Static Major & Bryson Tiller)",62
"6NMtzpDQBTOfJwMzgMX0zl","11th Grade","Travis Scott ~ SKELETONS",61
"5SkRLpaGtvYPhw02vZhQQ9","12th Grade","Kanye West ~ All Falls Down",61
"2GtaNlidzvK3hY78kCdsHa","Freshman Year","Kid Cudi ~ Marijuana",61
"39qRdHcl2tizWbzlM9kUlN","Freshman Year","Coldplay ~ What If",61
"0TSyYtpSnQrLqsnbSTALTP","Freshman Year","Baby Keem ~ no sense",61
"1wHZx0LgzFHyeIZkUydNXq","12th Grade","Travis Scott ~ Antidote",60
"5tsI3xxDHDgzHhn30LTQNz","12th Grade","mike. ~ These Days",60
"1cKHdTo9u0ZymJdPGSh6nq","12th Grade","The Weeknd ~ I Was Never There",59
"3nAq2hCr1oWsIU54tS98pL","12th Grade","Kanye West ~ Waves",59
"2ExKb6Ag2WXob6FpkSeXhE","12th-Freshman Summer","The Weeknd ~ Save Your Tears",59
"6ECp64rv50XVz93WvxXMGF","11th Grade","Maroon 5 ~ This Love",58
"3rbRruu8hsnbGPBra7xxh1","12th Grade","Bryce Hase ~ Off the Planet",58
"3KQ1KVG2F8qAospksegrmZ","12th-Freshman Summer","The Weeknd ~ Alone Again",58
