"ID","SchoolPeriod","Song","Plays"
"3YPhgbRDotBitv4FQBnoum","12th Grade","Mauve ~ Just Stay",78
"3tJjZMHLqhD8DaGgdBICnc","Sophomore Year","Sleeping At Last ~ Saturn",73
"1kwnxJNVl7cwcU98RvMBaR","Sophomore Year","Mac Miller ~ Surf",70
"0LbZdD11qz49uey5wNoxBF","12th Grade","Lil Ca$h Machine ~ Tropical Vibes",66
"7pt64sepCy5QmDrgy9wOJS","Freshman Year","Kamal. ~ blue",61
"6vo7Y1iWyZvpjvFbf6BiZ5","Sophomore Year","Pritam ~ Kalank (Title Track)",60
"34gCuhDGsG4bRPIf9bb02f","11th Grade","Ed Sheeran ~ Thinking out Loud",57
"0u2P5u6lvoDfwTYjAADbn4","11th Grade","Billie Eilish ~ lovely (with Khalid)",54
"0DkkunMQNA2SuOYmnYm88E","Sophomore Year","Miro ~ Soar",54
"6vo7Y1iWyZvpjvFbf6BiZ5","Freshman Year","Pritam ~ Kalank (Title Track)",53
"0t488LlnuTDRjklgkotom9","Sophomore Year","Jai Wolf ~ Indian Summer",53
"3H8h60jhdQNu5s9HHTLdFr","Sophomore Year","San Holo ~ IT HURTS!",51
"6tT4Ks1N04Ut0lSQ3xjSaZ","11th Grade","CNCO ~ Llegaste Tu",50
"18uwL0vNUanqZH0ro2QcOP","12th Grade","Jeremy Zucker ~ comethru",50
"3bytrtjivyeKqajwZdcdRq","Freshman Year","Shoffy ~ I Can't Help",50
"1UMQ9VXdKGiAHIGD5fWX2B","11th-12th Summer","Quinn XCII ~ Iron & Steel",48
"2XyNLoEWc4IDt9OVzXZUXl","Sophomore Year","ODESZA ~ It's Only (feat. Zyra) - ODESZA VIP Remix",48
"18uwL0vNUanqZH0ro2QcOP","Sophomore Year","Jeremy Zucker ~ comethru",48
"1EzrEOXmMH3G43AXT1y7pA","11th Grade","Jason Mraz ~ I'm Yours",47
"2QEBXYzURjg7nY8FjbBcUt","Sophomore Year","Shallou ~ All Your Days",47
"3cR5ZtQ4JqGj4VHBb1gvFf","11th Grade","CNCO ~ Hey DJ - Remix",46
"14JzyD6FlBD5z0wV5P07YI","11th Grade","Billie Eilish ~ when the party's over",46
"1zTW7xRtxmprjTUDi6bAHg","12th Grade","Jon Bellion ~ Woke The F*ck Up",46
"12VqHHz4wvVcnEdSivjLeQ","Sophomore Year","Khalid ~ Alive",46
"5iwz1NiezX7WWjnCgY5TH4","11th Grade","Pedro Capo ~ Calma - Remix",45
"0SuLAslEMFZAXf0SwY7syi","12th Grade","Jon Bellion ~ All Time Low",45
"3YPhgbRDotBitv4FQBnoum","12th-Freshman Summer","Mauve ~ Just Stay",45
"6Qhn23W3lhkJoRQK2jc8Po","Sophomore Year","SYML ~ Here Comes the Sun",45
"3AqPL1n1wKc5DVFFnYuJhp","Sophomore Year","The Cinematic Orchestra ~ To Build A Home",44
"7qH9Z4dJEN0l9bidizW7fq","Sophomore Year","Novo Amor ~ Anchor",43
"3ZsVXh7a8HxYWxzDCHjQfN","Sophomore Year","Ollie MN ~ Friendly Dark",43
"07ipXN6CNTw34qwSYePKpg","11th Grade","PRETTYMUCH ~ Summer on You",42
"6vo7Y1iWyZvpjvFbf6BiZ5","Freshman-Sophomore Summer","Pritam ~ Kalank (Title Track)",42
"64BKKgWdKdmKlQDzRfHW3C","Sophomore Year","Louis The Child ~ Free (with Drew Love)",42
"52iLDrSoRtf9lcgFuLVfqE","11th Grade","Sasha Alex Sloan ~ Older",41
"18uwL0vNUanqZH0ro2QcOP","11th Grade","Jeremy Zucker ~ comethru",41
"5iwz1NiezX7WWjnCgY5TH4","12th-Freshman Summer","Pedro Capo ~ Calma - Remix",41
"1DWZUa5Mzf2BwzpHtgbHPY","Sophomore Year","Mac Miller ~ Good News",41
"1sjXaEmqj5cRMns8rWYnKe","Sophomore Year","Shoffy ~ I Can't Help",41
"5zxwumO0laRosoeOvbVSvc","11th Grade","Mitch James ~ Bright Blue Skies",40
"0tgVpDi06FyKpA1z0VMD4v","11th Grade","Ed Sheeran ~ Perfect",40
"0SuLAslEMFZAXf0SwY7syi","12th-Freshman Summer","Jon Bellion ~ All Time Low",40
"2EEmzqzM70CybVspgM7YRT","12th-Freshman Summer","Mau y Ricky ~ La Boca - Remix",40
"7cM9Kqto11iJpY2RwgVJSq","11th-12th Summer","Quinn XCII ~ Flare Guns",39
"50AtbZbvd3OXD2NDqy4G29","12th Grade","Mauve ~ By My Side",39
"4aSfgWmRa9KsISD4Jmx7QB","10th Grade","Kygo ~ This Town (feat. Sasha Alex Sloan)",38
"2pJZ1v8HezrAoZ0Fhzby92","11th Grade","Ed Sheeran ~ What Do I Know?",38
"0GzuHFG4Ql6DoyxFRnIk3F","Freshman Year","Maluma ~ Hawai - Remix",38
"0V5cvmTKsYmF5FmGGEAfmS","Freshman-Sophomore Summer","Patrick Watson ~ Je te laisserai des mots",38
"4GR9MdPIvrkxcEJ4RUbxPk","Sophomore Year","RL Grime ~ Atoms - Said the Sky Remix",38
"0xE4LEFzSNGsz1F6kvXsHU","Sophomore Year","Mac Miller ~ Circles",38
"6potEImiklXkwD9qFzpu15","Sophomore Year","Labrinth ~ Forever",38
"2KnLkZ3z7PO3kgVGHGqDpD","Sophomore Year","Shawn Mendes ~ It'll Be Okay",38
"1UMQ9VXdKGiAHIGD5fWX2B","12th Grade","Quinn XCII ~ Iron & Steel",37
"3umS4y3uQDkqekNjVpiRUs","10th Grade","Nicky Jam ~ El Amante",36
"7vGuf3Y35N4wmASOKLUVVU","10th Grade","Marshmello ~ Silence",36
"5o35aPa2xPLLC3rw7Hoc83","10th Grade","Nicky Jam ~ Superheroe (feat. J Balvin)",36
"7vGGAJBkHKxKtOnGjQduDV","11th Grade","Khalid ~ Saturday Nights",36
"4VuS959DSpr82t3qBqCrWG","11th Grade","Ed Sheeran ~ Supermarket Flowers",36
"4RtexJZ1OyRkDNlqVUt8Zt","11th-12th Summer","Quinn XCII ~ Panama",36
"51LIqkda3pTeECZUhMnool","11th-12th Summer","Quinn XCII ~ Straightjacket",36
"6zyozkRLgDlqZIUJzCwkgP","Freshman Year","Rochak Kohli ~ Dil Na Jaaneya",36
"0V5cvmTKsYmF5FmGGEAfmS","Sophomore Year","Patrick Watson ~ Je te laisserai des mots",36
"43zdsphuZLzwA9k4DJhU0I","Sophomore Year","Billie Eilish ~ when the party's over",36
"4q1WaJZoHTtojqDHX8QvaC","10th Grade","VAX ~ Fireproof (feat. Teddy Sky)",35
"4OBZT9EnhYIV17t4pGw7ig","Freshman Year","Daniel Caesar ~ Best Part (feat. H.E.R.)",35
"25U7raB3ZSszayTYClh4hF","Freshman Year","Israel Kamakawiwo'ole ~ Somewhere Over The Rainbow_What A Wonderful World",35
"2R0FW1n6cOkQDJhAkQENsf","10th Grade","Ed Sheeran ~ Perfect",34
"0McI9sOmkpfd4E72njtU0G","11th Grade","Metro Boomin ~ Borrowed Love (feat. Swae Lee & WizKid)",34
"2dfHh7ECGxfNqZTQno09Vk","11th Grade","Ed Sheeran ~ Hearts Don't Break Around Here",34
"7cM9Kqto11iJpY2RwgVJSq","12th Grade","Quinn XCII ~ Flare Guns",34
"6vo7Y1iWyZvpjvFbf6BiZ5","Sophomore-Junior Summer","Pritam ~ Kalank (Title Track)",34
"7qCAVkHWZkF44OzOUKf8Cr","10th Grade","Nicky Jam ~ El Perdon (with Enrique Iglesias)",33
"0OlnLZY4cmQzT6ZGttvWBM","10th Grade","Martin Garrix ~ So Far Away (feat. Jamie Scott & Romy Dya)",33
"2OY0rTp6WTvXXdqrv0EE0G","11th Grade","Fuse ODG ~ Boa Me (feat. Ed Sheeran & Mugeez)",33
"468z8HtyEOGV9RY9tl3ax0","11th Grade","John Adams ~ For Me, For Her, For You",33
