"ID","SchoolPeriod","Song","Plays"
"-2934231020509623613","12th Grade","Jack Harlow ~ ROTTEN (feat. EST Gee)",127
"-6970256401839895317","12th Grade","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",120
"3117368871850072767","Freshman Year","Aries ~ FOOL'S GOLD",119
"-2717294442064354602","12th Grade","Jack Harlow ~ SUNDAY NIGHT",103
"1315809098859326988","12th Grade","Jack Harlow ~ RIVER ROAD",96
"6651481132368300815","12th Grade","Jack Harlow ~ HEAVY HITTER",95
"5854717422762308582","12th Grade","Jack Harlow ~ GHOST",92
"8449039145259481489","9th Grade","Joey Bada$$ ~ Christ Conscious",83
"22352661643645789","9th Grade","Mick Jenkins ~ Spread Love",83
"-1781819309166782707","9th Grade","Mick Jenkins ~ The Waters",81
"-8050743871628674212","9th Grade","Travis Scott ~ wonderful",80
"-4949829197374701183","10th Grade","Travis Scott ~ Oh My Dis Side (feat. Quavo)",78
"-7690100959764339411","12th Grade","NxWorries, Knxwledge, Anderson .Paak ~ What More Can I Say",78
"-1202929444212598654","Freshman Year","Bryson Tiller ~ Sorrows",78
"-5598797839564838581","9th Grade","Travis Scott ~ goosebumps",77
"-2141470171931665459","10th Grade","Kendrick Lamar ~ DNA.",76
"-2359101675008600958","9th Grade","Young Thug, Travis Scott ~ pick up the phone",76
"-7547773181388504425","9th-10th Summer","Travis Scott ~ 90210 (feat. Kacy Hill)",76
"1318129283362001006","12th Grade","Jack Harlow ~ ICE",75
"6576472183260249834","11th Grade","Aries ~ SANTA MONICA",70
"-4087391519731806068","9th Grade","Mick Jenkins ~ Jazz",70
"-7833673739409066968","12th Grade","Jack Harlow ~ GOIN BACK DOWN",69
"5872292946386908664","Freshman Year","Aries ~ DITTO",68
"7515760268527459906","Sophomore Year","Isaiah Rashad ~ HB2U",68
"-5888368719227366242","12th Grade","Jack Harlow ~ BIG CHILLIN",67
"-4808008013997186134","Freshman Year","Aries ~ CONVERSATIONS",67
"8377172867818893796","12th Grade","Jack Harlow ~ WALK IN THE PARK",65
"7800638320564282873","Freshman-Sophomore Summer","Jonah Zed ~ Horizons",65
"5208279393582725718","9th Grade","Rick Ross, Kanye West ~ Devil In a New Dress (feat. Rick Ross)",64
"1462605836966659641","11th Grade","ScHoolboy Q ~ Numb Numb Juice",63
"8306262956060764321","8th Grade","Chance the Rapper ~ Angels (feat. Saba)",63
"7660254505791841725","9th Grade","PnB Rock ~ Selfish",63
"5353614233426575459","8th Grade","Domo Genesis ~ Dapper (feat. Anderson .Paak)",61
"-4157954854387871686","11th Grade","JID ~ 151 Rum",60
"7948414227281335213","8th Grade","J. Cole ~ Apparently",60
"-1202500470013175319","9th Grade","Travis Scott ~ sweet sweet",60
"4919364610692017187","Freshman Year","Aries ~ GENIE",60
"8306258763419612979","11th Grade","Jack Harlow ~ SYLVIA (feat. 2forwOyNE)",59
"-2068818511894006473","12th Grade","Roddy Ricch ~ Start wit Me (feat. Gunna)",59
"-6250519406340440060","12th Grade","Smino ~ Trina",59
"2831540479488576308","9th Grade","Mick Jenkins ~ Jerome (feat. Joey Bada$$)",59
"-411853117830872874","Freshman Year","Ramzoid ~ Castle",59
"1028487710011221848","10th Grade","Earl Sweatshirt ~ Grief",58
"-7904906224785526214","10th Grade","Rich The Kid ~ New Freezer (feat. Kendrick Lamar)",58
"451216139338886372","11th Grade","Lil Baby, Gunna ~ Drip Too Hard",58
"8810975381169484890","8th Grade","Bryson Tiller ~ Exchange",58
"2326231201106999622","8th Grade","Bryson Tiller ~ Let Em' Know",58
"8523623647980452989","8th-9th Summer","6LACK ~ Prblms",58
"7081915973971471710","9th Grade","Mick Jenkins ~ P's & Q's",58
"8306112897033176785","Sophomore Year","Jonah Zed ~ Horizons",58
"-3796913543947972702","10th Grade","Travis Scott ~ 90210 (feat. Kacy Hill)",57
"6217090014475830703","10th Grade","Kendrick Lamar, Jay Rock, James Blake, Future ~ King's Dead",57
"7730003871606059519","12th Grade","Roddy Ricch ~ The Box",57
"-7113865807776761847","9th Grade","Mick Jenkins ~ Healer (feat. Jean Deaux)",57
"1388540299983835343","10th Grade","Lil Uzi Vert ~ Dark Queen",56
"5855118730034474784","11th Grade","Future ~ March Madness",56
"-987804768053371250","12th Grade","Jack Harlow ~ RAIN",56
"-9203341155707195814","8th-9th Summer","Joey Bada$$ ~ Paper Trail$",56
"7083355610053763616","10th Grade","Slim Jxmmi ~ Brxnks Truck (feat. Rae Sremmurd)",55
"739524815093794650","11th Grade","JID, J. Cole ~ Off Deez",55
"3910174431938877533","9th Grade","Frank Ocean ~ Nights",55
"5786498528059242515","11th Grade","Rich The Kid ~ Splashin",54
"-2359164836341816983","11th Grade","Mick Jenkins ~ Understood",54
"-5456061980752331959","8th Grade","Bryson Tiller ~ Don't",54
"-4661234360300920798","10th Grade","Travis Scott ~ 3500 (feat. Future & 2 Chainz)",53
"6217790361352907593","10th Grade","Travis Scott ~ sweet sweet",53
