"Season","Album","Plays"
"Spring","The Weeknd ~ After Hours",600
"Winter","Travis Scott ~ ASTROWORLD",511
"Fall","Travis Scott ~ ASTROWORLD",509
"Summer","Travis Scott ~ ASTROWORLD",500
"Spring","Travis Scott ~ ASTROWORLD",459
"Spring","Kendrick Lamar ~ DAMN.",435
"Summer","Kendrick Lamar ~ DAMN.",415
"Spring","Jack Harlow ~ Confetti",371
"Spring","Kendrick Lamar ~ To Pimp A Butterfly",369
"Spring","SOB X RBE ~ Black Panther The Album Music From And Inspired By",323
"Fall","The Weeknd ~ After Hours",308
"Fall","Zacari ~ Black Panther The Album Music From And Inspired By",296
"Fall","Bryson Tiller ~ T R A P S O U L",295
"Winter","Kid Cudi ~ Man On The Moon: The End Of Day",294
"Fall","Kid Cudi ~ Man On The Moon: The End Of Day",283
"Spring","Travis Scott ~ Rodeo",280
"Summer","Kendrick Lamar ~ good kid, m.A.A.d city",277
"Summer","Khalid ~ Black Panther The Album Music From And Inspired By",274
"Spring","Baby Keem ~ DIE FOR MY BITCH",263
"Summer","Travis Scott ~ Birds In The Trap Sing McKnight",256
"Fall","Kendrick Lamar ~ DAMN.",254
"Spring","Travis Scott ~ Birds In The Trap Sing McKnight",253
"Summer","Kanye West ~ Graduation",252
"Summer","Logic ~ Everybody",246
"Spring","Kid Cudi ~ Man On The Moon: The End Of Day",241
"Summer","Kanye West ~ The Life Of Pablo",240
"Winter","Kid Cudi ~ Man On The Moon III: The Chosen",240
"Winter","Travis Scott ~ Rodeo",240
"Summer","Kanye West ~ Donda",227
"Summer","Travis Scott ~ Rodeo",220
"Winter","Khalid ~ Black Panther The Album Music From And Inspired By",219
"Winter","Kendrick Lamar ~ good kid, m.A.A.d city",219
"Winter","Kendrick Lamar ~ DAMN.",218
"Fall","Travis Scott ~ Birds In The Trap Sing McKnight",216
"Winter","The Weeknd ~ After Hours",215
"Summer","The Weeknd ~ After Hours",211
"Spring","Kendrick Lamar ~ good kid, m.A.A.d city",209
"Winter","The Weeknd ~ My Dear Melancholy,",204
"Summer","Kid Cudi ~ Man On The Moon: The End Of Day",195
"Fall","Kanye West ~ The Life Of Pablo",190
"Fall","Drake ~ Take Care",186
"Spring","Logic ~ Bobby Tarantino II",185
"Winter","Travis Scott ~ Birds In The Trap Sing McKnight",182
"Fall","Kid Cudi ~ Man On The Moon III: The Chosen",173
"Fall","Travis Scott ~ Rodeo",173
"Summer","Kanye West ~ My Beautiful Dark Twisted Fantasy",172
"Fall","Kendrick Lamar ~ good kid, m.A.A.d city",171
"Spring","Cage The Elephant ~ Melophobia",171
"Summer","Baby Keem ~ The Melodic Blue",169
"Winter","Cage The Elephant ~ Melophobia",169
"Spring","Drake ~ Take Care",168
"Spring","The Weeknd ~ Starboy",166
"Spring","Kendrick Lamar ~ Mr. Morale & The Big Steppers",164
"Winter","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",163
"Fall","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",160
"Fall","The Weeknd ~ My Dear Melancholy,",160
"Summer","Kendrick Lamar ~ Mr. Morale & The Big Steppers",155
"Fall","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",151
"Spring","Kanye West ~ Graduation",149
"Winter","The Beatles ~ Abbey Road",149
"Summer","Drake ~ Take Care",148
"Winter","Kanye West ~ My Beautiful Dark Twisted Fantasy",148
"Fall","Baby Keem ~ The Melodic Blue",145
"Spring","Kanye West ~ The Life Of Pablo",144
"Fall","Kanye West ~ Graduation",143
"Winter","Frank Ocean ~ Blonde",139
"Fall","Bryson Tiller ~ True to Self",135
"Winter","Bryson Tiller ~ T R A P S O U L",135
"Spring","Logic ~ Supermarket (Soundtrack)",132
"Fall","The Beatles ~ Abbey Road",131
"Spring","Tyler, The Creator ~ Flower Boy",129
"Fall","Bryson Tiller ~ A N N I V E R S A R Y",128
"Summer","Kendrick Lamar ~ To Pimp A Butterfly",127
"Winter","Kanye West ~ The Life Of Pablo",127
"Summer","Kanye West ~ 808s & Heartbreak",125
"Fall","The Weeknd ~ Starboy",123
"Summer","Baby Keem ~ DIE FOR MY BITCH",123
"Winter","The Weeknd ~ Starboy",123
"Summer","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",119
"Fall","Queen ~ Jazz",118
"Fall","Kanye West ~ My Beautiful Dark Twisted Fantasy",118
"Spring","Drake ~ More Life",118
"Summer","Logic ~ Bobby Tarantino II",114
"Summer","J. Cole ~ 2014 Forest Hills Drive",112
"Summer","Post Malone ~ beerbongs & bentleys",111
"Winter","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",111
"Fall","Kanye West ~ 808s & Heartbreak",110
"Summer","Logic ~ Under Pressure",109
"Fall","Lil Tecca ~ We Love You Tecca",107
"Summer","Playboi Carti ~ Die Lit",106
"Winter","Logic ~ Bobby Tarantino II",106
"Winter","Tyler, The Creator ~ Flower Boy",104
"Spring","Kanye West ~ My Beautiful Dark Twisted Fantasy",101
"Winter","Roddy Ricch ~ Please Excuse Me for Being Antisocial",101
"Spring","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",100
"Winter","Boston ~ Boston",100
"Summer","The Beatles ~ 1",98
"Summer","Frank Ocean ~ Blonde",98
"Winter","Drake ~ More Life",95
"Spring","Baby Keem ~ The Sound of Bad Habit",94
"Winter","Kanye West ~ Graduation",94
"Summer","Cage The Elephant ~ Melophobia",93
"Summer","The Weeknd ~ Starboy",93
"Winter","Drake ~ Take Care",93
"Fall","Frank Ocean ~ Blonde",92
"Fall","Kanye West ~ Donda",92
"Spring","Kid Cudi ~ Man On The Moon III: The Chosen",92
"Spring","Baby Keem ~ The Melodic Blue",91
"Spring","Post Malone ~ beerbongs & bentleys",91
"Summer","Drake ~ Scorpion",91
"Summer","blackbear ~ digital druglord",91
"Summer","Logic ~ Bobby Tarantino",90
"Fall","Cage The Elephant ~ Melophobia",89
"Spring","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",89
"Spring","Roddy Ricch ~ Please Excuse Me for Being Antisocial",88
"Winter","Jack Harlow ~ Confetti",88
"Winter","Cage The Elephant ~ Social Cues",88
"Fall","Alina Baraz ~ Electric (feat. Khalid)",86
"Fall","mike. ~ This Isn't The Album",86
"Fall","Kanye West ~ ye",86
"Spring","J. Cole ~ 2014 Forest Hills Drive",86
"Spring","blackbear ~ digital druglord",86
"Summer","Kid Cudi ~ Man On The Moon III: The Chosen",86
"Winter","Kanye West ~ ye",86
"Fall","Jack Harlow ~ Confetti",85
"Fall","Post Malone ~ beerbongs & bentleys",85
"Winter","Kanye West ~ Donda",84
"Winter","mike. ~ This Isn't The Album",84
"Spring","Drake ~ Nothing Was The Same",83
"Spring","Baby Keem ~ no sense",82
"Winter","J. Cole ~ 2014 Forest Hills Drive",82
"Fall","Queen ~ The Game",81
"Summer","Maroon 5 ~ Overexposed",81
"Winter","Queen ~ Jazz",81
"Winter","Coldplay ~ X&Y",80
"Winter","Maroon 5 ~ Overexposed",79
"Winter","Baby Keem ~ The Melodic Blue",79
"Spring","Logic ~ Everybody",78
"Winter","Maroon 5 ~ Songs About Jane: 10th Anniversary Edition",78
"Fall","The Beatles ~ 1",77
"Spring","Don Toliver ~ Heaven Or Hell",77
"Spring","Lil Uzi Vert ~ Luv Is Rage 2",77
"Summer","Tyler, The Creator ~ Flower Boy",77
"Summer","Kanye West ~ Late Registration",77
"Winter","The Beatles ~ 1",77
"Winter","Tory Lanez ~ Alone At Prom",77
"Fall","Boston ~ Boston",76
"Fall","Coldplay ~ X&Y",76
"Spring","Maroon 5 ~ Overexposed",76
"Spring","Jack Harlow ~ Sweet Action",76
"Summer","The Beatles ~ Abbey Road",76
"Summer","Future ~ EVOL",76
"Summer","Drake ~ More Life",76
"Summer","Miguel ~ War & Leisure",76
"Winter","Baby Keem ~ DIE FOR MY BITCH",76
"Spring","Jack Harlow ~ Thats What They All Say",75
"Summer","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",75
"Winter","Kanye West ~ 808s & Heartbreak",75
"Winter","Coldplay ~ A Rush of Blood to the Head",75
"Spring","Kanye West ~ 808s & Heartbreak",74
"Spring","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",74
"Spring","Beach House ~ Teen Dream",74
"Fall","Don Toliver ~ Donny Womack",73
"Spring","Kanye West ~ Donda",73
"Summer","fun. ~ Some Nights",73
"Fall","Drake ~ More Life",72
"Winter","Miguel ~ War & Leisure",72
"Fall","Mura Masa ~ Mura Masa",71
"Spring","The Weeknd ~ Beauty Behind The Madness",71
"Spring","Juice WRLD ~ Legends Never Die",71
"Summer","The Weeknd ~ My Dear Melancholy,",71
"Winter","Justin Timberlake ~ The 20/20 Experience",71
"Winter","The Weeknd ~ Trilogy",71
"Spring","Mura Masa ~ Mura Masa",70
"Spring","Drake ~ Scorpion",70
"Spring","Bryson Tiller ~ T R A P S O U L",70
"Spring","Bruno Mars ~ Unorthodox Jukebox",70
"Summer","J. Cole ~ Born Sinner",70
"Fall","Logic ~ Everybody",69
"Fall","Don Toliver ~ Heaven Or Hell",69
"Spring","Justin Timberlake ~ The 20/20 Experience",69
"Fall","Drake ~ Scorpion",68
"Spring","Maroon 5 ~ Songs About Jane: 10th Anniversary Edition",68
"Summer","Shankar Mahadevan ~ Dil Chahta Hai",68
"Fall","Kanye West ~ JESUS IS KING",67
"Spring","Playboi Carti ~ Die Lit",67
"Spring","Coldplay ~ X&Y",67
"Summer","Jack Harlow ~ Confetti",67
"Summer","Jack Harlow ~ Thats What They All Say",67
"Fall","J. Cole ~ 2014 Forest Hills Drive",66
"Fall","KIDS SEE GHOSTS ~ KIDS SEE GHOSTS",66
"Fall","Drake ~ Views",66
"Winter","The Weeknd ~ Beauty Behind The Madness",65
"Winter","Lil Uzi Vert ~ Luv Is Rage 2",65
"Spring","Mustard ~ Perfect Ten",64
"Spring","Kanye West ~ The College Dropout",64
"Summer","Foster The People ~ Sacred Hearts Club",64
"Summer","Kanye West ~ ye",64
"Winter","Bryson Tiller ~ A N N I V E R S A R Y",64
"Winter","Drake ~ Views",64
"Fall","Coldplay ~ A Rush of Blood to the Head",63
"Fall","Maroon 5 ~ Overexposed",63
"Spring","Kanye West ~ Late Registration",63
"Spring","Logic ~ Under Pressure",63
"Spring","Miguel ~ War & Leisure",63
"Fall","Kanye West ~ The College Dropout",62
"Spring","Tory Lanez ~ LoVE me NOw",62
"Summer","Thundercat ~ It Is What It Is",62
"Summer","Tory Lanez ~ LoVE me NOw",62
"Summer","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",62
"Summer","Kanye West ~ The College Dropout",62
"Summer","Drake ~ Views",62
"Spring","Aretha Franklin ~ Don't Fight the Feeling - the Complete Aretha Franklin & King Curtis Live at Fillmore West",61
"Spring","Baby Keem ~ hooligan / sons & critics",61
"Fall","The Jackson 5 ~ Greatest Hits",60
"Fall","OneRepublic ~ Native",60
"Fall","Justin Timberlake ~ The 20/20 Experience",60
"Fall","Miguel ~ War & Leisure",60
"Spring","Future ~ EVOL",60
"Spring","Fleetwood Mac ~ Rumours",60
"Spring","Kendrick Lamar ~ Section.80",60
"Summer","mike. ~ This Isn't The Album",60
"Fall","DaBaby ~ KIRK",59
"Winter","Red Hot Chili Peppers ~ Blood Sugar Sex Magik",59
"Fall","Arizona Zervas ~ ROXANNE",58
"Spring","The Beatles ~ Abbey Road",58
"Fall","Baby Keem ~ DIE FOR MY BITCH",57
"Fall","Mustard ~ Perfect Ten",57
"Spring","Pop Smoke ~ Shoot For The Stars Aim For The Moon",57
"Summer","Coldplay ~ A Rush of Blood to the Head",57
"Winter","Aliotta Haynes Jeremiah ~ Lake Shore Drive",57
"Fall","Lil Uzi Vert ~ Luv Is Rage 2",56
"Summer","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",56
"Winter","Logic ~ Everybody",56
"Winter","OneRepublic ~ Native",56
"Winter","fun. ~ Some Nights",56
"Winter","Billie Eilish ~ dont smile at me",56
"Fall","Foster The People ~ Sacred Hearts Club",55
"Fall","fun. ~ Some Nights",55
"Spring","Drake ~ Views",55
"Summer","XXXTENTACION ~ 17",55
