"Season","Album","Plays"
"Winter","Nicky Jam ~ Fenix",385
"Summer","Ed Sheeran ~ Divide",364
"Fall","Nicky Jam ~ Fenix",258
"Spring","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",242
"Summer","ODESZA ~ A Moment Apart",227
"Fall","Ed Sheeran ~ Divide",203
"Summer","Ed Sheeran ~ x",200
"Winter","Jon Bellion ~ The Human Condition",181
"Summer","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",178
"Spring","Khalid ~ Free Spirit",167
"Summer","Quinn XCII ~ The Story of Us",166
"Fall","ODESZA ~ A Moment Apart",163
"Spring","ODESZA ~ A Moment Apart",163
"Fall","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",157
"Winter","The Piano Guys ~ The Piano Guys",157
"Fall","Mac Miller ~ Circles",150
"Summer","Billie Eilish ~ Happier Than Ever",149
"Winter","Ed Sheeran ~ Divide",145
"Summer","Khalid ~ American Teen",143
"Spring","Labrinth ~ Euphoria (Original Score from the HBO Series)",135
"Spring","Nicky Jam ~ Fenix",135
"Winter","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",128
"Summer","Jeremy Zucker ~ love is not dying",124
"Winter","Quinn XCII ~ The Story of Us",123
"Spring","Ed Sheeran ~ Divide",117
"Spring","The Weeknd ~ Trilogy",117
"Summer","Ed Sheeran ~ +",116
"Spring","Kid Cudi ~ Man On The Moon: The End Of Day",111
"Spring","The Piano Guys ~ The Piano Guys",108
"Summer","Quinn XCII ~ A Letter To My Younger Self",108
"Spring","Jeremy Zucker ~ love is not dying",106
"Fall","The Weeknd ~ Starboy",105
"Summer","The Weeknd ~ Beauty Behind The Madness",105
"Summer","Oh Wonder ~ Oh Wonder",104
"Spring","Pedro Capo ~ Calma",103
"Fall","The Weeknd ~ Beauty Behind The Madness",102
"Winter","Mac Miller ~ Circles",102
"Winter","Quinn XCII ~ From Michigan With Love",100
"Spring","Oh Wonder ~ Oh Wonder",99
"Fall","Jeremy Zucker ~ love is not dying",97
"Winter","ODESZA ~ A Moment Apart",97
"Fall","Ed Sheeran ~ x",95
"Fall","Billie Eilish ~ dont smile at me",94
"Spring","The Weeknd ~ Beauty Behind The Madness",94
"Fall","Khalid ~ American Teen",93
"Fall","SZA ~ SOS",93
"Winter","The Piano Guys ~ The Piano Guys 2",92
"Fall","Oh Wonder ~ Oh Wonder",90
"Fall","Khalid ~ Suncity",88
"Summer","Jeremy Zucker ~ glisten",88
"Winter","Nidza Bleja ~ Oseti bleju",88
"Fall","Pritam ~ Kalank",87
"Spring","Lolo Zouai ~ High Highs to Low Lows",87
"Fall","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",85
"Spring","Peaceful Pianos ~ Music for Concentration",82
"Spring","The Weeknd ~ Starboy",82
"Spring","Khalid ~ American Teen",81
"Summer","Jeremy Zucker ~ brent",81
"Fall","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",79
"Winter","The Weeknd ~ Trilogy",78
"Summer","Mac Miller ~ Circles",77
"Summer","Pritam ~ Kalank",77
"Winter","Khalid ~ American Teen",77
"Fall","The Piano Guys ~ The Piano Guys",76
"Fall","Jeremy Zucker ~ brent",76
"Spring","Mac Miller ~ Circles",76
"Spring","Jeremy Zucker ~ summer,",76
"Winter","Mauve ~ Just Stay",76
"Spring","Post Malone ~ Stoney",75
"Spring","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",75
"Fall","Khalid ~ Free Spirit",74
"Winter","The Weeknd ~ Beauty Behind The Madness",74
"Spring","Ed Sheeran ~ x",72
"Summer","Billie Eilish ~ dont smile at me",71
"Winter","Oh Wonder ~ Oh Wonder",71
"Spring","Pritam ~ Kalank",70
"Spring","Billie Eilish ~ dont smile at me",70
"Summer","Shoffy ~ Flash",70
"Spring","James Blake ~ Assume Form",69
"Winter","Jeremy Zucker ~ summer,",69
"Fall","Bruno Major ~ To Let A Good Thing Die",66
"Summer","Quinn XCII ~ From Michigan With Love",66
"Summer","The Piano Guys ~ The Piano Guys",66
"Summer","Jeremy Zucker ~ summer,",66
"Winter","Ed Sheeran ~ Perfect",66
"Winter","Lil Ca$h Machine ~ Tropical Vibes",66
"Spring","The Piano Guys ~ The Piano Guys 2",65
"Spring","Quinn XCII ~ The Story of Us",65
"Summer","Pritam ~ Yeh Jawaani Hai Deewani",65
"Fall","Billie Eilish ~ Happier Than Ever",64
"Fall","Shoffy ~ Flash",63
"Spring","Jeremy Zucker ~ idle",63
"Winter","Pedro Capo ~ Calma",63
"Fall","Quinn XCII ~ A Letter To My Younger Self",62
"Summer","Pedro Capo ~ Calma",62
"Summer","Bruno Major ~ To Let A Good Thing Die",62
"Summer","Lauv ~ ~how i'm feeling~",62
"Fall","6LACK ~ East Atlanta Love Letter",61
"Fall","Quinn XCII ~ The Story of Us",61
"Fall","Lauv ~ ~how i'm feeling~",61
"Winter","The Weeknd ~ Starboy",61
"Winter","The Piano Guys ~ Wonders",61
"Fall","Tyler and Mark ~ Beautiful Dreams",60
"Summer","Khalid ~ Free Spirit",60
"Summer","ODESZA ~ The Last Goodbye",60
"Fall","Jon Bellion ~ The Human Condition",59
"Fall","The Weeknd ~ Trilogy",59
"Spring","Jeremy Zucker ~ glisten",59
"Summer","XXXTENTACION ~ 17",59
"Summer","Giveon ~ When It's All Said And Done... Take Time",59
"Winter","Neelson Macias ~ Neel Macias",59
"Fall","Jeremy Zucker ~ glisten",58
"Spring","Avicii ~ TIM",58
"Winter","Billie Eilish ~ dont smile at me",58
"Fall","Maluma ~ F.A.M.E.",57
"Fall","ILLENIUM ~ Fallen Embers",56
"Summer","Ed Sheeran ~ Spotify Singles",56
"Fall","Sleeping At Last ~ Atlas: II",55
"Spring","fun. ~ Some Nights",55
"Summer","ODESZA ~ In Return",55
"Summer","Quinn XCII ~ Iron & Steel",55
"Winter","Ed Sheeran ~ x",55
"Fall","Emanuel ~ Alt Therapy",54
"Summer","Bazzi ~ COSMIC",54
"Summer","Blue Ivy ~ The Lion King: The Gift",54
"Fall","Mitch James ~ Mitch James - Deluxe Edition",53
"Fall","Pritam ~ Yeh Jawaani Hai Deewani",53
"Fall","Jeremy Zucker ~ summer,",53
"Spring","Jon Bellion ~ The Human Condition",53
"Summer","Travis Scott ~ ASTROWORLD",53
"Summer","Quinn XCII ~ Panama",53
"Summer","The Weeknd ~ Starboy",53
