"Season","Album","Plays"
"Fall","Jack Harlow ~ Confetti",789
"Spring","Drake ~ Views",770
"Summer","Jack Harlow ~ Loose",671
"Summer","Frank Ocean ~ Blonde",663
"Spring","Kendrick Lamar ~ DAMN.",640
"Summer","Joey Bada$$ ~ B4.DA.$$",632
"Spring","Isaiah Rashad ~ Cilvia Demo",620
"Fall","Travis Scott ~ Birds in the Trap Sing McKnight",612
"Spring","Chance the Rapper ~ Coloring Book",600
"Fall","Mick Jenkins ~ The Water[s]",566
"Summer","Travis Scott ~ ASTROWORLD",538
"Summer","Mick Jenkins ~ The Water[s]",533
"Spring","Kendrick Lamar ~ To Pimp a Butterfly",523
"Summer","Isaiah Rashad ~ Cilvia Demo",509
"Fall","Mick Jenkins ~ The Healing Component",498
"Winter","Bryson Tiller ~ T R A P S O U L",494
"Spring","Anderson .Paak ~ Malibu",461
"Spring","Vince Staples ~ Summertime '06",450
"Winter","PnB Rock ~ GTTM: Goin Thru the Motions",449
"Spring","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",445
"Fall","A$AP Rocky ~ AT.LONG.LAST.A$AP",444
"Spring","Kendrick Lamar ~ good kid, m.A.A.d city",441
"Fall","NxWorries, Knxwledge, Anderson .Paak ~ Yes Lawd!",440
"Fall","Bryson Tiller ~ T R A P S O U L",436
"Spring","Aries ~ WELCOME HOME",432
"Summer","Kanye West ~ Graduation",428
"Winter","Lil Uzi Vert ~ Eternal Atake",417
"Spring","Bryson Tiller ~ T R A P S O U L",409
"Summer","Isaiah Rashad ~ The House Is Burning",405
"Winter","Lil Uzi Vert ~ Luv Is Rage 2",401
"Fall","Travis Scott ~ Rodeo",400
"Summer","Travis Scott ~ Birds in the Trap Sing McKnight",397
"Fall","Earl Sweatshirt ~ I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",395
"Spring","Travis Scott ~ Birds in the Trap Sing McKnight",395
"Spring","PARTYNEXTDOOR ~ PARTYMOBILE",382
"Fall","Mick Jenkins ~ Pieces of a Man",374
"Summer","Isaiah Rashad ~ The Sun's Tirade",373
"Fall","Jack Harlow ~ Loose",370
"Winter","Tory Lanez ~ MEMORIES DON'T DIE",367
"Fall","Isaiah Rashad ~ The Sun's Tirade",364
"Spring","Bryson Tiller ~ True to Self",364
"Winter","Isaiah Rashad ~ The Sun's Tirade",354
"Summer","Travis Scott ~ Rodeo",347
"Summer","Tyler, The Creator ~ CALL ME IF YOU GET LOST",341
"Summer","Bryson Tiller ~ T R A P S O U L",341
"Spring","Playboi Carti ~ Die Lit",340
"Summer","Kendrick Lamar ~ good kid, m.A.A.d city",331
"Summer","Kendrick Lamar ~ DAMN.",329
"Winter","Travis Scott, Quavo, HUNCHO JACK ~ Huncho Jack, Jack Huncho",326
"Summer","Kanye West ~ The College Dropout",325
"Spring","Kendrick Lamar ~ Section.80",323
"Fall","Jaden ~ SYRE",322
"Winter","Future ~ HNDRXX",321
"Spring","Young Thug ~ JEFFERY",320
"Winter","Kendrick Lamar ~ To Pimp a Butterfly",320
"Fall","Smino ~ NOIR",319
"Summer","Anderson .Paak ~ Malibu",318
"Summer","Kanye West ~ Late Registration",316
"Winter","Travis Scott ~ Birds in the Trap Sing McKnight",315
"Fall","Kendrick Lamar ~ To Pimp a Butterfly",312
"Fall","Mick Jenkins ~ Wave[s]",311
"Summer","Lil Uzi Vert ~ Lil Uzi Vert Vs. The World",311
"Spring","Mike WiLL Made-It ~ Ransom 2",308
"Summer","Kendrick Lamar ~ Section.80",300
"Winter","Kendrick Lamar, Jay Rock, James Blake, Future ~ Black Panther The Album Music From And Inspired By",300
"Fall","Kid Cudi ~ Passion, Pain & Demon Slayin'",299
"Summer","Jack Harlow ~ Confetti",297
"Winter","Future ~ Future Hndrxx Presents: The WIZRD",293
"Fall","ScHoolboy Q ~ Oxymoron",289
"Winter","Kendrick Lamar ~ good kid, m.A.A.d city",286
"Spring","Rich The Kid ~ The World Is Yours 2",285
"Spring","Flatbush Zombies ~ Vacation In Hell",284
"Winter","Anderson .Paak ~ Malibu",284
"Winter","Kendrick Lamar ~ Section.80",283
"Fall","Aries ~ BELIEVE IN ME, WHO BELIEVES IN YOU",282
"Fall","Jazz Cartier ~ Hotel Paranoia",280
"Winter","Migos ~ Culture",275
"Winter","Quality Control, Migos ~ Quality Control: Control the Streets, Vol. 1",273
"Fall","Joyner Lucas ~ Along Came Joyner",272
"Spring","Radiohead ~ OK Computer",272
"Fall","Rick Ross, Kanye West ~ My Beautiful Dark Twisted Fantasy",270
"Fall","whiterosemoxie ~ grae ceilings",269
"Summer","Playboi Carti ~ Die Lit",269
"Summer","Kendrick Lamar ~ To Pimp a Butterfly",268
"Fall","Isaiah Rashad ~ Cilvia Demo",265
"Fall","Travis Scott ~ ASTROWORLD",264
"Spring","Tom The Mail Man ~ Sunset Visionary, Vol. 2",264
"Fall","Ty Dolla $ign ~ Beach House 3",263
"Winter","Verzache ~ My Head Is a Moshpit",263
"Fall","Bryson Tiller ~ A N N I V E R S A R Y",262
"Fall","A$AP Rocky ~ LONG.LIVE.A$AP",262
"Winter","Patrick Cc: ~ Launch Sequence",262
"Spring","J. Cole ~ KOD",260
"Summer","Kanye West ~ The Life of Pablo",260
"Spring","A$AP Rocky ~ TESTING",258
"Fall","Smino ~ Luv 4 Rent",244
"Fall","J. Cole ~ 4 Your Eyez Only",243
"Winter","Rich Brian ~ Amen",243
"Winter","Lil Skies ~ Life of a Dark Rose",242
"Spring","J. Cole ~ 2014 Forest Hills Drive",239
"Fall","Danny Brown ~ Atrocity Exhibition",237
"Summer","J. Cole ~ 2014 Forest Hills Drive",237
"Winter","Isaiah Rashad ~ Cilvia Demo",236
"Spring","A$AP Rocky ~ AT.LONG.LAST.A$AP",235
"Summer","ScHoolboy Q ~ Blank Face LP",235
"Summer","Daniel Caesar ~ Freudian",235
"Spring","Kendrick Lamar ~ Overly Dedicated",234
"Fall","Joey Bada$$ ~ B4.DA.$$",233
"Fall","Roddy Ricch ~ Please Excuse Me For Being Antisocial",233
"Spring","Frank Ocean ~ Blonde",233
"Spring","Mick Jenkins ~ The Water[s]",233
"Fall","whiterosemoxie ~ HABITS",232
"Spring","Rich The Kid ~ The World Is Yours",231
"Winter","Lil Baby ~ My Turn",231
"Winter","Frank Ocean ~ Blonde",230
"Spring","Kanye West ~ The Life of Pablo",229
"Winter","Daniel Caesar ~ CASE STUDY 01",229
"Summer","Denzel Curry ~ TA13OO",228
"Winter","Roddy Ricch ~ Please Excuse Me For Being Antisocial",227
"Spring","Kendrick Lamar ~ Mr. Morale & The Big Steppers",226
"Winter","Future ~ FUTURE",226
"Fall","Kendrick Lamar ~ DAMN.",224
"Spring","Cage the Elephant ~ Melophobia",222
"Summer","Joey Bada$$ ~ 1999",221
"Winter","A$AP Rocky ~ AT.LONG.LAST.A$AP",220
"Winter","Mick Jenkins ~ The Water[s]",218
"Spring","Kid Cudi ~ Indicud",217
"Winter","A Boogie wit da Hoodie ~ Artist 2.0",216
"Summer","ScHoolboy Q ~ Oxymoron",214
"Summer","Drake ~ Scorpion",214
"Summer","Brent Faiyaz ~ WASTELAND",213
"Summer","PARTYNEXTDOOR ~ PARTYMOBILE",211
"Summer","Flatbush Zombies ~ 3001: A Laced Odyssey",208
"Summer","Mac Miller ~ Swimming",208
"Summer","Aries ~ WELCOME HOME",206
"Winter","Migos ~ Culture II",206
"Winter","SiR ~ November",206
"Summer","Kendrick Lamar ~ Overly Dedicated",205
"Fall","Mick Jenkins ~ Elephant in the Room",204
"Summer","Lil Uzi Vert ~ Luv Is Rage 2",204
"Fall","JID ~ DiCaprio 2",202
"Spring","Tyler, The Creator ~ IGOR",202
"Summer","Joey Bada$$ ~ Summer Knights",200
"Fall","A$AP Mob ~ Cozy Tapes, Vol. 1: Friends",199
"Fall","The Weeknd ~ Starboy",199
"Spring","Ty Dolla $ign ~ Free TC",198
"Spring","Juice WRLD ~ Goodbye & Good Riddance",198
"Summer","Mick Jenkins ~ The Healing Component",198
"Winter","J. Cole ~ 2014 Forest Hills Drive",196
"Fall","Anderson .Paak ~ Malibu",195
"Spring","whiterosemoxie ~ white ceilings",195
"Summer","Amine ~ Good For You",194
"Winter","Jack Harlow ~ Loose",194
"Fall","Drake ~ If You're Reading This It's Too Late",190
"Winter","Aries ~ WELCOME HOME",190
"Winter","JID ~ The Never Story",189
"Winter","Kendrick Lamar ~ DAMN.",187
"Summer","Vince Staples ~ Summertime '06",186
"Fall","Kid Cudi ~ Man On the Moon: The End of Day",184
"Fall","A Tribe Called Quest ~ We Got It from Here... Thank You 4 Your Service",183
"Fall","Frank Ocean ~ Blonde",182
"Fall","Aries ~ WELCOME HOME",182
"Spring","Post Malone ~ beerbongs & bentleys",182
"Fall","Lil Uzi Vert, Future ~ Pluto x Baby Pluto",181
"Summer","Bryson Tiller ~ True to Self",181
"Winter","ScHoolboy Q ~ Oxymoron",181
"Summer","Tyler, The Creator ~ Flower Boy",180
"Spring","Joey Bada$$ ~ B4.DA.$$",179
"Spring","Kota the Friend ~ Foto",179
"Spring","Domo Genesis ~ Genesis",179
"Spring","Lil Baby ~ My Turn",179
"Summer","JID ~ The Never Story",179
"Summer","Logic ~ Bobby Tarantino",178
"Winter","NxWorries, Knxwledge, Anderson .Paak ~ Yes Lawd!",178
"Spring","Playboi Carti ~ Playboi Carti",177
"Winter","nothing,nowhere. ~ Trauma Factory",177
"Spring","The Black Keys ~ Brothers",174
"Summer","BROCKHAMPTON ~ SATURATION",174
"Spring","Travis Scott ~ Rodeo",173
"Summer","Young Thug ~ So Much Fun",173
"Spring","Pusha T ~ DAYTONA",172
"Spring","Drake ~ More Life",172
"Summer","Koi ~ Trial & Error",171
"Fall","The Beatles ~ Abbey Road (Remastered)",170
"Fall","Future ~ FUTURE",170
"Spring","BROCKHAMPTON ~ SATURATION",170
"Fall","Kendrick Lamar ~ good kid, m.A.A.d city",169
