"Season","Artist","Plays"
"Spring","Kendrick Lamar",1340
"Summer","Kanye West",1290
"Summer","Kendrick Lamar",1128
"Fall","Kanye West",985
"Summer","Travis Scott",973
"Spring","The Weeknd",963
"Spring","Travis Scott",946
"Fall","Travis Scott",916
"Winter","Travis Scott",894
"Spring","Drake",809
"Fall","The Weeknd",781
"Winter","Kanye West",760
"Winter","The Weeknd",756
"Fall","Kid Cudi",752
"Winter","Kid Cudi",750
"Spring","Kanye West",746
"Spring","Baby Keem",692
"Summer","Drake",687
"Fall","Kendrick Lamar",635
"Summer","Logic",624
"Fall","Bryson Tiller",613
"Fall","Drake",613
"Spring","Jack Harlow",584
"Spring","Logic",579
"Winter","Kendrick Lamar",573
"Fall","The Beatles",557
"Winter","The Beatles",548
"Summer","The Weeknd",516
"Summer","The Beatles",479
"Spring","Kid Cudi",473
"Winter","Drake",438
"Summer","Baby Keem",434
"Summer","Kid Cudi",422
"Fall","Queen",393
"Winter","Cage The Elephant",294
"Winter","Queen",281
"Spring","The Beatles",270
"Winter","Logic",269
"Summer","J. Cole",266
"Fall","Baby Keem",261
"Winter","Bryson Tiller",256
"Winter","Coldplay",254
"Spring","Maroon 5",243
"Winter","Jack Harlow",243
"Spring","J. Cole",236
"Spring","Cage The Elephant",232
"Spring","Coldplay",232
"Winter","Maroon 5",221
"Fall","Don Toliver",213
"Winter","Baby Keem",213
"Winter","Frank Ocean",210
"Summer","Calvin Harris",206
"Spring","Tyler, The Creator",205
"Fall","Coldplay",203
"Fall","Logic",203
"Winter","J. Cole",202
"Summer","Jack Harlow",200
"Winter","Tyler, The Creator",197
"Summer","Maroon 5",196
"Spring","Post Malone",192
"Summer","Future",191
"Fall","Maroon 5",180
"Summer","Frank Ocean",177
"Summer","Playboi Carti",177
"Fall","Eminem",176
"Fall","Jack Harlow",176
"Spring","Future",172
"Summer","Tyler, The Creator",168
"Summer","blackbear",166
"Fall","Frank Ocean",164
"Fall","Childish Gambino",162
"Winter","Don Toliver",162
"Spring","Calvin Harris",160
"Spring","Marshmello",160
"Summer","Post Malone",160
"Fall","Calvin Harris",158
"Summer","Queen",157
"Summer","Coldplay",155
"Fall","Post Malone",154
"Spring","Don Toliver",150
"Summer","Cage The Elephant",150
"Summer","Don Toliver",146
"Winter","Calvin Harris",145
"Spring","Joey Bada$$",144
"Fall","Cage The Elephant",143
"Summer","Lil Wayne",143
"Fall","J. Cole",141
"Summer","NAV",138
"Spring","blackbear",132
"Summer","Joey Bada$$",131
"Spring","Young Thug",130
"Spring","Bryson Tiller",129
"Fall","blackbear",127
"Spring","Lil Wayne",126
"Spring","Queen",122
"Spring","Aretha Franklin",121
"Spring","Playboi Carti",118
"Spring","Tory Lanez",118
"Summer","Thundercat",117
"Winter","Roddy Ricch",116
"Winter","Tory Lanez",115
"Fall","Khalid",114
"Winter","Eminem",114
"Summer","Brent Faiyaz",111
"Summer","Young Thug",111
"Winter","Post Malone",110
"Fall","Lil Tecca",109
"Fall","OneRepublic",107
"Spring","Beach House",107
"Spring","Childish Gambino",107
"Winter","Justin Timberlake",107
"Winter","Billie Eilish",106
"Spring","Bruno Mars",105
"Spring","Lil Uzi Vert",105
"Summer","Khalid",104
"Fall","Tyler, The Creator",103
"Spring","OneRepublic",102
"Spring","Roddy Ricch",102
"Winter","Boston",100
"Summer","Juice WRLD",98
"Spring","Frank Ocean",96
"Spring","Mustard",96
"Summer","Lil Uzi Vert",96
"Summer","Marshmello",96
"Winter","A$AP Rocky",94
"Spring","A Boogie Wit da Hoodie",93
"Summer","Bryson Tiller",93
"Summer","XXXTENTACION",93
"Winter","Juice WRLD",93
"Fall","Miguel",92
"Spring","Justin Timberlake",92
"Spring","Khalid",92
"Winter","Childish Gambino",92
"Winter","Future",91
"Winter","Lil Uzi Vert",91
"Fall","Juice WRLD",90
"Summer","Childish Gambino",90
"Summer","OneRepublic",90
"Winter","OneRepublic",89
"Winter","Young Thug",89
"Fall","Justin Timberlake",87
"Fall","Alina Baraz",86
"Fall","NAV",86
"Fall","mike.",86
"Summer","Tory Lanez",86
"Fall","Young Thug",85
"Spring","Fleetwood Mac",85
"Summer","Miguel",84
"Winter","blackbear",84
"Winter","mike.",84
"Fall","Future",83
"Spring","DJ Khaled",83
"Spring","Eminem",83
"Winter","Lil Wayne",83
"Winter","Miguel",83
"Winter","Playboi Carti",83
"Spring","Juice WRLD",82
"Winter","Khalid",82
"Fall","Chris Brown",81
"Fall","Roddy Ricch",81
"Summer","Foster The People",81
"Summer","Green Day",81
"Fall","JAY-Z",78
"Fall","Lil Mosey",78
"Fall","Lil Uzi Vert",78
"Summer","21 Savage",78
"Winter","Mac Miller",78
"Winter","The Rolling Stones",78
"Fall","Brent Faiyaz",77
"Fall","Mac Miller",77
"Spring","XXXTENTACION",77
"Spring","Yung Gravy",77
"Fall","Boston",76
"Spring","Billie Eilish",76
"Spring","NAV",76
"Fall","Tame Impala",75
"Fall","Veorra",75
"Spring","Daft Punk",75
"Summer","Bruno Mars",75
"Winter","Migos",75
"Fall","Ellie Goulding",74
"Fall","Lil Wayne",74
"Fall","Billy Joel",73
"Spring","Hippo Campus",73
"Summer","fun.",73
"Fall","Metro Boomin",72
"Spring","Rex Orange County",72
"Summer","Migos",72
"Fall","Led Zeppelin",71
"Fall","Mura Masa",71
"Spring","Migos",71
"Spring","Mura Masa",71
"Summer","Mustard",71
"Winter","Led Zeppelin",71
"Winter","Meek Mill",71
"Spring","A$AP Rocky",70
"Summer","Lil Nas X",70
"Winter","Eagles",70
"Spring","Miguel",69
"Summer","Justin Timberlake",69
"Summer","Lil Tecca",69
"Fall","Eagles",68
"Fall","Marshmello",68
"Fall","Rex Orange County",68
"Fall","Zacari",68
"Spring","Pop Smoke",68
"Fall","KIDS SEE GHOSTS",66
"Summer","Chris Brown",66
"Winter","Rex Orange County",66
"Spring","Brent Faiyaz",65
"Spring","KYLE",65
"Summer","Eminem",65
"Fall","SZA",64
"Spring","SOB X RBE",64
"Summer","Daft Punk",64
"Winter","Billy Joel",64
"Winter","Tom Petty and the Heartbreakers",64
