"Season","Artist","Plays"
"Summer","Ed Sheeran",870
"Fall","Billie Eilish",620
"Summer","Billie Eilish",574
"Summer","Quinn XCII",551
"Spring","Jeremy Zucker",522
"Summer","Jeremy Zucker",498
"Fall","Ed Sheeran",494
"Spring","Billie Eilish",486
"Winter","Nidza Bleja",468
"Winter","Quinn XCII",455
"Winter","Nicky Jam",413
"Winter","The Piano Guys",404
"Fall","Jeremy Zucker",401
"Summer","ODESZA",392
"Fall","The Weeknd",366
"Spring","Khalid",366
"Winter","Billie Eilish",360
"Fall","Khalid",353
"Spring","The Weeknd",353
"Winter","Jeremy Zucker",353
"Winter","Ed Sheeran",351
"Fall","Nicky Jam",338
"Spring","The Piano Guys",332
"Summer","The Weeknd",322
"Spring","Ed Sheeran",311
"Summer","Khalid",294
"Fall","Pritam",259
"Winter","The Weeknd",251
"Fall","Quinn XCII",241
"Winter","Mauve",241
"Fall","ODESZA",230
"Spring","ODESZA",229
"Summer","Pritam",222
"Spring","Quinn XCII",219
"Spring","Lofi Fruits Music",216
"Spring","Nicky Jam",211
"Winter","Khalid",210
"Spring","Post Malone",209
"Fall","Mac Miller",205
"Spring","Kid Cudi",196
"Winter","Russ",192
"Winter","Jon Bellion",191
"Fall","Maluma",188
"Spring","Mauve",183
"Summer","Lauv",180
"Fall","The Piano Guys",179
"Summer","Kygo",173
"Fall","Mauve",172
"Fall","Ludovico Einaudi",165
"Fall","Daniel Caesar",164
"Spring","Labrinth",158
"Winter","ODESZA",156
"Fall","Lauv",152
"Fall","Pink Sweat$",152
"Summer","Bazzi",152
"Summer","Kanye West",150
"Spring","Mac Miller",148
"Summer","Mac Miller",148
"Spring","SYML",147
"Summer","Giveon",147
"Fall","SYML",146
"Summer","Oh Wonder",145
"Summer","The Piano Guys",144
"Winter","Mac Miller",143
"Spring","Pritam",141
"Summer","Louis The Child",141
"Fall","Oh Wonder",140
"Summer","Mauve",139
"Fall","Kid Cudi",137
"Summer","Shoffy",137
"Spring","Lauv",135
"Winter","Maluma",135
"Fall","ILLENIUM",134
"Fall","Sleeping At Last",132
"Spring","Daniel Caesar",131
"Spring","Frank Ocean",129
"Summer","Sarcastic Sounds",129
"Winter","Sleeping At Last",129
"Spring","Kygo",128
"Summer","Post Malone",126
"Summer","Ludovico Einaudi",124
"Spring","Oh Wonder",123
"Summer","Daniel Caesar",123
"Fall","KSHMR",122
"Summer","SYML",122
