"Season","Artist","Plays"
"Spring","Kendrick Lamar",2566
"Fall","Mick Jenkins",1997
"Summer","Kendrick Lamar",1681
"Summer","Joey Bada$$",1527
"Winter","Kendrick Lamar",1482
"Summer","Kanye West",1428
"Spring","Drake",1427
"Summer","Isaiah Rashad",1408
"Fall","Jack Harlow",1388
"Summer","Travis Scott",1352
"Fall","Travis Scott",1322
"Winter","Lil Uzi Vert",1267
"Summer","Jack Harlow",1184
"Summer","Mick Jenkins",1090
"Winter","Future",1044
"Fall","Kendrick Lamar",1031
"Summer","Lil Uzi Vert",917
"Fall","Bryson Tiller",889
"Spring","Isaiah Rashad",880
"Spring","Bryson Tiller",875
"Spring","Joey Bada$$",841
"Winter","Bryson Tiller",820
"Fall","whiterosemoxie",806
"Fall","Isaiah Rashad",775
"Spring","Travis Scott",771
"Fall","A$AP Rocky",762
"Spring","Kanye West",759
"Winter","Isaiah Rashad",729
"Winter","Mick Jenkins",724
"Summer","Frank Ocean",719
"Spring","J. Cole",716
"Fall","Aries",709
"Summer","Drake",706
"Spring","Anderson .Paak",700
"Fall","Joey Bada$$",687
"Fall","Drake",676
"Spring","Chance the Rapper",671
"Winter","Travis Scott",667
"Summer","Tyler, The Creator",666
"Fall","Earl Sweatshirt",652
"Spring","Aries",651
"Fall","Kid Cudi",631
"Summer","Bryson Tiller",629
"Spring","Lil Uzi Vert",610
"Fall","Smino",603
"Spring","A$AP Rocky",592
"Spring","Vince Staples",586
"Winter","Aries",586
"Winter","Kanye West",577
"Fall","Kanye West",567
"Fall","J. Cole",565
"Winter","Jack Harlow",553
"Winter","Joey Bada$$",544
"Spring","Playboi Carti",530
"Fall","Lil Uzi Vert",523
"Spring","Mick Jenkins",520
"Spring","Young Thug",515
"Fall","Future",512
"Winter","J. Cole",511
"Summer","Amine",503
"Summer","J. Cole",501
"Spring","Rich The Kid",500
"Winter","Migos",500
"Summer","ScHoolboy Q",486
"Winter","PnB Rock",485
"Summer","Vince Staples",482
"Summer","BROCKHAMPTON",475
"Spring","Jack Harlow",473
"Winter","Tory Lanez",472
"Winter","Drake",470
"Fall","ScHoolboy Q",454
"Spring","ScHoolboy Q",454
"Fall","Jazz Cartier",453
"Summer","Young Thug",452
"Spring","whiterosemoxie",449
"Winter","A Boogie wit da Hoodie",448
"Spring","Future",445
"Winter","Kid Cudi",438
"Winter","Verzache",434
"Spring","Kid Cudi",433
"Winter","A$AP Rocky",433
"Fall","Anderson .Paak",428
"Summer","Anderson .Paak",428
"Spring","PARTYNEXTDOOR",427
"Fall","Vince Staples",416
"Spring","BROCKHAMPTON",413
"Fall","Ty Dolla $ign",408
"Summer","Logic",408
"Summer","Future",407
"Summer","Aries",391
"Spring","Juice WRLD",384
"Fall","NxWorries, Knxwledge, Anderson .Paak",381
"Summer","Playboi Carti",379
"Fall","Jaden",373
"Summer","whiterosemoxie",372
"Summer","Juice WRLD",361
"Summer","Daniel Caesar",358
"Winter","Anderson .Paak",358
"Fall","Trippie Redd",357
"Summer","Mac Miller",350
"Summer","A$AP Rocky",346
"Spring","Post Malone",344
"Winter","Mac Miller",336
"Fall","BROCKHAMPTON",335
"Winter","Daniel Caesar",335
"Spring","Earl Sweatshirt",329
"Winter","whiterosemoxie",329
"Spring","Flatbush Zombies",327
"Spring","Kota the Friend",327
"Winter","JID",326
"Winter","Travis Scott, Quavo, HUNCHO JACK",326
"Summer","Denzel Curry",325
"Fall","Young Thug",324
"Winter","Lil Skies",318
"Winter","ScHoolboy Q",315
"Spring","Frank Ocean",314
